"Time","Beacon Type","Observer","Station","Source","Root"
2022-02-07 13:31:15,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:31:59,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-08 22:32:16,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-09 13:08:33,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-11 12:44:44,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-12 03:23:32,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:23:40,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:23:48,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:23:57,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:00,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:04,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:07,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:14,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:16,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:19,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:22,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:26,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:28,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:31,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 04:40:22,GFSK,JA5BLZ-PM63uo,JA5BLZ,sids,AM9NPQ
2022-02-12 14:56:16,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:23,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:25,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:27,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:29,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:31,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:33,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:35,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:37,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:39,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:42,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:44,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:46,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:48,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:50,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:52,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:55,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:57,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:56:59,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:01,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:03,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:06,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:08,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:11,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:14,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:16,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:18,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:23,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:25,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:28,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:30,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:33,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:36,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:38,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:43,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:47,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:49,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:52,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:54,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:57:59,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:08,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:11,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:13,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:15,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:18,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:22,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:27,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:29,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:31,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:34,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:36,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:38,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:41,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:44,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:46,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:48,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:50,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:53,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:55,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:58:58,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:00,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:03,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:05,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:09,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:13,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:16,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:18,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:21,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:26,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:28,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:33,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:35,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:39,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:41,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:45,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:49,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 14:59:58,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 15:00:07,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 15:00:21,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 15:01:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 15:02:25,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:07:40,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:08:01,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:08:17,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:08:27,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:08:32,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:08:36,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:09:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:09:37,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:09:40,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:09:42,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:09:56,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:10:05,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:10:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:10:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:10:41,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:10:48,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:11:03,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:11:14,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:11:18,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:11:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:11:52,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:11:55,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:08,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:10,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:12,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:15,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:17,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:22,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:27,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:29,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:31,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:34,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:36,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:38,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:41,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:44,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:46,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:49,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:51,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:53,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:56,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:12:58,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:00,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:03,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:05,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:07,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:09,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:11,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:13,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:16,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:18,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:22,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:24,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:27,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:29,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:31,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:33,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:35,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:38,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:40,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:42,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:45,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:47,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:50,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:52,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:55,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:13:58,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:00,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:03,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:05,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:08,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:10,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:13,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:15,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:17,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:20,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:22,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 03:14:26,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 04:45:17,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 12:19:59,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:20:01,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:20:03,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:20:05,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:20:35,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:20:43,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:20:56,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:21:16,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:21:31,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:21:36,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 12:21:47,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:52:57,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:52:59,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:01,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:03,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:34,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:37,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:40,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:43,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:46,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:50,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:54,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:53:57,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:54:02,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:54:06,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 13:54:10,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-13 16:20:14,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 16:23:34,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-13 23:07:56,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-14 00:43:08,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-14 02:59:59,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:03,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:05,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:36,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:38,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:42,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:44,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:47,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:49,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:52,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-14 03:00:54,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
