"Time","Voltage feeding BCR1 (X panels)"
2021-06-14 03:00:00,10
2021-06-15 03:00:00,0
2021-06-16 03:00:00,0
2021-06-17 03:00:00,0
2021-06-18 03:00:00,0
2021-06-19 03:00:00,0
2021-06-20 03:00:00,0
2021-06-21 03:00:00,0 V
2021-06-22 03:00:00,10 V
2021-06-23 03:00:00,10.0 V
2021-06-24 03:00:00,0 V
2021-06-25 03:00:00,8.9 V
2021-06-26 03:00:00,9.3 V
2021-06-27 03:00:00,9.6 V
2021-06-28 03:00:00,9.0 V
2021-06-29 03:00:00,9.9 V
2021-06-30 03:00:00,10 V
2021-07-01 03:00:00,11 V
2021-07-02 03:00:00,9 V
2021-07-03 03:00:00,0 V
2021-07-04 03:00:00,8.7 V
2021-07-05 03:00:00,0 V
2021-07-06 03:00:00,0 V
2021-07-07 03:00:00,9.1 V
2021-07-08 03:00:00,0 V
2021-07-09 03:00:00,0 V
2021-07-10 03:00:00,8.5 V
2021-07-11 03:00:00,8.9 V
2021-07-12 03:00:00,8.6 V
2021-07-13 03:00:00,8.4 V
2021-07-14 03:00:00,8.4 V
2021-07-15 03:00:00,8.4 V
2021-07-16 03:00:00,8.4 V
2021-07-17 03:00:00,8.4 V
2021-07-18 03:00:00,8.5 V
2021-07-19 03:00:00,8.4 V
2021-07-20 03:00:00,8.5 V
2021-07-21 03:00:00,8.5 V
2021-07-22 03:00:00,0 V
2021-07-23 03:00:00,8.7 V
2021-07-24 03:00:00,8.9 V
2021-07-25 03:00:00,0 V
2021-07-26 03:00:00,0 V
2021-07-27 03:00:00,8.6 V
2021-07-28 03:00:00,0 V
2021-07-29 03:00:00,8.9 V
2021-07-30 03:00:00,10 V
2021-07-31 03:00:00,10 V
2021-08-01 03:00:00,10 V
2021-08-02 03:00:00,10 V
2021-08-03 03:00:00,10 V
2021-08-04 03:00:00,10 V
2021-08-05 03:00:00,9.9 V
2021-08-06 03:00:00,9.5 V
2021-08-07 03:00:00,8.9 V
2021-08-08 03:00:00,9.1 V
2021-08-09 03:00:00,8.9 V
2021-08-10 03:00:00,8.7 V
2021-08-11 03:00:00,8.8 V
2021-08-12 03:00:00,8.7 V
2021-08-13 03:00:00,8.6 V
2021-08-14 03:00:00,8.6 V
2021-08-15 03:00:00,8.6 V
2021-08-16 03:00:00,8.6 V
2021-08-17 03:00:00,8.7 V
2021-08-18 03:00:00,8.7 V
2021-08-19 03:00:00,8.8 V
2021-08-20 03:00:00,8.7 V
2021-08-21 03:00:00,9 V
2021-08-22 03:00:00,9.1 V
2021-08-23 03:00:00,10 V
2021-08-24 03:00:00,9.4 V
2021-08-25 03:00:00,11 V
2021-08-26 03:00:00,11 V
2021-08-27 03:00:00,10 V
2021-08-28 03:00:00,10 V
2021-08-29 03:00:00,9 V
2021-08-30 03:00:00,11 V
2021-08-31 03:00:00,11 V
2021-09-01 03:00:00,0 V
2021-09-02 03:00:00,0 V
2021-09-03 03:00:00,0 V
2021-09-04 03:00:00,0 V
2021-09-05 03:00:00,0 V
2021-09-06 03:00:00,0 V
2021-09-07 03:00:00,0 V
2021-09-08 03:00:00,0 V
2021-09-09 03:00:00,0 V
2021-09-10 03:00:00,0 V
2021-09-11 03:00:00,0 V
2021-09-12 03:00:00,0 V
2021-09-13 03:00:00,0 V
2021-09-14 03:00:00,0 V
