Time,X-axis
2021-11-11 03:00:00,34778.0
2021-11-12 03:00:00,26978.0
2021-11-13 03:00:00,32123.0
2021-11-14 03:00:00,34943.0
2021-11-15 03:00:00,32708.0
2021-11-16 03:00:00,19478.0
2021-11-17 03:00:00,34193.0
2021-11-18 03:00:00,29948.0
2021-11-19 03:00:00,15728.0
2021-11-20 03:00:00,27308.0
2021-11-21 03:00:00,24623.0
2021-11-22 03:00:00,9803.0
2021-11-23 03:00:00,25568.0
2021-11-24 03:00:00,9983.0
2021-11-25 03:00:00,-15038.0
2021-11-26 03:00:00,-26018.0
2021-11-27 03:00:00,-11093.0
2021-11-28 03:00:00,1403.0
2021-11-29 03:00:00,-20528.0
2021-11-30 03:00:00,-5453.0
2021-12-01 03:00:00,1598.0
2021-12-02 03:00:00,9158.0
2021-12-03 03:00:00,8543.0
2021-12-04 03:00:00,-22103.0
2021-12-05 03:00:00,3608.0
2021-12-06 03:00:00,3503.0
2021-12-07 03:00:00,-7688.0
2021-12-08 03:00:00,-18623.0
2021-12-09 03:00:00,-533.0
2021-12-10 03:00:00,-18563.0
2021-12-11 03:00:00,-9938.0
2021-12-12 03:00:00,30623.0
2021-12-13 03:00:00,34088.0
2021-12-14 03:00:00,21443.0
2021-12-15 03:00:00,13103.0
2021-12-16 03:00:00,-12653.0
2021-12-17 03:00:00,-4043.0
2021-12-18 03:00:00,6203.0
2021-12-19 03:00:00,28658.0
2021-12-20 03:00:00,4418.0
2021-12-21 03:00:00,13673.0
2021-12-22 03:00:00,-23888.0
2021-12-23 03:00:00,4553.0
2021-12-24 03:00:00,12998.0
2021-12-25 03:00:00,13478.0
2021-12-26 03:00:00,-16313.0
2021-12-27 03:00:00,-19448.0
2021-12-28 03:00:00,13613.0
2021-12-29 03:00:00,27593.0
2021-12-30 03:00:00,-17783.0
2021-12-31 03:00:00,2693.0
2022-01-01 03:00:00,-6458.0
2022-01-02 03:00:00,-3308.0
2022-01-03 03:00:00,-18773.0
2022-01-04 03:00:00,13808.0
2022-01-05 03:00:00,29813.0
2022-01-06 03:00:00,-23288.0
2022-01-07 03:00:00,19283.0
2022-01-08 03:00:00,-2813.0
2022-01-09 03:00:00,-18593.0
2022-01-10 03:00:00,16838.0
2022-01-11 03:00:00,20843.0
2022-01-12 03:00:00,17603.0
2022-01-13 03:00:00,12503.0
2022-01-14 03:00:00,37778.0
2022-01-15 03:00:00,9743.0
2022-01-16 03:00:00,21038.0
2022-01-17 03:00:00,27353.0
2022-01-18 03:00:00,2018.0
2022-01-19 03:00:00,40883.0
2022-01-20 03:00:00,248.0
2022-01-21 03:00:00,25658.0
2022-01-22 03:00:00,-2888.0
2022-01-23 03:00:00,-9938.0
2022-01-24 03:00:00,16703.0
2022-01-25 03:00:00,-28673.0
2022-01-26 03:00:00,5258.0
2022-01-27 03:00:00,17033.0
2022-01-28 03:00:00,863.0
2022-01-29 03:00:00,-14438.0
2022-01-30 03:00:00,3593.0
2022-01-31 03:00:00,-12158.0
2022-02-01 03:00:00,-158.0
2022-02-02 03:00:00,3728.0
2022-02-03 03:00:00,-10568.0
2022-02-04 03:00:00,-16403.0
2022-02-05 03:00:00,-24758.0
2022-02-06 03:00:00,-21488.0
2022-02-07 03:00:00,-3623.0
2022-02-08 03:00:00,-18593.0
2022-02-09 03:00:00,-12293.0
2022-02-10 03:00:00,-7733.0
2022-02-11 03:00:00,-15398.0
2022-02-12 03:00:00,-16223.0
2022-02-13 03:00:00,-20423.0
2022-02-14 03:00:00,-27143.0
2022-02-15 03:00:00,-19733.0
2022-02-16 03:00:00,-24638.0
2022-02-17 03:00:00,-28088.0
2022-02-18 03:00:00,-22943.0
2022-02-19 03:00:00,12878.0
2022-02-20 03:00:00,-27683.0
2022-02-21 03:00:00,-19523.0
2022-02-22 03:00:00,20063.0
2022-02-23 03:00:00,-9803.0
2022-02-24 03:00:00,38453.0
2022-02-25 03:00:00,-25493.0
2022-02-26 03:00:00,-8633.0
2022-02-27 03:00:00,30698.0
2022-02-28 03:00:00,8603.0
2022-03-01 03:00:00,26933.0
2022-03-02 03:00:00,23978.0
2022-03-03 03:00:00,13748.0
2022-03-04 03:00:00,8258.0
2022-03-05 03:00:00,-20858.0
2022-03-06 03:00:00,8528.0
2022-03-07 03:00:00,-2063.0
2022-03-08 03:00:00,-22073.0
2022-03-09 03:00:00,-6443.0
2022-03-10 03:00:00,-7103.0
2022-03-11 03:00:00,3908.0
2022-03-12 03:00:00,-20603.0
2022-03-13 03:00:00,-2408.0
2022-03-14 03:00:00,-4763.0
2022-03-15 03:00:00,-1943.0
2022-03-16 03:00:00,37793.0
2022-03-17 03:00:00,-5723.0
2022-03-18 03:00:00,5348.0
2022-03-19 03:00:00,18968.0
2022-03-20 03:00:00,3863.0
2022-03-21 03:00:00,14723.0
2022-03-22 03:00:00,-19013.0
2022-03-23 03:00:00,18218.0
2022-03-24 03:00:00,-21323.0
2022-03-25 03:00:00,-8993.0
2022-03-26 03:00:00,-17633.0
2022-03-27 03:00:00,2618.0
2022-03-28 03:00:00,31883.0
2022-03-29 03:00:00,968.0
2022-03-30 03:00:00,-23198.0
2022-03-31 03:00:00,-9908.0
2022-04-01 03:00:00,-23723.0
2022-04-02 03:00:00,-25493.0
2022-04-03 03:00:00,-14153.0
2022-04-04 03:00:00,-21923.0
2022-04-05 03:00:00,-20288.0
2022-04-06 03:00:00,-18503.0
2022-04-07 03:00:00,593.0
2022-04-08 03:00:00,-26048.0
2022-04-09 03:00:00,-12998.0
2022-04-10 03:00:00,-14813.0
2022-04-11 03:00:00,-23243.0
2022-04-12 03:00:00,-21893.0
2022-04-13 03:00:00,-20288.0
2022-04-14 03:00:00,-11573.0
2022-04-15 03:00:00,-19553.0
2022-04-16 03:00:00,-17573.0
2022-04-17 03:00:00,-29678.0
2022-04-18 03:00:00,-18413.0
2022-04-19 03:00:00,-23738.0
2022-04-20 03:00:00,-5018.0
2022-04-21 03:00:00,-21653.0
2022-04-22 03:00:00,-22193.0
2022-04-23 03:00:00,-17768.0
2022-04-24 03:00:00,-25073.0
2022-04-25 03:00:00,128.0
2022-04-26 03:00:00,-13673.0
2022-04-27 03:00:00,-20693.0
2022-04-28 03:00:00,-5483.0
2022-04-29 03:00:00,-14963.0
2022-04-30 03:00:00,-17258.0
2022-05-01 03:00:00,9113.0
2022-05-02 03:00:00,-20528.0
2022-05-03 03:00:00,-11753.0
2022-05-04 03:00:00,14168.0
2022-05-05 03:00:00,26993.0
2022-05-06 03:00:00,-1118.0
2022-05-07 03:00:00,-12473.0
2022-05-08 03:00:00,15128.0
2022-05-09 03:00:00,26183.0
2022-05-10 03:00:00,18353.0
2022-05-11 03:00:00,23873.0
2022-05-12 03:00:00,20438.0
2022-05-13 03:00:00,-10478.0
2022-05-14 03:00:00,-18188.0
2022-05-15 03:00:00,29228.0
2022-05-16 03:00:00,11108.0
2022-05-17 03:00:00,11018.0
2022-05-18 03:00:00,20393.0
2022-05-19 03:00:00,788.0
2022-05-20 03:00:00,16193.0
2022-05-21 03:00:00,-23888.0
2022-05-22 03:00:00,-13583.0
2022-05-23 03:00:00,-11078.0
2022-05-24 03:00:00,1943.0
2022-05-25 03:00:00,8663.0
2022-05-26 03:00:00,-7148.0
2022-05-27 03:00:00,37568.0
2022-05-28 03:00:00,18773.0
2022-05-29 03:00:00,38378.0
2022-05-30 03:00:00,34943.0
2022-05-31 03:00:00,22403.0
2022-06-01 03:00:00,36098.0
2022-06-02 03:00:00,24008.0
2022-06-03 03:00:00,29558.0
2022-06-04 03:00:00,33608.0
2022-06-05 03:00:00,22223.0
2022-06-06 03:00:00,35513.0
2022-06-07 03:00:00,13088.0
2022-06-08 03:00:00,24518.0
2022-06-09 03:00:00,33998.0
2022-06-10 03:00:00,27728.0
2022-06-11 03:00:00,21413.0
2022-06-12 03:00:00,36038.0
2022-06-13 03:00:00,24833.0
2022-06-14 03:00:00,10883.0
2022-06-15 03:00:00,21188.0
2022-06-16 03:00:00,37013.0
2022-06-17 03:00:00,17183.0
2022-06-18 03:00:00,13943.0
2022-06-19 03:00:00,21698.0
2022-06-20 03:00:00,32498.0
2022-06-21 03:00:00,7328.0
2022-06-22 03:00:00,-3803.0
2022-06-23 03:00:00,-19493.0
2022-06-24 03:00:00,36158.0
2022-06-25 03:00:00,25853.0
2022-06-26 03:00:00,25553.0
2022-06-27 03:00:00,28928.0
2022-06-28 03:00:00,22568.0
2022-06-29 03:00:00,20408.0
2022-06-30 03:00:00,21668.0
2022-07-01 03:00:00,30773.0
2022-07-02 03:00:00,16868.0
2022-07-03 03:00:00,38318.0
2022-07-04 03:00:00,27758.0
2022-07-05 03:00:00,24113.0
2022-07-06 03:00:00,33983.0
2022-07-07 03:00:00,28523.0
2022-07-08 03:00:00,31643.0
2022-07-09 03:00:00,28223.0
2022-07-10 03:00:00,32438.0
2022-07-11 03:00:00,26903.0
2022-07-12 03:00:00,27788.0
2022-07-13 03:00:00,38813.0
2022-07-14 03:00:00,32483.0
2022-07-15 03:00:00,39668.0
2022-07-16 03:00:00,22553.0
2022-07-17 03:00:00,19658.0
2022-07-18 03:00:00,15188.0
2022-07-19 03:00:00,40283.0
2022-07-20 03:00:00,32093.0
2022-07-21 03:00:00,40298.0
2022-07-22 03:00:00,30923.0
2022-07-23 03:00:00,15218.0
2022-07-24 03:00:00,24158.0
2022-07-25 03:00:00,34148.0
2022-07-26 03:00:00,-21458.0
2022-07-27 03:00:00,-10463.0
2022-07-28 03:00:00,-11063.0
2022-07-29 03:00:00,-25538.0
2022-07-30 03:00:00,-8378.0
2022-07-31 03:00:00,38963.0
2022-08-01 03:00:00,34913.0
2022-08-02 03:00:00,32993.0
2022-08-03 03:00:00,19133.0
2022-08-04 03:00:00,29453.0
2022-08-05 03:00:00,34388.0
2022-08-06 03:00:00,33113.0
2022-08-07 03:00:00,34058.0
2022-08-08 03:00:00,29723.0
2022-08-09 03:00:00,29258.0
2022-08-10 03:00:00,21278.0
2022-08-11 03:00:00,28448.0
2022-08-12 03:00:00,26243.0
2022-08-13 03:00:00,28763.0
2022-08-14 03:00:00,33593.0
2022-08-15 03:00:00,27998.0
2022-08-16 03:00:00,28553.0
2022-08-17 03:00:00,35633.0
2022-08-18 03:00:00,28358.0
2022-08-19 03:00:00,37208.0
2022-08-20 03:00:00,18368.0
2022-08-21 03:00:00,33473.0
2022-08-22 03:00:00,21563.0
2022-08-23 03:00:00,35513.0
2022-08-24 03:00:00,15893.0
2022-08-25 03:00:00,28238.0
2022-08-26 03:00:00,26498.0
2022-08-27 03:00:00,25328.0
2022-08-28 03:00:00,7673.0
2022-08-29 03:00:00,26888.0
2022-08-30 03:00:00,-38.0
2022-08-31 03:00:00,25823.0
2022-09-01 03:00:00,-12818.0
2022-09-02 03:00:00,-11723.0
2022-09-03 03:00:00,13433.0
2022-09-04 03:00:00,-263.0
2022-09-05 03:00:00,33953.0
2022-09-06 03:00:00,-16268.0
2022-09-07 03:00:00,16463.0
2022-09-08 03:00:00,3473.0
2022-09-09 03:00:00,33473.0
2022-09-10 03:00:00,33578.0
2022-09-11 03:00:00,16373.0
2022-09-12 03:00:00,38138.0
2022-09-13 03:00:00,29483.0
2022-09-14 03:00:00,32723.0
2022-09-15 03:00:00,35153.0
2022-09-16 03:00:00,29738.0
2022-09-17 03:00:00,31958.0
2022-09-18 03:00:00,38933.0
2022-09-19 03:00:00,14663.0
2022-09-20 03:00:00,42593.0
2022-09-21 03:00:00,3368.0
2022-09-22 03:00:00,-11108.0
2022-09-23 03:00:00,-7778.0
2022-09-24 03:00:00,6608.0
2022-09-25 03:00:00,-2243.0
2022-09-26 03:00:00,-21143.0
2022-09-27 03:00:00,13208.0
2022-09-28 03:00:00,-1118.0
2022-09-29 03:00:00,-18338.0
2022-09-30 03:00:00,6053.0
2022-10-01 03:00:00,-6473.0
2022-10-02 03:00:00,9188.0
2022-10-03 03:00:00,-17198.0
2022-10-04 03:00:00,25388.0
2022-10-05 03:00:00,-32813.0
2022-10-06 03:00:00,473.0
2022-10-07 03:00:00,23948.0
2022-10-08 03:00:00,17363.0
2022-10-09 03:00:00,-98.0
2022-10-10 03:00:00,-17588.0
2022-10-11 03:00:00,30218.0
