Time,Solar Panel -X Temperature
2021-06-14 03:00:00,-14.0
2021-06-15 03:00:00,23.0
2021-06-16 03:00:00,22.0
2021-06-17 03:00:00,19.0
2021-06-18 03:00:00,-12.0
2021-06-19 03:00:00,20.0
2021-06-20 03:00:00,-50.0
2021-06-21 03:00:00,8.3
2021-06-22 03:00:00,12.0
2021-06-23 03:00:00,-43.0
2021-06-24 03:00:00,4.8
2021-06-25 03:00:00,-72.0
2021-06-26 03:00:00,57.0
2021-06-27 03:00:00,-42.0
2021-06-28 03:00:00,-55.0
2021-06-29 03:00:00,16.0
2021-06-30 03:00:00,-49.0
2021-07-01 03:00:00,72.0
2021-07-02 03:00:00,-16.0
2021-07-03 03:00:00,-61.0
2021-07-04 03:00:00,79.0
2021-07-05 03:00:00,-11.0
2021-07-06 03:00:00,-19.0
2021-07-07 03:00:00,72.0
2021-07-08 03:00:00,-47.0
2021-07-09 03:00:00,55.0
2021-07-10 03:00:00,64.0
2021-07-11 03:00:00,42.0
2021-07-12 03:00:00,84.0
2021-07-13 03:00:00,89.0
2021-07-14 03:00:00,92.0
2021-07-15 03:00:00,92.0
2021-07-16 03:00:00,92.0
2021-07-17 03:00:00,94.0
2021-07-18 03:00:00,90.0
2021-07-19 03:00:00,93.0
2021-07-20 03:00:00,86.0
2021-07-21 03:00:00,85.0
2021-07-22 03:00:00,78.0
2021-07-23 03:00:00,82.0
2021-07-24 03:00:00,78.0
2021-07-25 03:00:00,78.0
2021-07-26 03:00:00,59.0
2021-07-27 03:00:00,85.0
2021-07-28 03:00:00,81.0
2021-07-29 03:00:00,74.0
2021-07-30 03:00:00,17.0
2021-07-31 03:00:00,18.0
2021-08-01 03:00:00,21.0
2021-08-02 03:00:00,19.0
2021-08-03 03:00:00,21.0
2021-08-04 03:00:00,23.0
2021-08-05 03:00:00,24.0
2021-08-06 03:00:00,45.0
2021-08-07 03:00:00,74.0
2021-08-08 03:00:00,65.0
2021-08-09 03:00:00,69.0
2021-08-10 03:00:00,84.0
2021-08-11 03:00:00,78.0
2021-08-12 03:00:00,83.0
2021-08-13 03:00:00,86.0
2021-08-14 03:00:00,84.0
2021-08-15 03:00:00,86.0
2021-08-16 03:00:00,87.0
2021-08-17 03:00:00,76.0
2021-08-18 03:00:00,80.0
2021-08-19 03:00:00,80.0
2021-08-20 03:00:00,82.0
2021-08-21 03:00:00,70.0
2021-08-22 03:00:00,66.0
2021-08-23 03:00:00,14.0
2021-08-24 03:00:00,-19.0
2021-08-25 03:00:00,0.8
2021-08-26 03:00:00,-11.0
2021-08-27 03:00:00,-12.0
2021-08-28 03:00:00,-5.0
2021-08-29 03:00:00,-17.0
2021-08-30 03:00:00,-28.0
2021-08-31 03:00:00,-50.0
2021-09-01 03:00:00,-31.0
2021-09-02 03:00:00,-33.0
2021-09-03 03:00:00,-78.0
2021-09-04 03:00:00,1.8
2021-09-05 03:00:00,-63.0
2021-09-06 03:00:00,-55.0
2021-09-07 03:00:00,-38.0
2021-09-08 03:00:00,-36.0
2021-09-09 03:00:00,-38.0
2021-09-10 03:00:00,-32.0
2021-09-11 03:00:00,-37.0
2021-09-12 03:00:00,-47.0
2021-09-13 03:00:00,-34.0
2021-09-14 03:00:00,-18.0
2021-09-15 03:00:00,-7.0
2021-09-16 03:00:00,-37.0
2021-09-17 03:00:00,-25.0
2021-09-18 03:00:00,0.8
2021-09-19 03:00:00,-14.0
2021-09-20 03:00:00,-34.0
2021-09-21 03:00:00,34.0
2021-09-22 03:00:00,71.0
2021-09-23 03:00:00,71.0
2021-09-24 03:00:00,35.0
2021-09-25 03:00:00,53.0
2021-09-26 03:00:00,59.0
2021-09-27 03:00:00,18.0
2021-09-28 03:00:00,6.8
2021-09-29 03:00:00,1.8
2021-09-30 03:00:00,21.0
2021-10-01 03:00:00,-31.0
2021-10-02 03:00:00,-13.0
2021-10-03 03:00:00,-9.0
2021-10-04 03:00:00,-15.0
2021-10-05 03:00:00,-23.0
2021-10-06 03:00:00,-15.0
2021-10-07 03:00:00,-16.0
2021-10-08 03:00:00,-16.0
2021-10-09 03:00:00,-14.0
2021-10-10 03:00:00,-20.0
2021-10-11 03:00:00,65.0
2021-10-12 03:00:00,88.0
2021-10-13 03:00:00,82.0
2021-10-14 03:00:00,82.0
2021-10-15 03:00:00,90.0
2021-10-16 03:00:00,79.0
2021-10-17 03:00:00,44.0
2021-10-18 03:00:00,9.2
2021-10-19 03:00:00,43.0
2021-10-20 03:00:00,65.0
2021-10-21 03:00:00,16.0
2021-10-22 03:00:00,18.0
2021-10-23 03:00:00,18.0
2021-10-24 03:00:00,-50.0
2021-10-25 03:00:00,-14.0
2021-10-26 03:00:00,-46.0
2021-10-27 03:00:00,-52.0
2021-10-28 03:00:00,-20.0
2021-10-29 03:00:00,-53.0
2021-10-30 03:00:00,-54.0
2021-10-31 03:00:00,-54.0
2021-11-01 03:00:00,-54.0
2021-11-02 03:00:00,-54.0
2021-11-03 03:00:00,-52.0
2021-11-04 03:00:00,-53.0
2021-11-05 03:00:00,-50.0
2021-11-06 03:00:00,-58.0
2021-11-07 03:00:00,-61.0
2021-11-08 03:00:00,-75.0
2021-11-09 03:00:00,-67.0
2021-11-10 03:00:00,-58.0
2021-11-11 03:00:00,-72.0
2021-11-12 03:00:00,-59.0
2021-11-13 03:00:00,-62.0
2021-11-14 03:00:00,-69.0
2021-11-15 03:00:00,-74.0
2021-11-16 03:00:00,-63.0
2021-11-17 03:00:00,-69.0
2021-11-18 03:00:00,-63.0
2021-11-19 03:00:00,-59.0
2021-11-20 03:00:00,-64.0
2021-11-21 03:00:00,-52.0
2021-11-22 03:00:00,-39.0
2021-11-23 03:00:00,-55.0
2021-11-24 03:00:00,-28.0
2021-11-25 03:00:00,-10.0
2021-11-26 03:00:00,-13.0
2021-11-27 03:00:00,-21.0
