Time,Elevation (onboard prediction)
2021-06-14 03:00:00,0.0
2021-06-15 03:00:00,0.0
2021-06-16 03:00:00,0.0
2021-06-17 03:00:00,0.0
2021-06-18 03:00:00,0.0
2021-06-19 03:00:00,0.0
2021-06-20 03:00:00,0.0
2021-06-21 03:00:00,0.0
2021-06-22 03:00:00,0.0
2021-06-23 03:00:00,0.0
2021-06-24 03:00:00,0.0
2021-06-25 03:00:00,0.0
2021-06-26 03:00:00,0.0
2021-06-27 03:00:00,0.0
2021-06-28 03:00:00,0.0
2021-06-29 03:00:00,0.0
2021-06-30 03:00:00,0.0
2021-07-01 03:00:00,0.0
2021-07-02 03:00:00,0.0
2021-07-03 03:00:00,0.0
2021-07-04 03:00:00,0.0
2021-07-05 03:00:00,0.0
2021-07-06 03:00:00,0.0
2021-07-07 03:00:00,0.0
2021-07-08 03:00:00,0.0
2021-07-09 03:00:00,0.0
2021-07-10 03:00:00,0.0
2021-07-11 03:00:00,0.0
2021-07-12 03:00:00,0.0
2021-07-13 03:00:00,417.0
2021-07-14 03:00:00,412.0
2021-07-15 03:00:00,0.0
2021-07-16 03:00:00,0.0
2021-07-17 03:00:00,0.0
2021-07-18 03:00:00,412.0
2021-07-19 03:00:00,412.0
2021-07-20 03:00:00,412.0
2021-07-21 03:00:00,412.0
2021-07-22 03:00:00,0.0
2021-07-23 03:00:00,0.0
2021-07-24 03:00:00,0.0
2021-07-25 03:00:00,412.0
2021-07-26 03:00:00,411.0
2021-07-27 03:00:00,411.0
2021-07-28 03:00:00,411.0
2021-07-29 03:00:00,411.0
2021-07-30 03:00:00,411.0
2021-07-31 03:00:00,411.0
2021-08-01 03:00:00,411.0
2021-08-02 03:00:00,410.0
2021-08-03 03:00:00,0.0
2021-08-04 03:00:00,410.0
2021-08-05 03:00:00,410.0
2021-08-06 03:00:00,410.0
2021-08-07 03:00:00,409.0
2021-08-08 03:00:00,409.0
2021-08-09 03:00:00,0.0
2021-08-10 03:00:00,409.0
2021-08-11 03:00:00,409.0
2021-08-12 03:00:00,408.0
2021-08-13 03:00:00,408.0
2021-08-14 03:00:00,408.0
2021-08-15 03:00:00,408.0
2021-08-16 03:00:00,408.0
2021-08-17 03:00:00,407.0
2021-08-18 03:00:00,407.0
2021-08-19 03:00:00,407.0
2021-08-20 03:00:00,407.0
2021-08-21 03:00:00,407.0
2021-08-22 03:00:00,407.0
2021-08-23 03:00:00,406.0
2021-08-24 03:00:00,406.0
2021-08-25 03:00:00,406.0
2021-08-26 03:00:00,406.0
2021-08-27 03:00:00,406.0
2021-08-28 03:00:00,0.0
2021-08-29 03:00:00,0.0
2021-08-30 03:00:00,405.0
2021-08-31 03:00:00,405.0
2021-09-01 03:00:00,405.0
2021-09-02 03:00:00,405.0
2021-09-03 03:00:00,405.0
2021-09-04 03:00:00,404.0
2021-09-05 03:00:00,404.0
2021-09-06 03:00:00,404.0
2021-09-07 03:00:00,404.0
2021-09-08 03:00:00,404.0
2021-09-09 03:00:00,404.0
2021-09-10 03:00:00,404.0
2021-09-11 03:00:00,404.0
2021-09-12 03:00:00,404.0
2021-09-13 03:00:00,404.0
2021-09-14 03:00:00,404.0
2021-09-15 03:00:00,404.0
2021-09-16 03:00:00,404.0
2021-09-17 03:00:00,404.0
2021-09-18 03:00:00,404.0
2021-09-19 03:00:00,404.0
2021-09-20 03:00:00,404.0
2021-09-21 03:00:00,405.0
2021-09-22 03:00:00,404.0
2021-09-23 03:00:00,404.0
2021-09-24 03:00:00,404.0
2021-09-25 03:00:00,404.0
2021-09-26 03:00:00,404.0
2021-09-27 03:00:00,404.0
2021-09-28 03:00:00,404.0
2021-09-29 03:00:00,404.0
2021-09-30 03:00:00,404.0
2021-10-01 03:00:00,404.0
2021-10-02 03:00:00,405.0
2021-10-03 03:00:00,405.0
2021-10-04 03:00:00,405.0
2021-10-05 03:00:00,405.0
2021-10-06 03:00:00,405.0
2021-10-07 03:00:00,405.0
2021-10-08 03:00:00,405.0
2021-10-09 03:00:00,405.0
2021-10-10 03:00:00,406.0
2021-10-11 03:00:00,406.0
2021-10-12 03:00:00,406.0
2021-10-13 03:00:00,406.0
2021-10-14 03:00:00,407.0
2021-10-15 03:00:00,416.0
2021-10-16 03:00:00,406.0
2021-10-17 03:00:00,406.0
2021-10-18 03:00:00,0.0
2021-10-19 03:00:00,407.0
2021-10-20 03:00:00,407.0
2021-10-21 03:00:00,407.0
2021-10-22 03:00:00,407.0
2021-10-23 03:00:00,407.0
2021-10-24 03:00:00,407.0
2021-10-25 03:00:00,407.0
2021-10-26 03:00:00,0.0
2021-10-27 03:00:00,0.0
2021-10-28 03:00:00,0.0
2021-10-29 03:00:00,406.0
2021-10-30 03:00:00,406.0
2021-10-31 03:00:00,406.0
2021-11-01 03:00:00,405.0
2021-11-02 03:00:00,405.0
2021-11-03 03:00:00,405.0
2021-11-04 03:00:00,405.0
2021-11-05 03:00:00,404.0
2021-11-06 03:00:00,404.0
2021-11-07 03:00:00,404.0
2021-11-08 03:00:00,403.0
2021-11-09 03:00:00,403.0
2021-11-10 03:00:00,402.0
2021-11-11 03:00:00,403.0
2021-11-12 03:00:00,402.0
2021-11-13 03:00:00,402.0
2021-11-14 03:00:00,401.0
2021-11-15 03:00:00,402.0
2021-11-16 03:00:00,401.0
2021-11-17 03:00:00,401.0
2021-11-18 03:00:00,400.0
2021-11-19 03:00:00,401.0
2021-11-20 03:00:00,400.0
2021-11-21 03:00:00,400.0
2021-11-22 03:00:00,399.0
2021-11-23 03:00:00,399.0
2021-11-24 03:00:00,399.0
2021-11-25 03:00:00,399.0
2021-11-26 03:00:00,399.0
2021-11-27 03:00:00,398.0
2021-11-28 03:00:00,400.0
2021-11-29 03:00:00,398.0
2021-11-30 03:00:00,398.0
2021-12-01 03:00:00,399.0
2021-12-02 03:00:00,397.0
2021-12-03 03:00:00,397.0
2021-12-04 03:00:00,397.0
2021-12-05 03:00:00,399.0
2021-12-06 03:00:00,399.0
2021-12-07 03:00:00,398.0
2021-12-08 03:00:00,404.0
2021-12-09 03:00:00,407.0
2021-12-10 03:00:00,398.0
2021-12-11 03:00:00,0.0
2021-12-12 03:00:00,0.0
