"Time","44878.mode"
2020-07-14 03:00:00,547063
2020-07-15 03:00:00,583182
2020-07-16 03:00:00,5769
2020-07-17 03:00:00,17590
2020-07-18 03:00:00,58743
2020-07-19 03:00:00,89350
2020-07-20 03:00:00,109135
2020-07-21 03:00:00,151845
2020-07-22 03:00:00,188718
2020-07-23 03:00:00,215149
2020-07-24 03:00:00,247474
2020-07-25 03:00:00,311442
2020-07-26 03:00:00,336245
2020-07-27 03:00:00,25338
2020-07-28 03:00:00,11
2020-07-29 03:00:00,39448
2020-07-30 03:00:00,50007
2020-07-31 03:00:00,81292
2020-08-01 03:00:00,96946
2020-08-02 03:00:00,132597
2020-08-03 03:00:00,142275
2020-08-04 03:00:00,176724
2020-08-05 03:00:00,204977
2020-08-06 03:00:00,226241
2020-08-07 03:00:00,251803
2020-08-08 03:00:00,265678
2020-08-09 03:00:00,284584
2020-08-10 03:00:00,303669
2020-08-11 03:00:00,325748
2020-08-12 03:00:00,33370
2020-08-13 03:00:00,51007
2020-08-14 03:00:00,98405
2020-08-15 03:00:00,124389
2020-08-16 03:00:00,128122
2020-08-17 03:00:00,144034
2020-08-18 03:00:00,174171
2020-08-19 03:00:00,226544
2020-08-20 03:00:00,15130
2020-08-21 03:00:00,35163
2020-08-22 03:00:00,39707
2020-08-23 03:00:00,58336
2020-08-24 03:00:00,8990
2020-08-25 03:00:00,69168
2020-08-26 03:00:00,71821
2020-08-27 03:00:00,108411
2020-08-28 03:00:00,119267
2020-08-31 03:00:00,4616
2020-09-01 03:00:00,304
2020-09-02 03:00:00,101866
2020-09-03 03:00:00,130300
2020-09-04 03:00:00,176921
2020-09-05 03:00:00,2018
2020-09-06 03:00:00,48593
2020-09-07 03:00:00,97513
2020-09-08 03:00:00,198789
2020-09-09 03:00:00,211137
2020-09-10 03:00:00,286289
2020-09-11 03:00:00,294833
2020-09-12 03:00:00,298698
2020-09-13 03:00:00,307247
2020-09-14 03:00:00,17736
2020-09-15 03:00:00,27509
2020-09-16 03:00:00,11637
2020-09-17 03:00:00,3522
2020-09-18 03:00:00,75860
2020-09-19 03:00:00,16068
2020-09-20 03:00:00,44943
2020-09-21 03:00:00,73872
2020-09-22 03:00:00,261125
2020-09-23 03:00:00,365813
2020-09-24 03:00:00,434054
2020-09-25 03:00:00,437921
2020-09-26 03:00:00,483354
2020-09-27 03:00:00,34160
2020-09-28 03:00:00,19397
2020-09-29 03:00:00,34632
2020-09-30 03:00:00,127486
2020-10-01 03:00:00,149411
2020-10-02 03:00:00,1145
2020-10-03 03:00:00,5232
2020-10-04 03:00:00,8554
2020-10-05 03:00:00,12413
2020-10-06 03:00:00,20997
2020-10-07 03:00:00,74
2020-10-08 03:00:00,5002
2020-10-09 03:00:00,13338
2020-10-10 03:00:00,27708
2020-10-11 03:00:00,32683
2020-10-12 03:00:00,42369
2020-10-13 03:00:00,58076
2020-10-14 03:00:00,67193
2020-10-15 03:00:00,71613
2020-10-16 03:00:00,45938
2020-10-17 03:00:00,77039
2020-10-18 03:00:00,113999
2020-10-19 03:00:00,130073
2020-10-20 03:00:00,176646
2020-10-21 03:00:00,186584
2020-10-22 03:00:00,194558
2020-10-23 03:00:00,208737
2020-10-24 03:00:00,217314
2020-10-25 03:00:00,226452
2020-10-26 03:00:00,7031
2020-10-27 03:00:00,10565
2020-10-28 03:00:00,19329
2020-10-29 03:00:00,33060
2020-10-30 03:00:00,42084
2020-10-31 03:00:00,58806
2020-11-01 03:00:00,110456
2020-11-02 03:00:00,169322
2020-11-03 03:00:00,216286
2020-11-04 03:00:00,224309
2020-11-05 03:00:00,228734
2020-11-06 03:00:00,251611
2020-11-07 03:00:00,254895
2020-11-08 03:00:00,289234
2020-11-09 03:00:00,355215
2020-11-10 03:00:00,369041
2020-11-11 03:00:00,378167
2020-11-12 03:00:00,2285
2020-11-13 03:00:00,90445
2020-11-14 03:00:00,170792
2020-11-15 03:00:00,179354
2020-11-16 03:00:00,187330
2020-11-17 03:00:00,196459
2020-11-18 03:00:00,205592
2020-11-19 03:00:00,214146
2020-11-20 03:00:00,221118
2020-11-21 03:00:00,231256
2020-11-22 03:00:00,239820
2020-11-23 03:00:00,248388
2020-11-24 03:00:00,257499
2020-11-25 03:00:00,266868
2020-11-26 03:00:00,12390
2020-11-27 03:00:00,61744
2020-11-28 03:00:00,70879
2020-11-29 03:00:00,105364
2020-11-30 03:00:00,164273
2020-12-01 03:00:00,227116
2020-12-02 03:00:00,262553
2020-12-03 03:00:00,277948
2020-12-04 03:00:00,313535
2020-12-05 03:00:00,359681
2020-12-06 03:00:00,362986
2020-12-07 03:00:00,396887
2020-12-08 03:00:00,460533
2020-12-09 03:00:00,465989
2020-12-10 03:00:00,485259
2020-12-11 03:00:00,497945
2020-12-12 03:00:00,514194
2020-12-13 03:00:00,526168
2020-12-14 03:00:00,538553
2020-12-15 03:00:00,1952
2020-12-16 03:00:00,26071
2020-12-17 03:00:00,83729
2020-12-18 03:00:00,93896
2020-12-19 03:00:00,100911
2020-12-20 03:00:00,124201
2020-12-21 03:00:00,177377
2020-12-22 03:00:00,193828
2020-12-23 03:00:00,210866
2020-12-24 03:00:00,217874
2020-12-25 03:00:00,236416
2020-12-26 03:00:00,256869
2020-12-27 03:00:00,271620
2020-12-28 03:00:00,283842
2020-12-29 03:00:00,293179
2020-12-30 03:00:00,302278
2020-12-31 03:00:00,308390
2021-01-01 03:00:00,326473
2021-01-02 03:00:00,725468
2021-01-03 03:00:00,737865
2021-01-04 03:00:00,853382
2021-01-05 03:00:00,883744
2021-01-06 03:00:00,893928
2021-01-07 03:00:00,1098989
2021-01-08 03:00:00,8898
2021-01-09 03:00:00,18058
2021-01-10 03:00:00,25943
2021-01-11 03:00:00,9226
2021-01-12 03:00:00,11762
2021-01-13 03:00:00,18435
2021-01-14 03:00:00,386
2021-01-15 03:00:00,3676
2021-01-16 03:00:00,12608
2021-01-17 03:00:00,31617
2021-01-18 03:00:00,18058
2021-01-19 03:00:00,15995
2021-01-20 03:00:00,19437
2021-01-21 03:00:00,13591
2021-01-22 03:00:00,25012
2021-01-23 03:00:00,33556
2021-01-24 03:00:00,42578
2021-01-25 03:00:00,55695
2021-01-26 03:00:00,73762
2021-01-27 03:00:00,78169
2021-01-28 03:00:00,85374
2021-01-29 03:00:00,762
2021-01-30 03:00:00,2011
2021-02-01 03:00:00,1640
2021-02-02 03:00:00,3226
2021-02-03 03:00:00,14908
2021-02-04 03:00:00,24016
2021-02-05 03:00:00,56344
2021-02-06 03:00:00,181
2021-02-07 03:00:00,10
2021-02-08 03:00:00,3302
2021-02-09 03:00:00,11155
2021-02-10 03:00:00,28949
2021-02-11 03:00:00,169
2021-02-12 03:00:00,25404
2021-02-13 03:00:00,37242
2021-02-14 03:00:00,44429
2021-02-15 03:00:00,50848
2021-02-16 03:00:00,52888
2021-02-17 03:00:00,60345
2021-02-18 03:00:00,66114
2021-02-19 03:00:00,71286
2021-02-20 03:00:00,81502
2021-02-21 03:00:00,110470
2021-02-22 03:00:00,120157
2021-02-23 03:00:00,124314
2021-02-24 03:00:00,1923
2021-02-25 03:00:00,8332
2021-02-26 03:00:00,16469
2021-02-27 03:00:00,39009
2021-02-28 03:00:00,59400
2021-03-01 03:00:00,80078
2021-03-02 03:00:00,88236
2021-03-03 03:00:00,117116
2021-03-04 03:00:00,137836
2021-03-05 03:00:00,58
2021-03-06 03:00:00,16
2021-03-07 03:00:00,23173
2021-03-08 03:00:00,36276
2021-03-09 03:00:00,55118
2021-03-10 03:00:00,29830
2021-03-11 03:00:00,30
2021-03-12 03:00:00,40
2021-03-13 03:00:00,38
2021-03-14 03:00:00,41
2021-03-15 03:00:00,46
2021-03-16 03:00:00,45
2021-03-17 03:00:00,47
2021-03-18 03:00:00,51
2021-03-19 03:00:00,38
2021-03-20 03:00:00,47
2021-03-21 03:00:00,50
2021-03-22 03:00:00,48
2021-03-23 03:00:00,45
2021-03-24 03:00:00,57
2021-03-25 03:00:00,48
2021-03-26 03:00:00,34
2021-03-27 03:00:00,53
2021-03-28 03:00:00,43
2021-03-29 03:00:00,51
2021-03-30 03:00:00,56
2021-03-31 03:00:00,38
2021-04-01 03:00:00,55
2021-04-02 03:00:00,7059
2021-04-03 03:00:00,49
2021-04-04 03:00:00,38
2021-04-05 03:00:00,63
2021-04-06 03:00:00,46
2021-04-07 03:00:00,37
2021-04-08 03:00:00,29
2021-04-10 03:00:00,45
2021-04-11 03:00:00,58
2021-04-12 03:00:00,52
2021-04-13 03:00:00,43
2021-04-14 03:00:00,42
2021-04-15 03:00:00,46
2021-04-16 03:00:00,51
2021-04-17 03:00:00,23
2021-04-18 03:00:00,51
2021-04-19 03:00:00,37
2021-04-20 03:00:00,48
2021-04-21 03:00:00,31
2021-04-22 03:00:00,52
2021-04-23 03:00:00,3354
2021-04-24 03:00:00,48
2021-04-25 03:00:00,93
2021-04-26 03:00:00,42
2021-04-27 03:00:00,50
2021-04-28 03:00:00,29
2021-04-29 03:00:00,60
2021-04-30 03:00:00,55
2021-05-01 03:00:00,42
2021-05-02 03:00:00,48
2021-05-03 03:00:00,38
2021-05-04 03:00:00,4005
2021-05-05 03:00:00,53
2021-05-06 03:00:00,54
2021-05-07 03:00:00,48
2021-05-08 03:00:00,27
2021-05-09 03:00:00,41
2021-05-10 03:00:00,58
2021-05-11 03:00:00,2533
2021-05-12 03:00:00,46
2021-05-13 03:00:00,47
2021-05-14 03:00:00,44
2021-05-15 03:00:00,4679
2021-05-16 03:00:00,43
2021-05-17 03:00:00,49
2021-05-18 03:00:00,31
2021-05-19 03:00:00,50
2021-05-20 03:00:00,53
2021-05-21 03:00:00,47
2021-05-22 03:00:00,48
2021-05-23 03:00:00,53
2021-05-24 03:00:00,33
2021-05-25 03:00:00,492
2021-05-26 03:00:00,13974
2021-05-27 03:00:00,43
2021-05-28 03:00:00,64
2021-05-29 03:00:00,41
2021-05-30 03:00:00,38
2021-05-31 03:00:00,32
2021-06-01 03:00:00,47
2021-06-02 03:00:00,45
2021-06-03 03:00:00,52
2021-06-04 03:00:00,66
2021-06-05 03:00:00,55
2021-06-06 03:00:00,44
2021-06-07 03:00:00,47
2021-06-08 03:00:00,48
2021-06-09 03:00:00,46
2021-06-10 03:00:00,3664
2021-06-11 03:00:00,56
