Time,Mag X
2023-04-15 03:00:00,1.5e-05
2023-04-16 03:00:00,4.7e-05
2023-04-17 03:00:00,4.8e-05
2023-04-18 03:00:00,4.5e-05
2023-04-19 03:00:00,4.9e-05
2023-04-20 03:00:00,4.1e-05
2023-04-21 03:00:00,4.7e-05
2023-04-22 03:00:00,4.7e-05
2023-04-23 03:00:00,5.2e-05
2023-04-24 03:00:00,4.7e-05
2023-04-25 03:00:00,4.4e-05
2023-04-26 03:00:00,5.1e-05
2023-04-27 03:00:00,4.7e-05
2023-04-28 03:00:00,4.1e-05
2023-04-29 03:00:00,4.9e-05
2023-04-30 03:00:00,5.4e-05
2023-05-01 03:00:00,4.8e-05
2023-05-02 03:00:00,5.3e-05
2023-05-03 03:00:00,4.4e-05
2023-05-04 03:00:00,4.8e-05
2023-05-05 03:00:00,4.7e-05
2023-05-06 03:00:00,4.8e-05
2023-05-07 03:00:00,4.6e-05
2023-05-08 03:00:00,4.7e-05
2023-05-09 03:00:00,4.9e-05
2023-05-10 03:00:00,4.7e-05
2023-05-11 03:00:00,4.5e-05
2023-05-12 03:00:00,4.7e-05
2023-05-13 03:00:00,4.5e-05
2023-05-14 03:00:00,4.4e-05
2023-05-15 03:00:00,5.1e-05
2023-05-16 03:00:00,4.6e-05
2023-05-17 03:00:00,4.6e-05
2023-05-18 03:00:00,4.5e-05
2023-05-19 03:00:00,5.1e-05
2023-05-20 03:00:00,4.5e-05
2023-05-21 03:00:00,4.5e-05
2023-05-22 03:00:00,4.6e-05
2023-05-23 03:00:00,4.7e-05
2023-05-24 03:00:00,4.7e-05
2023-05-25 03:00:00,5.1e-05
2023-05-26 03:00:00,4.5e-05
2023-05-27 03:00:00,5.1e-05
2023-05-28 03:00:00,4.8e-05
2023-05-29 03:00:00,5.1e-05
2023-05-30 03:00:00,5e-05
2023-05-31 03:00:00,4.7e-05
2023-06-01 03:00:00,4.6e-05
2023-06-02 03:00:00,5.1e-05
2023-06-03 03:00:00,4.9e-05
2023-06-04 03:00:00,4.4e-05
2023-06-05 03:00:00,5.3e-05
2023-06-06 03:00:00,5.2e-05
2023-06-07 03:00:00,5.1e-05
2023-06-08 03:00:00,0.0
2023-06-09 03:00:00,0.0
2023-06-10 03:00:00,0.0
2023-06-11 03:00:00,5e-05
2023-06-12 03:00:00,4.9e-05
2023-06-13 03:00:00,5.5e-05
2023-06-14 03:00:00,5e-05
2023-06-15 03:00:00,4.8e-05
2023-06-16 03:00:00,5e-05
2023-06-17 03:00:00,4.3e-05
2023-06-18 03:00:00,3.6e-05
2023-06-19 03:00:00,4.5e-05
2023-06-20 03:00:00,4.1e-05
2023-06-21 03:00:00,3.7e-05
2023-06-22 03:00:00,5.3e-05
2023-06-23 03:00:00,0.0
2023-06-24 03:00:00,3.3e-05
2023-06-25 03:00:00,1.8e-05
2023-06-26 03:00:00,0.0
2023-06-27 03:00:00,4.2e-05
2023-06-28 03:00:00,3.3e-05
2023-06-29 03:00:00,3e-05
2023-06-30 03:00:00,2.9e-05
2023-07-01 03:00:00,0.0
2023-07-02 03:00:00,0.0
2023-07-03 03:00:00,0.0
2023-07-04 03:00:00,0.0
2023-07-05 03:00:00,0.0
2023-07-06 03:00:00,0.0
2023-07-07 03:00:00,0.0
2023-07-08 03:00:00,1.9e-05
2023-07-09 03:00:00,0.0
2023-07-10 03:00:00,0.0
2023-07-11 03:00:00,3.2e-05
2023-07-20 03:00:00,0.0
2023-07-21 03:00:00,2.5e-05
2023-07-22 03:00:00,2.8e-05
2023-07-23 03:00:00,0.0
2023-07-24 03:00:00,0.0
2023-07-25 03:00:00,0.0
2023-07-26 03:00:00,0.0
2023-07-27 03:00:00,0.0
2023-07-28 03:00:00,0.0
2023-07-29 03:00:00,0.0
2023-07-30 03:00:00,0.0
2023-07-31 03:00:00,0.0
2023-08-01 03:00:00,0.0
2023-08-02 03:00:00,0.0
2023-08-03 03:00:00,3.1e-05
2023-08-04 03:00:00,0.0
2023-08-05 03:00:00,3.8e-05
2023-08-06 03:00:00,1.6e-05
2023-08-07 03:00:00,6.6e-06
2023-08-08 03:00:00,0.0
2023-08-09 03:00:00,1.6e-05
2023-08-10 03:00:00,2.3e-05
2023-08-11 03:00:00,9.7e-07
2023-08-12 03:00:00,0.0
2023-08-13 03:00:00,0.0
2023-08-14 03:00:00,4.4e-05
2023-08-15 03:00:00,0.0
2023-08-16 03:00:00,1.4e-06
2023-08-17 03:00:00,0.0
2023-08-18 03:00:00,0.0
2023-08-19 03:00:00,2.6e-05
2023-08-20 03:00:00,0.0
2023-08-21 03:00:00,0.0
2023-08-22 03:00:00,0.0
2023-08-23 03:00:00,0.0
2023-08-24 03:00:00,0.0
2023-08-25 03:00:00,0.0
2023-08-26 03:00:00,0.0
2023-08-27 03:00:00,2.2e-06
2023-08-28 03:00:00,0.0
2023-08-29 03:00:00,0.0
2023-08-30 03:00:00,0.0
2023-08-31 03:00:00,1.3e-05
2023-09-01 03:00:00,0.0
2023-09-02 03:00:00,2.2e-05
2023-09-03 03:00:00,0.0
2023-09-04 03:00:00,2.6e-05
2023-09-05 03:00:00,1.4e-05
2023-09-06 03:00:00,0.0
2023-09-07 03:00:00,1.1e-05
2023-09-08 03:00:00,1.7e-05
2023-09-09 03:00:00,0.0
2023-09-10 03:00:00,0.0
2023-09-11 03:00:00,3.4e-05
2023-09-12 03:00:00,2.2e-05
2023-09-13 03:00:00,0.0
2023-09-14 03:00:00,2e-05
2023-09-15 03:00:00,0.0
2023-09-16 03:00:00,0.0
2023-09-17 03:00:00,1.1e-05
2023-09-18 03:00:00,1.6e-05
2023-09-19 03:00:00,0.0
2023-09-20 03:00:00,1.3e-05
2023-09-21 03:00:00,1.8e-06
2023-09-22 03:00:00,3.9e-07
2023-09-23 03:00:00,0.0
2023-09-24 03:00:00,1.3e-05
2023-09-25 03:00:00,0.0
2023-09-26 03:00:00,0.0
2023-09-27 03:00:00,0.0
2023-09-28 03:00:00,0.0
2023-09-29 03:00:00,0.0
2023-09-30 03:00:00,0.0
2023-10-01 03:00:00,0.0
2023-10-02 03:00:00,0.0
2023-10-03 03:00:00,0.0
2023-10-04 03:00:00,0.0
2023-10-05 03:00:00,0.0
2023-10-06 03:00:00,0.0
2023-10-07 03:00:00,4.5e-05
2023-10-08 03:00:00,5.2e-05
2023-10-09 03:00:00,4.9e-05
2023-10-10 03:00:00,5.1e-05
2023-10-11 03:00:00,4.6e-05
2023-10-12 03:00:00,4.6e-05
2023-10-13 03:00:00,4.4e-05
2023-10-14 03:00:00,5.2e-05
2023-10-15 03:00:00,4.6e-05
2023-10-16 03:00:00,5e-05
2023-10-17 03:00:00,0.0
2023-10-18 03:00:00,4.5e-05
2023-10-19 03:00:00,4.6e-05
2023-10-20 03:00:00,4.8e-05
2023-10-21 03:00:00,4.6e-05
2023-10-22 03:00:00,0.0
