Time,SDR_TX_FRAMES
2023-10-17 03:00:00,19702
2023-10-18 03:00:00,19647
2023-10-19 03:00:00,19654
2023-10-20 03:00:00,19654
2023-10-21 03:00:00,19523
2023-10-22 03:00:00,0
2023-10-23 03:00:00,0
2023-10-24 03:00:00,0
2023-10-25 03:00:00,19507
2023-10-26 03:00:00,0
2023-10-27 03:00:00,0
2023-10-28 03:00:00,19490
2023-10-29 03:00:00,19474
2023-10-30 03:00:00,19474
2023-10-31 03:00:00,0
2023-11-01 03:00:00,19461
2023-11-02 03:00:00,19603
2023-11-03 03:00:00,19603
2023-11-04 03:00:00,19603
2023-11-05 03:00:00,19603
2023-11-06 03:00:00,19488
2023-11-07 03:00:00,19488
2023-11-08 03:00:00,19561
2023-11-09 03:00:00,19599
2023-11-10 03:00:00,19468
2023-11-11 03:00:00,19034
2023-11-12 03:00:00,19645
2023-11-13 03:00:00,0
2023-11-14 03:00:00,19637
2023-11-15 03:00:00,0
2023-11-16 03:00:00,0
2023-11-17 03:00:00,0
2023-11-18 03:00:00,19475
2023-11-19 03:00:00,19590
2023-11-20 03:00:00,19455
2023-11-21 03:00:00,19659
2023-11-22 03:00:00,19615
2023-11-23 03:00:00,19631
2023-11-24 03:00:00,19601
2023-11-25 03:00:00,19518
2023-11-26 03:00:00,19463
2023-11-27 03:00:00,0
2023-11-28 03:00:00,0
2023-11-29 03:00:00,19411
2023-11-30 03:00:00,19704
2023-12-01 03:00:00,19626
2023-12-02 03:00:00,19448
2023-12-03 03:00:00,19599
2023-12-04 03:00:00,19536
2023-12-05 03:00:00,19665
2023-12-06 03:00:00,19609
2023-12-07 03:00:00,19664
2023-12-08 03:00:00,19656
2023-12-09 03:00:00,19638
2023-12-10 03:00:00,19618
2023-12-11 03:00:00,19690
2023-12-12 03:00:00,19489
2023-12-13 03:00:00,19256
2023-12-14 03:00:00,19464
2023-12-15 03:00:00,19419
2023-12-16 03:00:00,19678
2023-12-17 03:00:00,19465
2023-12-18 03:00:00,19230
2023-12-19 03:00:00,19684
2023-12-20 03:00:00,19693
2023-12-21 03:00:00,0
2023-12-22 03:00:00,19570
2023-12-23 03:00:00,19490
2023-12-24 03:00:00,19594
2023-12-25 03:00:00,19677
2023-12-26 03:00:00,19145
2023-12-27 03:00:00,19676
2023-12-28 03:00:00,19525
2023-12-29 03:00:00,0
2023-12-30 03:00:00,19457
2023-12-31 03:00:00,19457
2024-01-01 03:00:00,19650
2024-01-02 03:00:00,19688
2024-01-03 03:00:00,19672
2024-01-04 03:00:00,19609
2024-01-05 03:00:00,19614
2024-01-06 03:00:00,19652
2024-01-07 03:00:00,19519
2024-01-08 03:00:00,19557
2024-01-09 03:00:00,19642
2024-01-10 03:00:00,19467
2024-01-11 03:00:00,19661
2024-01-12 03:00:00,0
2024-01-13 03:00:00,0
2024-01-14 03:00:00,19690
2024-01-15 03:00:00,19378
2024-01-16 03:00:00,19532
2024-01-17 03:00:00,19657
2024-01-18 03:00:00,19618
2024-01-19 03:00:00,19332
2024-01-20 03:00:00,0
2024-01-21 03:00:00,19280
2024-01-22 03:00:00,19510
2024-01-23 03:00:00,0
2024-01-24 03:00:00,19610
2024-01-25 03:00:00,19336
2024-01-26 03:00:00,0
2024-01-27 03:00:00,0
2024-01-28 03:00:00,0
2024-01-29 03:00:00,19287
2024-01-30 03:00:00,0
2024-01-31 03:00:00,19534
2024-02-01 03:00:00,19710
2024-02-02 03:00:00,19683
2024-02-03 03:00:00,19598
2024-02-04 03:00:00,19605
2024-02-05 03:00:00,19627
2024-02-06 03:00:00,19697
2024-02-07 03:00:00,19567
2024-02-08 03:00:00,19656
2024-02-09 03:00:00,19588
2024-02-10 03:00:00,19700
