"Time","station","count"
2021-03-22 13:00:00,MAUFOX,28
2021-03-22 13:00:00,MAUSyagi,2916
2021-03-22 13:00:00,MAUSyagi-AK,49
2021-03-22 13:00:00,MAUSyagi-CO,2
2021-03-22 13:00:00,MUT Ground station,1
2021-03-22 13:00:00,MVP Aerospace Highland Ground Station,4
2021-03-22 13:00:00,MXL CSRB Station,234
2021-03-22 13:00:00,MXL-LowCostGS,2
2021-03-22 13:00:00,Malyi UHF,37
2021-03-22 13:00:00,Marathon Library,6
2021-03-22 13:00:00,Mogielnica - UHF,127
2021-03-22 13:00:00,N1ESK-Loudon,33
2021-03-22 13:00:00,N5CNB-UHF,5
2021-03-22 13:00:00,N5ZKK-UHF-HELICAL,558
2021-03-22 13:00:00,N6RFM,61
2021-03-22 13:00:00,"N9CQQ-EN52-Muskego, WI",144
2021-03-22 13:00:00,N9NFB UHF,1
2021-03-22 13:00:00,NU8M QTH,9
2021-03-22 13:00:00,NewUlm-UHF-2,29
2021-03-22 13:00:00,Not Quite ESL,21
2021-03-22 13:00:00,NuSpace SN2,4
2021-03-22 13:00:00,OE6EUR15,136
2021-03-22 13:00:00,OE6ISP,63
2021-03-22 13:00:00,OE6ISP_1,78
2021-03-22 13:00:00,OE6ISP_2,17
2021-03-22 13:00:00,OE6ISP_LimeSDR,34
2021-03-22 13:00:00,OK2KVL,288
2021-03-22 13:00:00,OK2PNQ,2
2021-03-22 13:00:00,OK2PNQ_omni_Letonice,31
2021-03-22 13:00:00,OLIVIER F6OBT,1
2021-03-22 13:00:00,OM7AAK,16374
2021-03-22 13:00:00,ON7IO indoor,5
2021-03-22 13:00:00,OZ7SAT,19
2021-03-22 13:00:00,Ohio University Airport KUNI,20
2021-03-22 13:00:00,PA2DX_uhf,26
2021-03-22 13:00:00,PA2LEN-UHF,1
2021-03-22 13:00:00,PARSEC 1,2
2021-03-22 13:00:00,PB8DX,2
2021-03-22 13:00:00,PE0SAT,591
2021-03-22 13:00:00,PE0SAT-11,793
2021-03-22 13:00:00,PE0SAT-12,177
2021-03-22 13:00:00,PE0SAT-21,423
2021-03-22 13:00:00,PE0SAT-O,42
2021-03-22 13:00:00,PE0SAT-U,15
2021-03-22 13:00:00,PE0SAT-Y,9
2021-03-22 13:00:00,PE1RXU,2
2021-03-22 13:00:00,PE2BZ-firstsetup,4
2021-03-22 13:00:00,PF_DE_PL_ UHF_CROSS_DIPOLE,79
2021-03-22 13:00:00,PF_DE_UHF_CROSS_DIPOLE,14
2021-03-22 13:00:00,PF_DE_UHF_X_DIPOLE,27
2021-03-22 13:00:00,PF_DE_UHF_Yagi,2
2021-03-22 13:00:00,PF_DE_Yagi_UHF,10
2021-03-22 13:00:00,PG-GS1,1
2021-03-22 13:00:00,PI9CAM,6
2021-03-22 13:00:00,PMD-UHF,10
2021-03-22 13:00:00,PV8DX,60
2021-03-22 13:00:00,PY4ZBZ,52
2021-03-22 13:00:00,PenzanceUK-A,1
2021-03-22 13:00:00,Phasewrap Shed,2
2021-03-22 13:00:00,Picosat Systems - UHF,8
2021-03-22 13:00:00,Piszkesteto HU,2
2021-03-22 13:00:00,Piszkesteto UHF,37809
2021-03-22 13:00:00,PlzenFEL,4
2021-03-22 13:00:00,RA3PPY,11
2021-03-22 13:00:00,RIYADH2,12
2021-03-22 13:00:00,S51BW-2,14
2021-03-22 13:00:00,S57NML,1
2021-03-22 13:00:00,S59MZ-UHF,10
2021-03-22 13:00:00,SA2KNG Alt/Az,530
2021-03-22 13:00:00,SA2KNG Experimental,841
2021-03-22 13:00:00,SA2KNG Omni UHF/VHF,1708
2021-03-22 13:00:00,SM0TGU - VHF UHF,4
2021-03-22 13:00:00,SOLETOP A GS,1
2021-03-22 13:00:00,SONIC.00: KARELIA,502
2021-03-22 13:00:00,SONIC.01: YOUNGAUTO,217
2021-03-22 13:00:00,SONIC.02: VEGA-SWITZERLAND,158
2021-03-22 13:00:00,SONIC.03: GÖYNÜK,35
2021-03-22 13:00:00,SONIC.04: GEOSCAN,116
2021-03-22 13:00:00,SONS00-KARELIA,188
2021-03-22 13:00:00,SOSA-OBSPE,54
2021-03-22 13:00:00,SP5LOT,7
2021-03-22 13:00:00,SP7THR-TEST,2
2021-03-22 13:00:00,SP7THR-UHF,858
2021-03-22 13:00:00,SPACECLUB_TO1,74
2021-03-22 13:00:00,SPUTNIX-R2ANF-VHF/UHF-stationary,3
2021-03-22 13:00:00,SQ2WPK,5
2021-03-22 13:00:00,SSSRC_UHF,1060
2021-03-22 13:00:00,SV1IYO/A,1
2021-03-22 13:00:00,SV1LJJ,15
2021-03-22 13:00:00,SV5QNF,1
2021-03-22 13:00:00,SWSU Omnidirectional,9
2021-03-22 13:00:00,Shed yagi,40
2021-03-22 13:00:00,Silicon Valley helical,7
2021-03-22 13:00:00,Somecheese,3
2021-03-22 13:00:00,"St-Lambert, QC, Canada",1
2021-03-22 13:00:00,TBC,11
2021-03-22 13:00:00,TEST,2
2021-03-22 13:00:00,"TOG Hackerspace, Dublin",1
2021-03-22 13:00:00,Talos,15
2021-03-22 13:00:00,UCD Physics,2009
2021-03-22 13:00:00,UHF Interferometer - Test setup,15
2021-03-22 13:00:00,USU GAS,5
2021-03-22 13:00:00,USU GAS Yagi Az+El,4182
2021-03-22 13:00:00,UX5UL,138
2021-03-22 13:00:00,UY0LL,488
2021-03-22 13:00:00,UniLu_CubeSatLab_Observatory_UHF,1
2021-03-22 13:00:00,Universidad UTE,3
2021-03-22 13:00:00,VA6RPI Alberta Canada.,233
2021-03-22 13:00:00,VE2DSK-VHF-UHF,14
2021-03-22 13:00:00,VE2WI - UHF,1
2021-03-22 13:00:00,VK2BYF-UHF,22
2021-03-22 13:00:00,VK4JBE-UHF,115
2021-03-22 13:00:00,VK4SMC #1,1
2021-03-22 13:00:00,VK4XSS-70,26
2021-03-22 13:00:00,VK5HI,433
2021-03-22 13:00:00,VK5KJP-UHF,6
2021-03-22 13:00:00,VK5QI-AZ/EL,9
2021-03-22 13:00:00,VK6SAT - UHF,7
2021-03-22 13:00:00,VK6WAM-ONE,7
2021-03-22 13:00:00,VZLU-PRG,165
2021-03-22 13:00:00,Valpo WIRED Lab 1,1
2021-03-22 13:00:00,Venables_Home,9
2021-03-22 13:00:00,Venables_Shed_Pi4,29
2021-03-22 13:00:00,Vi3w Roy4l,277
2021-03-22 13:00:00,W2GRK - UHF,6
2021-03-22 13:00:00,W2MMD GCARC Clubhouse,12
2021-03-22 13:00:00,W2RTV,129
2021-03-22 13:00:00,W6MSU,3
2021-03-22 13:00:00,W6MSU / UHF,7
2021-03-22 13:00:00,W7KKE,75
2021-03-22 13:00:00,WH6GVF UHF,16
2021-03-22 13:00:00,Walton Institute - VHF/UHF - Omni,1
2021-03-22 13:00:00,WesternMA USA Yagi,338
2021-03-22 13:00:00,YB3MBN,106
2021-03-22 13:00:00,YB8XM,57
2021-03-22 13:00:00,YC1SCC,1
2021-03-22 13:00:00,YC5ABK,1
2021-03-22 13:00:00,YC7OIZ,40
2021-03-22 13:00:00,YC8UMD,2
2021-03-22 13:00:00,YD7OIZ,1
2021-03-22 13:00:00,YD7OIZ-UHF,5
2021-03-22 13:00:00,YD9CKH,38
2021-03-22 13:00:00,YL3GBC,8
2021-03-22 13:00:00,ZR6AIC Ground Station,4
2021-03-22 13:00:00,ai6yr-skyscanner-440,8
2021-03-22 13:00:00,dk3wn_70cm,17
2021-03-22 13:00:00,geoscan,61
2021-03-22 13:00:00,geoscan-1,8
2021-03-22 13:00:00,geoscan-2,18
2021-03-22 13:00:00,gs 1,4
2021-03-22 13:00:00,gs 2,12
2021-03-22 13:00:00,ha7dcd and decent.org,11
2021-03-22 13:00:00,iz1wiy,1
2021-03-22 13:00:00,jchem,185
2021-03-22 13:00:00,kc1ist,55
2021-03-22 13:00:00,mm5aes1,2
2021-03-22 13:00:00,notch,217
2021-03-22 13:00:00,plat0-3a,3
2021-03-22 13:00:00,ps-ank1,6
2021-03-22 13:00:00,sat-cnt,5
2021-03-22 13:00:00,sons-gs-0,4
2021-03-22 13:00:00,sp8ncg-rtl1,4
2021-03-22 13:00:00,spacecruft,130
2021-03-22 13:00:00,va2em-vhf-uhf,118
2021-03-22 13:00:00,vk2pet western Aust Causal antenna,3
2021-03-22 13:00:00,xv9pdg - NanoDragon GroundStation,6
2021-03-22 13:00:00,xv9pid,75

