"Time","batt"
2021-05-05 05:28:49,8.24 V
2021-05-05 05:29:50,8.21 V
2021-05-05 05:30:50,8.25 V
2021-05-05 05:31:51,8.24 V
2021-05-05 05:32:51,8.25 V
2021-05-05 05:33:52,8.25 V
2021-05-05 05:35:53,8.25 V
2021-05-05 06:20:11,8.19 V
2021-05-05 07:53:20,8.20 V
2021-05-05 07:54:20,8.19 V
2021-05-05 07:54:20,8.19 V
2021-05-05 07:55:20,8.19 V
2021-05-05 07:55:20,8.19 V
2021-05-05 07:56:21,8.19 V
2021-05-05 16:44:35,8.25 V
2021-05-05 16:46:36,8.25 V
2021-05-05 16:47:36,8.25 V
2021-05-05 18:35:26,8.23 V
2021-05-05 18:36:26,8.25 V
2021-05-05 18:37:26,8.23 V
2021-05-05 18:38:26,8.25 V
2021-05-06 04:05:54,8.25 V
2021-05-06 04:05:56,8.25 V
2021-05-06 04:06:56,8.23 V
2021-05-06 04:08:57,8.24 V
2021-05-06 04:09:58,8.23 V
2021-05-06 04:10:58,8.25 V
2021-05-06 04:11:59,8.23 V
2021-05-06 04:13:59,8.22 V
2021-05-06 05:24:30,8.25 V
2021-05-06 05:25:31,8.25 V
2021-05-06 05:26:31,8.23 V
2021-05-06 05:27:32,8.25 V
2021-05-06 05:28:32,8.25 V
2021-05-06 05:29:33,8.25 V
2021-05-06 05:30:33,8.25 V
2021-05-06 05:31:34,8.25 V
2021-05-06 06:14:52,8.20 V
2021-05-06 07:47:34,8.21 V
2021-05-06 07:49:34,8.07 V
2021-05-06 07:49:35,8.07 V
2021-05-06 07:50:35,8.20 V
2021-05-06 07:51:35,8.19 V
2021-05-07 03:45:09,8.22 V
2021-05-07 03:46:10,8.19 V
2021-05-07 03:49:12,8.22 V
2021-05-07 03:50:12,8.21 V
2021-05-07 03:51:13,8.22 V
2021-05-07 05:18:52,8.25 V
2021-05-07 05:20:53,8.24 V
2021-05-07 05:21:54,8.25 V
2021-05-07 05:22:54,8.23 V
2021-05-07 05:23:55,8.25 V
2021-05-07 05:24:55,8.24 V
2021-05-07 05:25:56,8.25 V
2021-05-07 05:26:56,8.25 V
2021-05-07 07:43:13,8.21 V
2021-05-07 07:45:14,8.20 V
2021-05-07 07:46:14,8.20 V
2021-05-07 07:46:14,8.20 V
2021-05-07 07:47:14,8.19 V
2021-05-07 18:29:35,8.25 V
2021-05-07 23:35:24,8.25 V
2021-05-08 03:56:58,8.25 V
2021-05-08 03:57:59,8.25 V
2021-05-08 03:58:00,8.25 V
2021-05-08 03:58:59,8.25 V
2021-05-08 03:59:00,8.25 V
2021-05-08 04:00:00,8.21 V
2021-05-08 04:00:00,8.21 V
2021-05-08 04:01:00,8.24 V
2021-05-08 04:01:01,8.24 V
2021-05-08 04:02:01,8.24 V
2021-05-08 04:02:01,8.24 V
2021-05-08 04:03:02,8.21 V
2021-05-08 04:04:02,8.23 V
2021-05-08 07:40:39,8.20 V
