"Time","reset_count"
2021-04-23 06:22:41,4909
2021-04-23 06:25:43,4909
2021-04-24 04:46:48,4910
2021-04-24 05:48:41,4910
2021-04-24 06:18:57,4910
2021-04-24 06:20:28,4910
2021-04-24 07:08:47,4910
2021-04-24 08:42:27,4910
2021-04-24 08:43:58,4910
2021-04-24 08:45:28,4910
2021-04-25 04:58:07,4910
2021-04-25 04:59:37,4910
2021-04-25 07:02:23,4910
2021-04-25 15:19:04,4910
2021-04-26 03:18:48,4910
2021-04-26 06:56:48,4910
2021-04-27 04:28:50,4910
2021-04-27 04:30:21,4910
2021-04-27 04:31:51,4910
2021-04-27 04:31:52,4910
2021-04-27 04:33:22,4910
2021-04-27 04:33:23,4910
2021-04-27 04:34:53,4910
2021-04-27 04:36:24,4910
2021-04-27 04:50:01,4910
2021-04-27 04:51:32,4910
2021-04-27 06:02:43,4910
2021-04-27 06:04:14,4910
2021-04-27 06:07:15,4910
2021-04-27 06:08:46,4910
2021-04-27 19:12:50,4910
2021-04-27 19:14:20,4910
2021-04-28 04:44:09,4910
2021-04-28 04:47:10,4910
2021-04-28 08:24:55,4910
2021-04-28 22:46:01,4910
2021-04-29 04:18:38,4910
2021-04-29 04:20:09,4910
2021-04-29 04:21:39,4910
2021-04-29 04:23:10,4910
2021-04-29 04:24:41,4910
2021-04-29 04:26:12,4910
2021-04-29 04:27:42,4910
2021-04-29 04:39:49,4910
2021-04-29 04:41:19,4910
2021-04-29 04:42:50,4910
2021-04-29 16:38:07,4910
2021-04-29 16:39:38,4910
2021-04-30 04:14:52,4910
2021-04-30 04:16:53,4910
2021-04-30 04:17:54,4910
2021-04-30 04:18:54,4910
2021-04-30 04:19:55,4910
2021-04-30 04:20:55,4910
2021-04-30 04:21:56,4910
2021-04-30 04:22:56,4910
2021-04-30 04:34:02,4910
2021-04-30 04:35:02,4910
2021-04-30 04:36:03,4910
2021-04-30 04:37:03,4910
2021-04-30 04:38:04,4910
2021-04-30 05:50:33,4910
2021-04-30 05:51:33,4910
2021-04-30 05:53:34,4910
2021-04-30 05:54:35,4910
2021-04-30 05:57:36,4910
2021-04-30 09:29:36,4911
2021-04-30 18:40:08,5018
2021-04-30 18:42:09,5018
2021-04-30 18:43:10,5018
2021-04-30 18:57:16,5018
2021-04-30 19:00:18,5018
2021-04-30 19:01:18,5018
2021-04-30 20:29:36,5035
2021-04-30 20:31:37,5035
2021-04-30 20:34:38,5035
2021-05-01 00:10:31,5075
2021-05-01 04:28:52,5155
2021-05-01 04:30:53,5155
2021-05-01 04:31:53,5155
2021-05-01 04:32:54,5155
2021-05-01 04:33:54,5155
2021-05-01 17:03:38,5274
2021-05-01 18:52:28,5274
2021-05-01 18:54:29,5274
2021-05-01 18:56:30,5274
2021-05-02 04:06:21,5274
2021-05-02 04:08:22,5274
2021-05-02 04:09:22,5274
2021-05-02 04:10:23,5274
2021-05-02 04:11:23,5274
2021-05-02 04:12:24,5274
2021-05-02 04:13:24,5274
2021-05-02 04:14:25,5274
2021-05-02 04:24:30,5274
2021-05-02 04:26:31,5274
2021-05-02 04:28:32,5274
2021-05-02 04:29:32,5274
2021-05-02 05:41:06,5274
2021-05-02 05:42:06,5274
2021-05-02 05:44:07,5274
2021-05-02 05:45:08,5274
2021-05-02 05:46:08,5274
2021-05-02 16:26:05,5274
2021-05-02 18:49:15,5274
