Time,RSSI
2020-02-16 03:00:00,-50
2020-02-17 03:00:00,-49
2020-02-18 03:00:00,-51
2020-02-21 03:00:00,-62
2020-02-22 03:00:00,-48
2020-02-23 03:00:00,-48
2020-02-24 03:00:00,-57
2020-02-25 03:00:00,-52
2020-02-26 03:00:00,-49
2020-02-27 03:00:00,-61
2020-02-28 03:00:00,-53
2020-03-04 03:00:00,-50
2020-03-05 03:00:00,-54
2020-03-06 03:00:00,-54
2020-03-07 03:00:00,-57
2020-03-12 03:00:00,-49
2020-03-13 03:00:00,-46
2020-03-14 03:00:00,-54
2020-03-15 03:00:00,-60
2020-03-19 03:00:00,-53
2020-03-20 03:00:00,-52
2020-03-26 03:00:00,-53
2020-03-27 03:00:00,-50
2020-03-28 03:00:00,-53
2020-03-29 03:00:00,-48
2020-03-30 03:00:00,-48
2020-04-03 03:00:00,-51
2020-04-04 03:00:00,-56
2020-04-05 03:00:00,-50
2020-04-06 03:00:00,-50
2020-04-14 03:00:00,-51
2020-04-15 03:00:00,-50
2020-04-16 03:00:00,-52
2020-04-17 03:00:00,-53
2020-04-21 03:00:00,-53
2020-04-22 03:00:00,-54
2020-04-23 03:00:00,-55
2020-04-24 03:00:00,-57
2020-04-25 03:00:00,-63
2020-04-26 03:00:00,-51
2020-04-29 03:00:00,-50
2020-04-30 03:00:00,-51
2020-05-01 03:00:00,-60
2020-05-06 03:00:00,-46
2020-05-07 03:00:00,-54
2020-05-08 03:00:00,-55
2020-05-09 03:00:00,-51
2020-05-14 03:00:00,-54
2020-05-15 03:00:00,-49
2020-05-16 03:00:00,-49
2020-05-17 03:00:00,-48
2020-05-18 03:00:00,-49
2020-05-22 03:00:00,-50
2020-05-23 03:00:00,-52
2020-05-24 03:00:00,-50
2020-05-25 03:00:00,-55
2020-05-26 03:00:00,-51
2020-05-30 03:00:00,-46
2020-05-31 03:00:00,-46
2020-06-01 03:00:00,-52
2020-06-02 03:00:00,-50
2020-06-07 03:00:00,-47
2020-06-08 03:00:00,-50
2020-06-09 03:00:00,-51
2020-06-13 03:00:00,-54
2020-06-14 03:00:00,-54
2020-06-15 03:00:00,-49
2020-06-16 03:00:00,-55
2020-06-20 03:00:00,-55
2020-06-21 03:00:00,-50
2020-06-22 03:00:00,-54
2020-06-23 03:00:00,-56
2020-06-28 03:00:00,-52
2020-06-30 03:00:00,-49
2020-07-01 03:00:00,-48
2020-07-06 03:00:00,-50
2020-07-07 03:00:00,-63
2020-07-08 03:00:00,-51
2020-07-15 03:00:00,-49
2020-07-16 03:00:00,-53
2020-07-17 03:00:00,-61
2020-07-18 03:00:00,-54
2020-07-19 03:00:00,-52
2020-07-27 03:00:00,-48
2020-07-28 03:00:00,-48
2020-08-01 03:00:00,-50
2020-08-02 03:00:00,-52
2020-08-03 03:00:00,-52
2020-08-04 03:00:00,-46
2020-08-05 03:00:00,-50
