"Time","Framecount"
2019-02-04 03:00:00,94
2019-02-05 03:00:00,136
2019-02-06 03:00:00,164
2019-02-07 03:00:00,199
2019-02-08 03:00:00,489
2019-02-09 03:00:00,597
2019-02-10 03:00:00,783
2019-02-11 03:00:00,1103
2019-02-12 03:00:00,1233
2019-02-13 03:00:00,1268
2019-02-14 03:00:00,1303
2019-02-15 03:00:00,1491
2019-02-16 03:00:00,1599
2019-02-17 03:00:00,1971
2019-02-18 03:00:00,2085
2019-02-19 03:00:00,2230
2019-02-20 03:00:00,2300
2019-02-21 03:00:00,2360
2019-02-22 03:00:00,2415
2019-02-23 03:00:00,2625
2019-02-24 03:00:00,2932
2019-02-25 03:00:00,3045
2019-02-26 03:00:00,3433
2019-02-27 03:00:00,3582
2019-02-28 03:00:00,3633
2019-03-01 03:00:00,3774
2019-03-02 03:00:00,3964
2019-03-03 03:00:00,4194
2019-03-04 03:00:00,4508
2019-03-05 03:00:00,4724
2019-03-06 03:00:00,5007
2019-03-07 03:00:00,5059
2019-03-08 03:00:00,5143
2019-03-09 03:00:00,5218
2019-03-10 03:00:00,5435
2019-03-11 03:00:00,5673
2019-03-12 03:00:00,6015
2019-03-13 03:00:00,6336
2019-03-14 03:00:00,6392
2019-03-15 03:00:00,6431
2019-03-16 03:00:00,6475
2019-03-17 03:00:00,6655
2019-03-18 03:00:00,6825
2019-03-19 03:00:00,7057
2019-03-20 03:00:00,7182
2019-03-21 03:00:00,7233
2019-03-22 03:00:00,7287
2019-03-23 03:00:00,7322
2019-03-24 03:00:00,7434
2019-03-25 03:00:00,7560
2019-03-26 03:00:00,7714
2019-03-27 03:00:00,7854
2019-03-28 03:00:00,7927
2019-03-29 03:00:00,7979
2019-03-30 03:00:00,8079
2019-03-31 03:00:00,8331
2019-04-01 03:00:00,8658
2019-04-02 03:00:00,8963
2019-04-03 03:00:00,9274
2019-04-04 03:00:00,9366
2019-04-05 03:00:00,9465
2019-04-06 03:00:00,9567
2019-04-07 03:00:00,9912
2019-04-08 03:00:00,10209
2019-04-09 03:00:00,10593
2019-04-10 03:00:00,10949
2019-04-11 03:00:00,11003
2019-04-12 03:00:00,11058
2019-04-13 03:00:00,11141
2019-04-14 03:00:00,11359
2019-04-15 03:00:00,11615
2019-04-16 03:00:00,11814
2019-04-17 03:00:00,11910
2019-04-18 03:00:00,11980
2019-04-19 03:00:00,12030
2019-04-20 03:00:00,12099
2019-04-21 03:00:00,12167
2019-04-22 03:00:00,12242
2019-04-23 03:00:00,12318
2019-04-24 03:00:00,12416
2019-04-25 03:00:00,12507
2019-04-26 03:00:00,12622
2019-04-27 03:00:00,12676
2019-04-28 03:00:00,12716
2019-04-29 03:00:00,12765
2019-04-30 03:00:00,12946
2019-05-01 03:00:00,13105
2019-05-02 03:00:00,13382
2019-05-03 03:00:00,13545
2019-05-04 03:00:00,13656
2019-05-05 03:00:00,13704
2019-05-06 03:00:00,13757
2019-05-07 03:00:00,13813
2019-05-08 03:00:00,13878
2019-05-09 03:00:00,14100
2019-05-10 03:00:00,14290
2019-05-11 03:00:00,14802
2019-05-12 03:00:00,14942
2019-05-13 03:00:00,15061
2019-05-14 03:00:00,15228
2019-05-15 03:00:00,15427
2019-05-16 03:00:00,15497
2019-05-17 03:00:00,15604
2019-05-18 03:00:00,15688
2019-05-19 03:00:00,15912
2019-05-20 03:00:00,16248
2019-05-21 03:00:00,16466
2019-05-22 03:00:00,16582
2019-05-23 03:00:00,16625
2019-05-24 03:00:00,16671
2019-05-25 03:00:00,16709
2019-05-26 03:00:00,16950
2019-05-27 03:00:00,17187
2019-05-28 03:00:00,17550
2019-05-29 03:00:00,17663
2019-05-30 03:00:00,17751
2019-05-31 03:00:00,17811
2019-06-01 03:00:00,18118
2019-06-02 03:00:00,18290
2019-06-03 03:00:00,18582
2019-06-04 03:00:00,18688
2019-06-05 03:00:00,18782
2019-06-06 03:00:00,18830
2019-06-07 03:00:00,18906
2019-06-08 03:00:00,18994
2019-06-09 03:00:00,19081
2019-06-10 03:00:00,19218
2019-06-11 03:00:00,19529
2019-06-12 03:00:00,19795
2019-06-13 03:00:00,19874
2019-06-14 03:00:00,19944
2019-06-15 03:00:00,20012
2019-06-16 03:00:00,20352
2019-06-17 03:00:00,20608
2019-06-18 03:00:00,20764
2019-06-19 03:00:00,21108
2019-06-20 03:00:00,21165
2019-06-21 03:00:00,21223
2019-06-22 03:00:00,21299
2019-06-23 03:00:00,21380
2019-06-24 03:00:00,21563
2019-06-25 03:00:00,21793
2019-06-26 03:00:00,22007
2019-06-27 03:00:00,22094
2019-06-28 03:00:00,22189
2019-06-29 03:00:00,22310
2019-06-30 03:00:00,22401
2019-07-01 03:00:00,22516
2019-07-02 03:00:00,22814
2019-07-03 03:00:00,22959
2019-07-04 03:00:00,23038
2019-07-05 03:00:00,23132
2019-07-06 03:00:00,23206
2019-07-07 03:00:00,23275
2019-07-08 03:00:00,23354
2019-07-09 03:00:00,23414
2019-07-10 03:00:00,23470
2019-07-11 03:00:00,23525
2019-07-12 03:00:00,23599
2019-07-13 03:00:00,23686
2019-07-14 03:00:00,23917
2019-07-15 03:00:00,24091
2019-07-16 03:00:00,24338
2019-07-17 03:00:00,24618
2019-07-18 03:00:00,24708
2019-07-19 03:00:00,24822
2019-07-20 03:00:00,24944
2019-07-21 03:00:00,25159
2019-07-22 03:00:00,25486
2019-07-23 03:00:00,25672
2019-07-24 03:00:00,25895
2019-07-25 03:00:00,25996
