"Time","Panel X Current"
2019-02-27 03:00:00,17
2019-02-27 03:00:00,18
2019-02-27 03:00:00,21
2019-02-27 03:00:00,16
2019-02-27 03:00:00,28
2019-02-27 03:00:00,220
2019-02-27 03:00:00,336
2019-02-27 03:00:00,410
2019-02-27 03:00:00,385
2019-02-28 03:00:00,60
2019-02-28 03:00:00,188
2019-02-28 03:00:00,17
2019-02-28 03:00:00,17
2019-02-28 03:00:00,17
2019-02-28 03:00:00,342
2019-02-28 03:00:00,255
2019-02-28 03:00:00,197
2019-02-28 03:00:00,21
2019-03-01 03:00:00,415
2019-03-01 03:00:00,20
2019-03-01 03:00:00,17
2019-03-01 03:00:00,289
2019-03-01 03:00:00,17
2019-03-02 03:00:00,18
2019-03-02 03:00:00,17
2019-03-02 03:00:00,87
2019-03-02 03:00:00,17
2019-03-02 03:00:00,30
2019-03-02 03:00:00,100
2019-03-02 03:00:00,421
2019-03-02 03:00:00,139
2019-03-02 03:00:00,21
2019-03-02 03:00:00,198
2019-03-03 03:00:00,18
2019-03-03 03:00:00,19
2019-03-03 03:00:00,155
2019-03-03 03:00:00,18
2019-03-03 03:00:00,41
2019-03-03 03:00:00,18
2019-03-03 03:00:00,17
2019-03-03 03:00:00,17
2019-03-03 03:00:00,17
2019-03-03 03:00:00,240
2019-03-03 03:00:00,285
2019-03-03 03:00:00,458
2019-03-03 03:00:00,289
2019-03-03 03:00:00,173
2019-03-03 03:00:00,20
2019-03-03 03:00:00,23
2019-03-03 03:00:00,31
2019-03-03 03:00:00,163
2019-03-03 03:00:00,282
2019-03-03 03:00:00,19
2019-03-03 03:00:00,17
2019-03-03 03:00:00,51
2019-03-03 03:00:00,19
2019-03-03 03:00:00,18
2019-03-03 03:00:00,221
2019-03-04 03:00:00,17
2019-03-04 03:00:00,17
2019-03-04 03:00:00,17
2019-03-04 03:00:00,268
2019-03-04 03:00:00,18
2019-03-04 03:00:00,16
2019-03-04 03:00:00,84
2019-03-04 03:00:00,17
2019-03-04 03:00:00,209
2019-03-04 03:00:00,340
2019-03-04 03:00:00,28
