Time,58261.mode day
2023-11-09 03:00:00,3.917
2023-11-16 03:00:00,3.958
2023-11-23 03:00:00,3.042
2023-11-30 03:00:00,3.958
2023-12-07 03:00:00,3.958
2023-12-14 03:00:00,3.958
2023-12-21 03:00:00,3.958
2023-12-28 03:00:00,3.958
2024-01-04 03:00:00,3.958
2024-01-11 03:00:00,3.958
2024-01-18 03:00:00,3.958
2024-01-25 03:00:00,3.958
2024-02-01 03:00:00,3.958
2024-02-08 03:00:00,3.958
