Time,58261.mode week
2023-11-09 03:00:00,2.06 day
2023-11-16 03:00:00,1.012 
2023-11-23 03:00:00,1.940 
2023-11-30 03:00:00,2.864 
2023-12-07 03:00:00,4.235 
2023-12-14 03:00:00,4.943 
2023-12-21 03:00:00,6.519 
2023-12-28 03:00:00,6.661 
2024-01-04 03:00:00,8.227 
2024-01-11 03:00:00,8.726 
2024-01-18 03:00:00,10.520 
2024-01-25 03:00:00,10.652 
2024-02-01 03:00:00,11.726 
2024-02-08 03:00:00,12.661 
