Time,58261.mode week (day)
2023-11-09 03:00:00,2.0
2023-11-16 03:00:00,1.012
2023-11-23 03:00:00,2.516
2023-11-30 03:00:00,2.722
2023-12-07 03:00:00,4.235
2023-12-14 03:00:00,5.377
2023-12-21 03:00:00,5.724
2023-12-28 03:00:00,7.518
2024-01-04 03:00:00,8.225
2024-01-11 03:00:00,8.659
2024-01-18 03:00:00,10.518
2024-01-25 03:00:00,10.65
2024-02-01 03:00:00,12.515
2024-02-08 03:00:00,12.657
