Time,Battery
2023-11-09 03:00:00,4.0
2023-11-16 03:00:00,4.4
2023-11-23 03:00:00,5.1
2023-11-30 03:00:00,4.0
2023-12-07 03:00:00,4.3
2023-12-14 03:00:00,4.6
2023-12-21 03:00:00,9.0
2023-12-28 03:00:00,4.4
2024-01-04 03:00:00,5.1
2024-01-11 03:00:00,4.9
2024-01-18 03:00:00,4.9
2024-01-25 03:00:00,4.0
2024-02-01 03:00:00,4.0
