Time,58261.mode
2023-11-09 03:00:00,263846
2023-11-16 03:00:00,611701
2023-11-23 03:00:00,1520274
2023-11-30 03:00:00,1644443
2023-12-07 03:00:00,2295814
2023-12-14 03:00:00,3248163
2023-12-21 03:00:00,3852515
2023-12-28 03:00:00,4542203
2024-01-04 03:00:00,4622091
2024-01-11 03:00:00,5750394
2024-01-18 03:00:00,6354314
2024-01-25 03:00:00,6781596
2024-02-01 03:00:00,7082155
