Time,"51085.last, where 0 is 4.0, 1 is °C, 2 is 7.0, 3 is 11.0, 4 is 8.0, 5 is 12.0, 6 is 3.0, 7 is 10.0, 8 is -1.0, 9 is 5.0, 10 is 0, 11 is 2.0, 12 is 6.0, 13 is 1.0, 14 is 9.0, 15 is 16.0, 16 is 17.0, 17 is 14.0, 18 is -3.0, 19 is 13.0"
2022-01-20 03:00:00,0 1
2022-01-27 03:00:00,0 1
2022-02-03 03:00:00,2 1
2022-02-10 03:00:00,3 1
2022-02-17 03:00:00,4 1
2022-02-24 03:00:00,4 1
2022-03-03 03:00:00,5 1
2022-03-10 03:00:00,6 1
2022-03-17 03:00:00,6 1
2022-03-24 03:00:00,7 1
2022-03-31 03:00:00,8 1
2022-04-07 03:00:00,9 1
2022-04-14 03:00:00,10 1
2022-04-21 03:00:00,11 1
2022-04-28 03:00:00,12 1
2022-05-05 03:00:00,9 1
2022-05-12 03:00:00,13 1
2022-05-19 03:00:00,9 1
2022-05-26 03:00:00,0 1
2022-06-02 03:00:00,7 1
2022-06-09 03:00:00,9 1
2022-06-16 03:00:00,0 1
2022-06-23 03:00:00,9 1
2022-06-30 03:00:00,11 1
2022-07-07 03:00:00,3 1
2022-07-14 03:00:00,3 1
2022-07-21 03:00:00,9 1
2022-07-28 03:00:00,12 1
2022-08-04 03:00:00,0 1
2022-08-11 03:00:00,4 1
2022-08-18 03:00:00,9 1
2022-08-25 03:00:00,12 1
2022-09-01 03:00:00,11 1
2022-09-08 03:00:00,9 1
2022-09-15 03:00:00,11 1
2022-09-22 03:00:00,6 1
2022-09-29 03:00:00,0 1
2022-10-06 03:00:00,7 1
2022-10-13 03:00:00,14 1
2022-10-20 03:00:00,3 1
2022-10-27 03:00:00,14 1
2022-11-03 03:00:00,15 1
2022-11-10 03:00:00,3 1
2022-11-17 03:00:00,14 1
2022-11-24 03:00:00,3 1
2022-12-01 03:00:00,16 1
2022-12-08 03:00:00,7 1
2022-12-15 03:00:00,5 1
2022-12-22 03:00:00,5 1
2022-12-29 03:00:00,5 1
2023-01-05 03:00:00,14 1
2023-01-12 03:00:00,17 1
2023-01-19 03:00:00,3 1
2023-01-26 03:00:00,7 1
2023-02-02 03:00:00,7 1
2023-02-09 03:00:00,7 1
2023-02-16 03:00:00,3 1
2023-02-23 03:00:00,4 1
2023-03-02 03:00:00,14 1
2023-03-09 03:00:00,2 1
2023-03-16 03:00:00,0 1
2023-03-23 03:00:00,12 1
2023-03-30 03:00:00,10 1
2023-04-06 03:00:00,0 1
2023-04-13 03:00:00,4 1
2023-04-20 03:00:00,6 1
2023-04-27 03:00:00,9 1
2023-05-04 03:00:00,9 1
2023-05-11 03:00:00,0 1
2023-05-18 03:00:00,6 1
2023-05-25 03:00:00,0 1
2023-06-01 03:00:00,3 1
2023-06-08 03:00:00,2 1
2023-06-15 03:00:00,0 1
2023-06-22 03:00:00,6 1
2023-06-29 03:00:00,0 1
2023-07-06 03:00:00,11 1
2023-07-13 03:00:00,11 1
2023-07-20 03:00:00,13 1
2023-07-27 03:00:00,10 1
2023-08-03 03:00:00,11 1
2023-08-10 03:00:00,13 1
2023-08-17 03:00:00,10 1
2023-08-24 03:00:00,10 1
2023-08-31 03:00:00,9 1
2023-09-07 03:00:00,6 1
2023-09-14 03:00:00,6 1
2023-09-21 03:00:00,2 1
2023-09-28 03:00:00,14 1
2023-10-05 03:00:00,13 1
2023-10-12 03:00:00,7 1
2023-10-19 03:00:00,18 1
2023-10-26 03:00:00,9 1
2023-11-02 03:00:00,9 1
2023-11-09 03:00:00,9 1
2023-11-16 03:00:00,19 1
2023-11-23 03:00:00,3 1
2023-11-30 03:00:00,2 1
2023-12-07 03:00:00,7 1
2023-12-14 03:00:00,7 1
2023-12-21 03:00:00,14 1
2023-12-28 03:00:00,14 1
2024-01-04 03:00:00,4 1
2024-01-11 03:00:00,11 1
2024-01-18 03:00:00,14 1
2024-01-25 03:00:00,14 1
2024-02-01 03:00:00,11 1
