"Time","53385.obc_timestamp"
2022-11-14 12:50:43,-12641335260
2022-11-14 12:50:49,-12641335260
2022-11-14 12:50:49,-12641335260
2022-11-14 12:50:54,-12641335260
2022-11-14 12:52:01,63899018
2022-11-14 12:52:08,63899018
2022-11-14 12:52:08,63899018
2022-11-14 12:52:10,63899018
2022-11-14 12:52:10,63899018
2022-11-14 12:52:12,63899018
2022-11-14 18:08:23,64043485
2022-11-14 18:09:28,64043980
2022-11-14 18:10:01,64044231
2022-11-14 18:11:06,64044726
2022-11-14 18:12:11,64045221
2022-11-15 00:07:25,64207530
2022-11-15 00:08:30,64208025
2022-11-15 00:09:35,64208520
2022-11-15 00:10:40,64209015
2022-11-15 00:11:13,64209266
2022-11-15 00:11:45,64209510
2022-11-15 00:12:18,64209761
2022-11-15 00:12:50,64210013
2022-11-15 00:13:23,64210256
2022-11-15 00:13:55,64210508
2022-11-15 01:44:51,64252132
2022-11-15 01:45:31,64252383
2022-11-15 01:45:31,64252383
2022-11-15 01:45:56,64252635
2022-11-15 01:47:08,64253130
2022-11-15 01:47:08,64253130
2022-11-15 01:47:41,64253373
2022-11-15 01:47:41,64253373
2022-11-15 01:47:43,64253373
2022-11-15 01:47:43,64253373
2022-11-15 09:17:21,64458799
2022-11-15 09:17:53,64459050
2022-11-15 09:18:26,64459294
2022-11-15 09:18:58,64459545
2022-11-15 09:19:31,64459789
2022-11-15 09:20:36,64460284
2022-11-15 09:21:41,64460787
2022-11-15 10:48:28,64500431
2022-11-15 10:49:00,64500682
2022-11-15 10:49:33,64500926
2022-11-15 10:50:05,64501177
2022-11-15 10:50:38,64501421
2022-11-15 10:51:10,64501672
2022-11-15 10:51:43,64501916
2022-11-15 10:52:15,64502167
2022-11-15 10:52:48,64502411
2022-11-15 10:53:20,64502662
2022-11-15 10:53:53,64502906
2022-11-15 10:54:26,64503157
2022-11-15 10:54:58,64503401
2022-11-15 10:55:31,64503652
2022-11-15 10:56:03,64503903
2022-11-15 10:56:36,64504147
2022-11-15 12:22:46,64543517
2022-11-15 12:23:18,64543769
2022-11-15 12:23:51,64544012
2022-11-15 12:24:23,64544264
2022-11-15 12:24:56,64544507
2022-11-15 12:25:28,64544759
2022-11-15 12:29:12,64546457
2022-11-16 13:33:38,65233860
2022-11-16 13:33:38,65233860
2022-11-16 13:34:41,65234355
2022-11-16 13:34:41,65234355
2022-11-16 13:35:14,65234606
2022-11-16 13:35:14,65234606
2022-11-16 13:35:46,65234857
2022-11-16 13:35:46,65234857
2022-11-16 13:36:19,65235101
2022-11-16 13:36:19,65235101
2022-11-17 02:27:25,65587476
2022-11-17 02:27:58,65587719
2022-11-17 02:28:30,65587971
