Time,"Battery Voltage, V"
2022-11-14 12:52:01,8.3
2022-11-14 12:52:08,8.3
2022-11-14 12:52:08,8.3
2022-11-14 12:52:10,8.3
2022-11-14 12:52:10,8.3
2022-11-14 12:52:12,8.3
2022-11-14 18:08:23,8.3
2022-11-14 18:09:28,8.3
2022-11-14 18:10:01,8.3
2022-11-14 18:11:06,8.3
2022-11-14 18:12:11,8.3
2022-11-15 00:07:25,8.3
2022-11-15 00:08:30,8.3
2022-11-15 00:09:35,8.3
2022-11-15 00:10:40,8.3
2022-11-15 00:11:13,8.3
2022-11-15 00:11:45,8.3
2022-11-15 00:12:18,8.3
2022-11-15 00:12:50,8.3
2022-11-15 00:13:23,8.3
2022-11-15 00:13:55,8.3
2022-11-15 01:44:51,8.3
2022-11-15 01:45:31,8.3
2022-11-15 01:45:31,8.3
2022-11-15 01:45:56,8.3
2022-11-15 01:47:08,8.3
2022-11-15 01:47:08,8.3
2022-11-15 01:47:41,8.3
2022-11-15 01:47:41,8.3
2022-11-15 01:47:43,8.3
2022-11-15 01:47:43,8.3
2022-11-15 09:17:21,8.3
2022-11-15 09:17:53,8.3
2022-11-15 09:18:26,8.3
2022-11-15 09:18:58,8.3
2022-11-15 09:19:31,8.3
2022-11-15 09:20:36,8.3
2022-11-15 09:21:41,8.3
2022-11-15 10:48:28,8.3
2022-11-15 10:49:00,8.3
2022-11-15 10:49:33,8.3
2022-11-15 10:50:05,8.3
2022-11-15 10:50:38,8.3
2022-11-15 10:51:10,8.3
2022-11-15 10:51:43,8.3
2022-11-15 10:52:15,8.3
2022-11-15 10:52:48,8.3
2022-11-15 10:53:20,8.3
2022-11-15 10:53:53,8.3
2022-11-15 10:54:26,8.3
2022-11-15 10:54:58,8.3
2022-11-15 10:55:31,8.3
2022-11-15 10:56:03,8.3
2022-11-15 10:56:36,8.3
2022-11-15 12:22:46,8.3
2022-11-15 12:23:18,8.3
2022-11-15 12:23:51,8.3
2022-11-15 12:24:23,8.3
2022-11-15 12:24:56,8.3
2022-11-15 12:25:28,8.3
2022-11-15 12:29:12,8.3
2022-11-16 13:33:38,8.3
2022-11-16 13:33:38,8.3
2022-11-16 13:34:41,8.3
2022-11-16 13:34:41,8.3
2022-11-16 13:35:14,8.3
2022-11-16 13:35:14,8.3
2022-11-16 13:35:46,8.3
2022-11-16 13:35:46,8.3
2022-11-16 13:36:19,8.3
2022-11-16 13:36:19,8.3
2022-11-17 02:27:25,8.3
2022-11-17 02:27:58,8.3
2022-11-17 02:28:30,8.3
2022-11-17 02:28:35,8.3
2022-11-17 02:28:35,8.3
2022-11-17 02:29:03,8.3
2022-11-17 02:29:08,8.3
2022-11-17 02:29:08,8.3
2022-11-17 02:29:10,8.3
2022-11-17 02:29:10,8.3
2022-11-17 02:29:41,8.3
2022-11-17 02:29:41,8.3
2022-11-17 02:29:43,8.3
2022-11-17 02:29:43,8.3
2022-11-17 02:30:13,8.3
2022-11-17 02:30:13,8.3
2022-11-17 02:30:15,8.3
2022-11-17 02:30:15,8.3
2022-11-17 02:30:46,8.3
2022-11-17 02:30:46,8.3
2022-11-17 02:31:20,8.3
2022-11-17 02:31:20,8.3
2022-11-17 02:31:53,8.3
2022-11-17 02:31:53,8.3
2022-11-17 13:08:19,8.3
2022-11-17 13:08:19,8.3
2022-11-17 13:09:17,8.3
2022-11-17 13:09:22,8.3
2022-11-17 13:09:22,8.3
2022-11-17 13:09:24,8.3
2022-11-17 13:09:24,8.3
2022-11-17 13:09:49,8.3
2022-11-17 13:09:55,8.3
2022-11-17 13:09:55,8.3
2022-11-17 13:09:57,8.3
2022-11-17 13:09:57,8.3
2022-11-17 13:10:22,8.3
2022-11-17 13:10:29,8.3
2022-11-17 13:10:29,8.3
2022-11-17 13:10:54,8.3
2022-11-17 13:11:00,8.3
2022-11-17 13:11:00,8.3
2022-11-17 13:11:27,8.3
2022-11-17 13:11:59,8.3
2022-11-17 13:13:37,8.3
2022-11-18 00:34:15,8.3
2022-11-18 01:59:32,8.3
2022-11-18 02:00:04,8.3
2022-11-18 02:00:37,8.3
2022-11-18 02:01:09,8.3
2022-11-18 02:01:42,8.3
2022-11-18 02:02:14,8.3
2022-11-18 02:03:50,8.3
2022-11-18 02:03:50,8.3
2022-11-18 02:04:02,8.3
2022-11-18 02:04:22,8.3
2022-11-18 02:04:22,8.3
2022-11-18 02:04:24,8.3
2022-11-18 02:04:24,8.3
2022-11-18 02:04:34,8.3
2022-11-18 02:04:55,8.3
2022-11-18 02:04:55,8.3
2022-11-18 02:05:27,8.3
2022-11-18 02:05:27,8.3
2022-11-18 02:05:29,8.3
2022-11-18 02:05:29,8.3
2022-11-18 02:06:00,8.3
2022-11-18 02:06:00,8.3
2022-11-18 02:06:02,8.3
2022-11-18 02:06:02,8.3
2022-11-18 02:06:34,8.3
2022-11-18 02:06:34,8.3
2022-11-19 01:32:27,8.3
2022-11-19 01:32:59,8.3
2022-11-19 01:33:32,8.3
2022-11-19 01:34:04,8.3
2022-11-19 01:34:37,8.3
2022-11-19 01:35:10,8.3
2022-11-19 01:35:16,8.3
2022-11-19 01:35:42,8.3
2022-11-19 01:35:49,8.3
2022-11-19 01:36:15,8.3
2022-11-19 01:36:21,8.3
2022-11-19 01:36:47,8.3
2022-11-19 01:36:54,8.3
2022-11-19 01:37:20,8.3
2022-11-19 01:37:26,8.3
2022-11-19 01:37:52,8.3
2022-11-19 01:38:25,8.3
2022-11-19 01:38:57,8.3
2022-11-19 01:40:01,8.3
2022-11-19 10:47:51,8.3
2022-11-19 18:30:40,8.3
2022-11-19 18:30:46,8.3
2022-11-19 18:31:13,8.3
2022-11-19 18:31:18,8.3
2022-11-19 18:31:45,8.3
2022-11-19 18:31:51,8.3
2022-11-19 18:32:18,8.3
2022-11-19 18:32:23,8.3
2022-11-19 18:32:44,8.3
2022-11-19 18:32:50,8.3
2022-11-19 18:32:56,8.3
2022-11-19 18:33:17,8.3
2022-11-19 18:33:23,8.3
2022-11-19 18:33:28,8.3
2022-11-19 18:33:55,8.3
2022-11-19 18:34:01,8.3
2022-11-19 18:34:22,8.3
2022-11-19 18:34:28,8.3
2022-11-19 18:34:33,8.3
2022-11-19 18:34:54,8.3
2022-11-19 18:35:01,8.3
2022-11-19 18:35:06,8.3
2022-11-19 18:35:27,8.3
2022-11-19 18:35:33,8.3
2022-11-19 18:35:39,8.3
2022-11-19 18:36:11,8.3
2022-11-20 01:07:38,8.3
2022-11-20 01:08:10,8.3
2022-11-20 01:08:17,8.3
2022-11-20 01:08:43,8.3
2022-11-20 01:08:50,8.3
2022-11-20 01:09:16,8.3
2022-11-20 01:09:23,8.3
2022-11-20 01:09:48,8.3
2022-11-20 01:09:55,8.3
2022-11-20 01:10:20,8.3
2022-11-20 01:10:28,8.3
2022-11-20 01:10:53,8.3
2022-11-20 01:10:57,8.3
2022-11-20 01:11:00,8.3
2022-11-20 01:11:25,8.3
2022-11-20 01:11:29,8.3
2022-11-20 01:11:33,8.3
2022-11-20 01:11:58,8.3
2022-11-20 01:12:05,8.3
2022-11-20 01:12:31,8.3
2022-11-20 01:12:31,8.3
2022-11-20 01:13:03,8.3
2022-11-20 01:13:03,8.3
2022-11-20 01:13:10,8.3
2022-11-20 01:13:36,8.3
2022-11-20 01:14:08,8.3
2022-11-20 01:14:41,8.3
2022-11-20 01:15:13,8.3
2022-11-20 01:15:46,8.3
2022-11-20 01:16:19,8.3
2022-11-20 01:17:24,8.3
2022-11-20 02:41:02,8.3
2022-11-20 02:42:07,8.3
