"Time","Onboard_Time"
2022-02-22 00:46:06,1026150304
2022-02-22 02:24:51,1026170689
2022-02-22 02:25:06,1026170704
2022-02-22 02:25:21,1026170719
2022-02-22 22:15:36,1026227681
2022-02-22 22:15:42,1026227681
2022-02-22 22:16:06,1026227711
2022-02-22 22:16:12,1026227711
2022-02-23 03:16:11,1026260171
2022-02-23 03:16:26,1026260186
2022-02-23 03:17:26,1026260246
2022-02-23 03:18:11,1026260291
2022-02-23 03:18:26,1026260306
2022-02-23 03:18:41,1026260321
2022-02-23 03:19:56,1026260396
2022-02-23 03:20:11,1026260411
2022-02-23 03:20:41,1026260441
2022-02-23 03:20:56,1026260456
2022-02-23 03:21:41,1026260501
2022-02-23 03:21:56,1026260516
2022-02-23 03:22:11,1026260531
2022-02-23 03:22:26,1026260546
2022-02-23 03:22:56,1026260576
2022-02-23 08:09:13,1026263292
2022-02-23 18:49:29,1026301708
2022-02-23 18:50:14,1026301753
2022-02-24 07:27:45,1026361662
2022-02-24 18:05:17,1026399915
2022-02-24 18:05:47,1026399945
2022-02-24 18:06:17,1026399975
2022-02-24 18:07:02,1026400020
2022-02-24 18:07:17,1026400035
2022-02-24 18:07:32,1026400050
2022-02-24 18:08:16,1026400095
2022-02-24 18:08:47,1026400125
2022-02-24 18:09:01,1026400140
2022-02-24 18:10:01,1026400200
2022-02-24 18:10:16,1026400215
2022-02-24 18:10:46,1026400245
2022-02-24 18:11:16,1026400275
2022-02-24 19:46:25,5430
2022-02-24 19:48:10,5535
2022-02-24 19:49:10,5595
2022-02-24 19:50:10,5655
2022-02-24 19:50:25,5670
2022-02-24 19:50:55,5700
2022-02-24 19:51:25,5730
2022-02-24 19:51:55,5760
2022-02-24 20:52:04,9375
2022-02-24 20:52:10,9375
2022-02-25 01:46:26,1026427584
2022-02-25 17:23:41,1026483819
2022-02-25 17:24:11,1026483849
2022-02-25 17:24:26,1026483864
2022-02-25 17:24:56,1026483894
2022-02-25 17:25:41,1026483939
2022-02-26 02:48:41,1026503261
2022-02-26 02:48:56,1026503276
2022-02-26 02:49:41,1026503321
2022-02-26 02:51:11,1026503411
2022-02-26 02:51:26,1026503426
2022-02-26 02:51:56,1026503456
2022-02-26 02:52:11,1026503471
2022-02-26 02:52:26,1026503486
2022-02-26 02:52:41,1026503501
2022-02-26 02:53:11,1026503531
2022-02-26 02:53:26,1026503546
2022-02-26 02:54:41,1026503621
2022-02-26 11:14:58,1026548096
2022-02-26 11:15:13,1026548111
2022-02-27 02:02:44,1026601363
2022-02-27 02:03:29,1026601408
2022-02-27 02:03:44,1026601423
2022-02-27 02:03:59,1026601438
2022-02-27 02:04:14,1026601453
2022-02-27 02:04:59,1026601498
2022-02-27 02:06:44,1026601603
2022-02-27 02:06:59,1026601618
2022-02-27 02:07:14,1026601633
2022-02-27 02:07:29,1026601648
