"Time","Text"
2019-07-15 00:03:17,16.0 min
2019-07-15 01:49:17,2.0336 hour
2019-07-15 16:43:34,16.94 hour
2019-07-15 19:29:19,19.70 hour
2019-07-15 21:48:19,22.02 hour
2019-07-15 21:49:49,22.04 hour
2019-07-16 18:28:21,1.78 day
2019-07-16 18:32:06,1.78 day
2019-07-16 18:32:36,1.78 day
2019-07-16 18:32:51,1.78 day
2019-07-16 20:43:37,1.87 day
2019-07-16 21:55:22,1.92 day
2019-07-16 21:55:52,1.92 day
2019-07-16 23:36:22,1.99 day
2019-07-16 23:36:52,1.99 day
2019-07-17 00:09:37,2.02 day
2019-07-17 00:09:52,2.02 day
2019-07-17 15:07:31,14.67 hour
2019-07-17 16:48:46,16.36 hour
2019-07-17 20:15:16,19.80 hour
2019-07-17 21:55:31,21.47 hour
2019-07-17 21:57:16,21.50 hour
2019-07-17 21:57:31,21.50 hour
2019-07-17 21:58:16,21.52 hour
2019-07-17 22:24:02,21.95 hour
2019-07-17 22:28:17,22.02 hour
2019-07-17 22:31:02,22.06 hour
2019-07-17 22:31:47,22.08 hour
2019-07-18 03:31:47,1.128 day
2019-07-18 14:38:18,1.59 day
2019-07-18 20:19:04,1.83 day
2019-07-18 20:49:49,1.85 day
2019-07-18 20:52:49,1.85 day
2019-07-18 21:59:04,1.90 day
2019-07-18 22:30:34,1.92 day
2019-07-18 22:32:04,1.92 day
2019-07-18 22:32:19,1.92 day
2019-07-18 22:35:34,1.92 day
2019-07-18 22:37:34,1.92 day
2019-07-19 00:11:49,1.99 day
2019-07-19 00:13:34,1.99 day
2019-07-19 00:13:49,1.99 day
2019-07-19 00:16:04,1.99 day
2019-07-19 01:52:43,47.3 min
2019-07-19 01:53:13,47.8 min
2019-07-19 01:53:13,47.8 min
2019-07-19 15:12:59,14.13 hour
2019-07-19 15:13:29,14.13 hour
2019-07-19 18:38:15,17.55 hour
2019-07-19 18:39:00,17.56 hour
2019-07-19 18:39:15,17.56 hour
2019-07-19 20:20:00,19.24 hour
2019-07-19 20:21:15,19.26 hour
2019-07-19 20:21:45,19.27 hour
2019-07-19 20:49:15,19.73 hour
2019-07-19 20:56:30,19.85 hour
2019-07-19 20:57:45,19.87 hour
2019-07-19 20:58:00,19.88 hour
2019-07-19 22:30:00,21.41 hour
2019-07-19 22:32:15,21.45 hour
2019-07-19 22:33:15,21.46 hour
2019-07-20 00:16:45,23.19 hour
2019-07-20 00:17:00,23.19 hour
2019-07-20 18:34:47,1.73 day
2019-07-20 19:14:47,1.76 day
2019-07-20 20:18:17,1.80 day
2019-07-20 20:56:02,1.83 day
2019-07-20 20:56:47,1.83 day
2019-07-20 20:57:17,1.83 day
2019-07-20 22:33:03,1.89 day
2019-07-20 22:33:33,1.89 day
2019-07-20 22:35:18,1.90 day
2019-07-20 22:35:18,1.90 day
2019-07-20 22:36:03,1.90 day
2019-07-20 22:36:03,1.90 day
2019-07-20 22:37:48,1.90 day
2019-07-20 22:37:48,1.90 day
2019-07-21 11:19:58,9.58 hour
2019-07-21 20:54:44,19.15 hour
2019-07-21 20:58:29,19.22 hour
2019-07-21 21:00:59,19.26 hour
2019-07-21 21:01:59,19.28 hour
2019-07-21 21:02:44,19.29 hour
2019-07-22 13:04:31,1.47 day
2019-07-22 15:16:46,1.56 day
2019-07-22 15:18:16,1.56 day
2019-07-22 18:39:01,1.70 day
2019-07-22 18:41:46,1.71 day
2019-07-22 19:15:31,1.73 day
2019-07-22 19:15:46,1.73 day
2019-07-22 19:16:01,1.73 day
2019-07-22 19:16:01,1.73 day
2019-07-22 20:19:16,1.77 day
2019-07-22 20:23:46,1.78 day
2019-07-22 20:58:16,1.80 day
2019-07-22 22:37:17,1.87 day
2019-07-22 22:38:17,1.87 day
2019-07-22 22:39:02,1.87 day
2019-07-23 11:57:41,9.53 hour
2019-07-23 13:04:41,10.64 hour
2019-07-23 13:33:26,11.12 hour
2019-07-23 15:20:57,12.91 hour
2019-07-23 17:00:42,14.58 hour
2019-07-23 17:35:42,15.16 hour
2019-07-23 17:36:42,15.18 hour
2019-07-23 18:45:27,16.32 hour
2019-07-23 18:46:12,16.33 hour
2019-07-23 19:17:42,16.86 hour
2019-07-23 19:18:12,16.87 hour
2019-07-23 20:22:42,17.94 hour
2019-07-23 20:28:12,18.03 hour
2019-07-23 20:56:57,18.51 hour
2019-07-23 21:00:27,18.57 hour
2019-07-23 21:04:27,18.64 hour
2019-07-23 22:38:57,20.21 hour
2019-07-23 22:38:57,20.21 hour
2019-07-23 22:39:27,20.22 hour
2019-07-23 22:40:27,20.24 hour
2019-07-23 22:40:42,20.24 hour
2019-07-24 09:42:58,1.30 day
2019-07-24 21:02:44,1.78 day
2019-07-25 18:50:25,15.73 hour
2019-07-25 18:50:55,15.74 hour
2019-07-25 19:26:40,16.34 hour
2019-07-25 21:01:40,17.92 hour
2019-07-25 21:03:10,17.95 hour
2019-07-25 21:04:25,17.97 hour
2019-07-26 08:05:56,1.21 day
2019-07-26 11:59:41,1.37 day
2019-07-26 11:59:56,1.37 day
2019-07-26 12:02:41,1.37 day
2019-07-26 13:41:57,1.44 day
2019-07-26 13:42:42,1.44 day
2019-07-26 15:28:27,1.52 day
2019-07-26 17:07:27,1.58 day
2019-07-27 11:31:36,7.79 hour
2019-07-27 13:44:51,10.01 hour
2019-07-27 15:26:36,11.70 hour
2019-07-27 15:27:21,11.72 hour
2019-07-27 17:11:36,13.45 hour
2019-07-27 17:12:51,13.48 hour
2019-07-27 17:13:36,13.49 hour
2019-07-27 17:44:21,14.00 hour
2019-07-27 19:28:22,15.73 hour
2019-07-27 19:28:52,15.74 hour
2019-07-28 06:28:38,1.114 day
2019-07-28 06:28:53,1.114 day
2019-07-28 13:46:08,1.42 day
2019-07-28 13:50:23,1.42 day
2019-07-28 15:30:08,1.49 day
2019-07-28 15:30:09,1.49 day
2019-07-28 15:30:23,1.49 day
2019-07-28 15:30:54,1.49 day
2019-07-28 15:31:54,1.49 day
2019-07-28 15:32:24,1.49 day
2019-07-28 15:32:39,1.49 day
2019-07-28 16:08:54,1.52 day
2019-07-28 17:13:39,1.56 day
2019-07-28 17:14:24,1.56 day
2019-07-28 17:15:09,1.56 day
2019-07-28 17:15:24,1.56 day
2019-07-28 17:47:24,1.59 day
2019-07-28 17:47:24,1.59 day
2019-07-28 17:47:39,1.59 day
2019-07-28 17:47:39,1.59 day
2019-07-28 17:48:24,1.59 day
2019-07-28 19:27:24,1.65 day
2019-07-28 19:28:09,1.66 day
2019-07-28 19:29:09,1.66 day
2019-07-29 06:30:48,2.1461 hour
2019-07-29 15:35:34,11.23 hour
2019-07-29 15:35:49,11.23 hour
2019-07-30 10:25:51,1.25 day
2019-07-30 10:26:06,1.25 day
2019-07-30 10:28:06,1.25 day
2019-07-30 10:28:21,1.25 day
2019-07-30 10:28:36,1.25 day
2019-07-30 10:29:21,1.26 day
2019-07-30 13:48:36,1.39 day
2019-07-30 13:50:36,1.39 day
2019-07-30 13:50:51,1.40 day
2019-07-30 16:11:36,1.49 day
2019-08-07 01:43:08,18.72 hour
2019-08-07 06:35:53,23.60 hour
2019-08-07 06:36:23,23.61 hour
2019-08-07 06:36:53,23.62 hour
2019-08-07 08:58:38,1.083 day
2019-08-07 09:43:38,1.114 day
2019-08-07 10:39:24,1.152 day
2019-08-07 11:16:54,1.18 day
2019-08-07 11:17:24,1.18 day
2019-08-07 11:19:54,1.18 day
2019-08-07 11:19:54,1.18 day
2019-08-07 11:23:54,1.18 day
2019-08-07 12:22:24,1.22 day
2019-08-07 16:25:09,1.39 day
2019-08-07 16:26:09,1.39 day
2019-08-07 16:26:39,1.39 day
2019-08-08 01:43:40,1.78 day
2019-08-08 05:08:25,1.92 day
2019-08-08 05:08:55,1.92 day
2019-08-08 05:09:10,1.92 day
2019-08-08 05:09:25,1.92 day
2019-08-08 05:10:25,1.92 day
2019-08-08 07:17:56,2.01 day
2019-08-08 07:18:56,2.01 day
2019-08-08 08:57:49,1.3544 hour
2019-08-08 09:40:49,2.0711 hour
2019-08-08 09:43:04,2.1086 hour
2019-08-08 09:46:49,2.1711 hour
2019-08-08 10:42:50,3.10 hour
2019-08-08 11:19:05,3.71 hour
2019-08-08 11:19:50,3.72 hour
2019-08-08 11:23:35,3.78 hour
2019-08-08 11:23:50,3.79 hour
2019-08-08 11:27:50,3.85 hour
2019-08-08 13:03:05,5.44 hour
2019-08-08 13:03:20,5.45 hour
2019-08-08 13:03:50,5.45 hour
2019-08-08 13:03:50,5.45 hour
2019-08-08 13:04:05,5.46 hour
2019-08-08 13:04:05,5.46 hour
2019-08-08 13:08:35,5.53 hour
2019-08-08 13:08:50,5.54 hour
2019-08-08 13:09:05,5.54 hour
2019-08-08 14:45:35,7.15 hour
2019-08-08 14:45:35,7.15 hour
2019-08-08 16:23:05,8.78 hour
2019-08-08 16:24:05,8.79 hour
2019-08-08 16:26:50,8.84 hour
