"Time","Text"
2019-07-14 20:07:38,ADCS Off
2019-07-14 21:44:53,ADCS Off
2019-07-14 21:48:08,ADCS Off
2019-07-14 21:48:53,ADCS Off
2019-07-15 00:01:47,ADCS Off
2019-07-15 00:03:17,ADCS Off
2019-07-15 01:49:17,ADCS Off
2019-07-15 16:43:34,ADCS Off
2019-07-15 19:29:19,ADCS Off
2019-07-15 21:48:19,ADCS Off
2019-07-15 21:49:49,ADCS Off
2019-07-16 18:28:21,ADCS Off
2019-07-16 18:32:06,ADCS Off
2019-07-16 18:32:36,ADCS Off
2019-07-16 18:32:51,ADCS Off
2019-07-16 20:43:37,ADCS Off
2019-07-16 21:55:22,ADCS Off
2019-07-16 21:55:52,ADCS Off
2019-07-16 23:36:22,ADCS Off
2019-07-16 23:36:52,ADCS Off
2019-07-17 00:09:37,ADCS Off
2019-07-17 00:09:52,ADCS Off
2019-07-17 15:07:31,ADCS Off
2019-07-17 16:48:46,ADCS Off
2019-07-17 20:15:16,ADCS Off
2019-07-17 21:55:31,ADCS Off
2019-07-17 21:57:16,ADCS Off
2019-07-17 21:57:31,ADCS Off
2019-07-17 21:58:16,ADCS Off
2019-07-17 22:24:02,ADCS Off
2019-07-17 22:28:17,ADCS Off
2019-07-17 22:31:02,ADCS Off
2019-07-17 22:31:47,ADCS Off
2019-07-18 03:31:47,ADCS Off
2019-07-18 14:38:18,ADCS Off
2019-07-18 20:19:04,ADCS Off
2019-07-18 20:49:49,ADCS Off
2019-07-18 20:52:49,ADCS Off
2019-07-18 21:59:04,ADCS Off
2019-07-18 22:30:34,ADCS Off
2019-07-18 22:32:04,ADCS Off
2019-07-18 22:32:19,ADCS Off
2019-07-18 22:35:34,ADCS Off
2019-07-18 22:37:34,ADCS Off
2019-07-19 00:11:49,ADCS Off
2019-07-19 00:13:34,ADCS Off
2019-07-19 00:13:49,ADCS Off
2019-07-19 00:16:04,ADCS Off
2019-07-19 01:52:43,ADCS Off
2019-07-19 01:53:13,ADCS Off
2019-07-19 01:53:13,ADCS Off
2019-07-19 15:12:59,ADCS Off
2019-07-19 15:13:29,ADCS Off
2019-07-19 18:38:15,ADCS Off
2019-07-19 18:39:00,ADCS Off
2019-07-19 18:39:15,ADCS Off
2019-07-19 20:20:00,ADCS Off
2019-07-19 20:21:15,ADCS Off
2019-07-19 20:21:45,ADCS Off
2019-07-19 20:49:15,ADCS Off
2019-07-19 20:56:30,ADCS Off
2019-07-19 20:57:45,ADCS Off
2019-07-19 20:58:00,ADCS Off
2019-07-19 22:30:00,ADCS Off
2019-07-19 22:32:15,ADCS Off
2019-07-19 22:33:15,ADCS Off
2019-07-20 00:16:45,ADCS Off
2019-07-20 00:17:00,ADCS Off
2019-07-20 18:34:47,ADCS Off
2019-07-20 19:14:47,ADCS Off
2019-07-20 20:18:17,ADCS Off
2019-07-20 20:56:02,ADCS Off
2019-07-20 20:56:47,ADCS Off
2019-07-20 20:57:17,ADCS Off
2019-07-20 22:33:03,ADCS Off
2019-07-20 22:33:33,ADCS Off
2019-07-20 22:35:18,ADCS Off
2019-07-20 22:35:18,ADCS Off
2019-07-20 22:36:03,ADCS Off
2019-07-20 22:36:03,ADCS Off
2019-07-20 22:37:48,ADCS Off
2019-07-20 22:37:48,ADCS Off
2019-07-21 11:19:58,ADCS Off
2019-07-21 20:54:44,ADCS Off
2019-07-21 20:58:29,ADCS Off
2019-07-21 21:00:59,ADCS Off
2019-07-21 21:01:59,ADCS Off
2019-07-21 21:02:44,ADCS Off
2019-07-22 13:04:31,ADCS Off
2019-07-22 15:16:46,ADCS Off
2019-07-22 15:18:16,ADCS Off
2019-07-22 18:39:01,ADCS Off
2019-07-22 18:41:46,ADCS Off
2019-07-22 19:15:31,ADCS Off
2019-07-22 19:15:46,ADCS Off
2019-07-22 19:16:01,ADCS Off
2019-07-22 19:16:01,ADCS Off
2019-07-22 20:19:16,ADCS Off
2019-07-22 20:23:46,ADCS Off
2019-07-22 20:58:16,ADCS Off
2019-07-22 22:37:17,ADCS Off
2019-07-22 22:38:17,ADCS Off
2019-07-22 22:39:02,ADCS Off
2019-07-23 11:57:41,ADCS Off
2019-07-23 13:04:41,ADCS Off
2019-07-23 13:33:26,ADCS Off
2019-07-23 15:20:57,ADCS Off
2019-07-23 17:00:42,ADCS Off
2019-07-23 17:35:42,ADCS Off
2019-07-23 17:36:42,ADCS Off
2019-07-23 18:45:27,ADCS Off
2019-07-23 18:46:12,ADCS Off
2019-07-23 19:17:42,ADCS Off
2019-07-23 19:18:12,ADCS Off
2019-07-23 20:22:42,ADCS Off
2019-07-23 20:28:12,ADCS Off
