Time,43793.last
2022-09-15 03:00:00,84.0
2022-09-22 03:00:00,236.0
2022-09-29 03:00:00,201.0
2022-10-06 03:00:00,38.0
2022-10-13 03:00:00,25.0
2022-10-20 03:00:00,221.0
2022-10-27 03:00:00,85.0
2022-11-03 03:00:00,91.0
2022-11-10 03:00:00,228.0
2022-11-17 03:00:00,109.0
2022-11-24 03:00:00,72.0
2022-12-01 03:00:00,255.0
2022-12-08 03:00:00,227.0
2022-12-15 03:00:00,162.0
