Time,Attitude Quaternion 1
2019-07-28 03:00:00,0.81
2019-07-29 03:00:00,0.81
2019-07-30 03:00:00,0.8
2019-07-31 03:00:00,0.74
2019-08-01 03:00:00,0.66
2019-08-02 03:00:00,0.8
2019-08-03 03:00:00,0.0
2019-08-04 03:00:00,0.8
2019-08-05 03:00:00,0.8
2019-08-06 03:00:00,0.59
2019-08-07 03:00:00,1.6e-08
2019-08-08 03:00:00,0.69
2019-08-09 03:00:00,0.78
2019-08-10 03:00:00,0.68
2019-08-11 03:00:00,0.69
2019-08-12 03:00:00,0.7
2019-08-13 03:00:00,0.76
2019-08-14 03:00:00,0.67
2019-08-15 03:00:00,0.76
2019-08-16 03:00:00,0.57
2019-08-17 03:00:00,0.78
2019-08-18 03:00:00,0.75
2019-08-19 03:00:00,0.62
2019-08-20 03:00:00,0.64
2019-08-21 03:00:00,0.74
2019-08-22 03:00:00,0.63
2019-08-23 03:00:00,0.0
2019-08-24 03:00:00,0.75
2019-08-25 03:00:00,0.63
2019-08-26 03:00:00,0.12
2019-08-27 03:00:00,0.0
2019-08-28 03:00:00,0.6
2019-08-29 03:00:00,0.6
2019-08-30 03:00:00,8.2e-06
2019-08-31 03:00:00,0.7
2019-09-01 03:00:00,0.7
2019-09-02 03:00:00,0.71
2019-09-03 03:00:00,0.55
2019-09-04 03:00:00,0.68
2019-09-05 03:00:00,0.47
2019-09-06 03:00:00,0.58
2019-09-07 03:00:00,0.67
2019-09-08 03:00:00,0.69
2019-09-09 03:00:00,0.66
2019-09-10 03:00:00,0.66
2019-09-11 03:00:00,0.66
2019-09-12 03:00:00,0.52
2019-09-13 03:00:00,0.5
2019-09-14 03:00:00,0.64
2019-09-15 03:00:00,0.63
2019-09-16 03:00:00,0.62
2019-09-17 03:00:00,0.46
2019-09-18 03:00:00,0.57
2019-09-19 03:00:00,0.69
2019-09-20 03:00:00,-1.0
2019-09-21 03:00:00,0.65
2019-09-22 03:00:00,0.47
2019-09-23 03:00:00,0.41
2019-09-24 03:00:00,0.59
2019-09-25 03:00:00,0.022
2019-09-26 03:00:00,0.39
2019-09-27 03:00:00,0.57
2019-09-28 03:00:00,0.42
2019-09-29 03:00:00,0.63
2019-09-30 03:00:00,0.56
2019-10-01 03:00:00,0.42
2019-10-02 03:00:00,0.42
2019-10-03 03:00:00,0.4
2019-10-07 03:00:00,0.67
2019-10-08 03:00:00,0.6
2019-10-09 03:00:00,7.7e-06
2019-10-10 03:00:00,0.5
2019-10-11 03:00:00,0.37
2019-10-12 03:00:00,0.5
2019-10-13 03:00:00,0.32
2019-10-14 03:00:00,0.35
2019-10-15 03:00:00,0.52
2019-10-16 03:00:00,0.48
2019-10-17 03:00:00,0.34
2019-10-18 03:00:00,0.56
2019-10-19 03:00:00,0.34
2019-10-20 03:00:00,0.46
2019-10-21 03:00:00,0.32
2019-10-22 03:00:00,0.31
2019-10-23 03:00:00,0.5
2019-10-24 03:00:00,0.3
2019-10-25 03:00:00,0.3
2019-10-26 03:00:00,0.42
2019-10-27 03:00:00,0.37
2019-10-28 03:00:00,0.0
2019-10-29 03:00:00,0.42
2019-10-30 03:00:00,0.39
2019-10-31 03:00:00,0.26
2019-11-01 03:00:00,0.24
2019-11-02 03:00:00,0.0
2019-11-03 03:00:00,0.38
2019-11-04 03:00:00,0.43
2019-11-05 03:00:00,0.22
2019-11-06 03:00:00,0.23
2019-11-07 03:00:00,0.026
2019-11-08 03:00:00,-1.0
2019-11-09 03:00:00,0.19
2019-11-10 03:00:00,0.21
2019-11-11 03:00:00,0.2
2019-11-12 03:00:00,0.35
2019-11-13 03:00:00,-1.0
2019-11-14 03:00:00,0.33
2019-11-15 03:00:00,0.0
2019-11-16 03:00:00,0.15
2019-11-17 03:00:00,0.31
2019-11-18 03:00:00,0.32
2019-11-19 03:00:00,0.0
2019-11-20 03:00:00,0.0
2019-11-21 03:00:00,0.0
2019-11-22 03:00:00,-1.0
2019-11-23 03:00:00,0.0
2019-11-24 03:00:00,0.12
2019-11-25 03:00:00,0.0
2019-11-26 03:00:00,0.0
2019-11-27 03:00:00,0.0
2019-11-28 03:00:00,0.098
2019-11-29 03:00:00,0.098
2019-11-30 03:00:00,0.088
2019-12-01 03:00:00,0.0
2019-12-02 03:00:00,0.0
2019-12-03 03:00:00,-1.0
2019-12-04 03:00:00,-1.0
2019-12-05 03:00:00,0.0
2019-12-06 03:00:00,0.0
2019-12-07 03:00:00,0.049
2019-12-08 03:00:00,0.047
2019-12-09 03:00:00,-1.0
2019-12-10 03:00:00,-1.0
2019-12-11 03:00:00,0.0
2019-12-12 03:00:00,8.2e-06
2019-12-13 03:00:00,0.0
2019-12-14 03:00:00,0.0
2019-12-15 03:00:00,0.0
2019-12-16 03:00:00,0.00032
2019-12-29 03:00:00,-1.0
2019-12-30 03:00:00,0.0
2019-12-31 03:00:00,-1.0
2020-01-01 03:00:00,-1.0
2020-01-02 03:00:00,0.0
2020-01-03 03:00:00,0.0
2020-01-04 03:00:00,0.0
2020-01-05 03:00:00,0.0
2020-01-06 03:00:00,0.0
2020-01-07 03:00:00,0.0
2020-01-08 03:00:00,0.0
2020-01-09 03:00:00,0.0
2020-01-10 03:00:00,0.0
2020-01-11 03:00:00,0.0
2020-01-12 03:00:00,0.0
2020-01-13 03:00:00,0.0
2020-01-14 03:00:00,-1.0
2020-01-15 03:00:00,0.0
2020-01-16 03:00:00,-1.0
2020-01-17 03:00:00,0.0
2020-01-18 03:00:00,0.0
2020-01-19 03:00:00,0.0
2020-01-20 03:00:00,-1.0
2020-01-21 03:00:00,-1.0
2020-01-22 03:00:00,0.0
2020-01-23 03:00:00,0.0
2020-01-24 03:00:00,0.0
2020-01-25 03:00:00,0.2
2020-01-26 03:00:00,0.0
2020-01-27 03:00:00,0.0
2020-01-28 03:00:00,0.0
2020-01-29 03:00:00,-1.0
2020-01-30 03:00:00,0.0
2020-01-31 03:00:00,0.0
2020-02-01 03:00:00,0.14
2020-02-02 03:00:00,0.15
2020-02-03 03:00:00,-1.0
2020-02-04 03:00:00,0.28
2020-02-05 03:00:00,0.42
2020-02-06 03:00:00,0.0
2020-02-07 03:00:00,0.43
2020-02-08 03:00:00,-1.0
2020-02-09 03:00:00,0.0
2020-02-10 03:00:00,0.0
2020-02-11 03:00:00,0.065
2020-02-12 03:00:00,8.2e-06
2020-02-13 03:00:00,0.0
2020-02-14 03:00:00,0.33
2020-02-15 03:00:00,0.42
2020-02-16 03:00:00,-1.0
2020-02-17 03:00:00,-1.0
2020-02-18 03:00:00,-1.0
2020-02-19 03:00:00,0.0
2020-02-20 03:00:00,0.31
2020-02-21 03:00:00,-1.0
2020-02-22 03:00:00,0.0
2020-02-23 03:00:00,0.0
2020-02-24 03:00:00,0.0
2020-02-25 03:00:00,3.4e-08
2020-02-26 03:00:00,0.0
2020-02-27 03:00:00,6.8e-06
2020-02-28 03:00:00,0.0
2020-02-29 03:00:00,0.0
2020-03-01 03:00:00,-1.0
2020-03-02 03:00:00,0.11
2020-03-03 03:00:00,0.68
2020-03-04 03:00:00,0.0
2020-03-05 03:00:00,0.69
2020-03-06 03:00:00,6e-06
2020-03-07 03:00:00,-1.0
2020-03-08 03:00:00,-1.0
2020-03-09 03:00:00,-1.0
2020-03-10 03:00:00,0.16
2020-03-11 03:00:00,0.18
2020-03-12 03:00:00,0.27
2020-03-13 03:00:00,0.54
2020-03-14 03:00:00,0.54
2020-03-15 03:00:00,-1.0
2020-03-16 03:00:00,0.38
2020-03-17 03:00:00,0.051
2020-03-18 03:00:00,0.52
2020-03-19 03:00:00,0.34
2020-03-20 03:00:00,0.59
2020-03-21 03:00:00,0.55
2020-03-22 03:00:00,0.25
2020-03-23 03:00:00,0.28
2020-03-24 03:00:00,0.3
2020-03-25 03:00:00,0.39
2020-03-26 03:00:00,0.41
2020-03-27 03:00:00,0.0
2020-03-28 03:00:00,0.0
2020-03-29 03:00:00,-1.0
2020-03-30 03:00:00,0.59
2020-03-31 03:00:00,0.59
2020-04-01 03:00:00,0.46
2020-04-02 03:00:00,0.46
2020-04-03 03:00:00,0.45
2020-04-04 03:00:00,0.44
2020-04-05 03:00:00,0.63
2020-04-06 03:00:00,0.45
2020-04-07 03:00:00,0.0
2020-04-08 03:00:00,0.0
2020-04-09 03:00:00,0.0
2020-04-10 03:00:00,0.29
2020-04-11 03:00:00,-1.0
2020-04-12 03:00:00,0.0
2020-04-13 03:00:00,0.51
