Time,Wheel #1 Speed
2019-08-16 03:00:00,-1.0
2019-08-17 03:00:00,-110.0
2019-08-18 03:00:00,-1.0
2019-08-19 03:00:00,124.0
2019-08-20 03:00:00,513.0
2019-08-21 03:00:00,498.0
2019-08-22 03:00:00,472.0
2019-08-23 03:00:00,-75.0
2019-08-24 03:00:00,528.0
2019-08-25 03:00:00,202.0
2019-08-26 03:00:00,516.0
2019-08-27 03:00:00,0.0
2019-08-28 03:00:00,-1.0
2019-08-29 03:00:00,496.0
2019-08-30 03:00:00,11060.0
2019-08-31 03:00:00,490.0
2019-09-01 03:00:00,478.0
2019-09-02 03:00:00,485.0
2019-09-03 03:00:00,479.0
2019-09-04 03:00:00,473.0
2019-09-05 03:00:00,-2.0
2019-09-06 03:00:00,-2.0
2019-09-07 03:00:00,476.0
2019-09-08 03:00:00,505.0
2019-09-09 03:00:00,-1.0
2019-09-10 03:00:00,464.0
2019-09-11 03:00:00,486.0
2019-09-12 03:00:00,463.0
2019-09-13 03:00:00,459.0
2019-09-14 03:00:00,458.0
2019-09-15 03:00:00,451.0
2019-09-16 03:00:00,445.0
2019-09-17 03:00:00,-1.0
2019-09-18 03:00:00,-1.0
2019-09-19 03:00:00,-1.0
2019-09-20 03:00:00,-1.0
2019-09-21 03:00:00,-1.0
2019-09-22 03:00:00,423.0
2019-09-23 03:00:00,-1.0
2019-09-24 03:00:00,-1.0
2019-09-25 03:00:00,1.2
2019-09-26 03:00:00,-2.0
2019-09-27 03:00:00,-2.0
2019-09-28 03:00:00,390.0
2019-09-29 03:00:00,381.0
2019-09-30 03:00:00,369.0
2019-10-01 03:00:00,119.0
2019-10-02 03:00:00,374.0
2019-10-03 03:00:00,359.0
2019-10-07 03:00:00,348.0
2019-10-08 03:00:00,103.0
2019-10-09 03:00:00,205.0
2019-10-10 03:00:00,316.0
2019-10-11 03:00:00,86.0
2019-10-12 03:00:00,-45.0
2019-10-13 03:00:00,-1.0
2019-10-14 03:00:00,1.6
2019-10-15 03:00:00,296.0
2019-10-16 03:00:00,284.0
2019-10-17 03:00:00,1.6
2019-10-18 03:00:00,72.0
2019-10-19 03:00:00,52.0
2019-10-20 03:00:00,259.0
2019-10-21 03:00:00,254.0
2019-10-22 03:00:00,269.0
2019-10-23 03:00:00,598.0
2019-10-24 03:00:00,208.0
2019-10-25 03:00:00,215.0
2019-10-26 03:00:00,158.0
2019-10-27 03:00:00,-2.0
2019-10-28 03:00:00,-91.0
2019-10-29 03:00:00,192.0
2019-10-30 03:00:00,-1305.0
2019-10-31 03:00:00,-1072.0
2019-11-01 03:00:00,-1059.0
2019-11-02 03:00:00,-120.0
2019-11-03 03:00:00,166.0
2019-11-04 03:00:00,191.0
2019-11-05 03:00:00,145.0
2019-11-06 03:00:00,-50.0
2019-11-07 03:00:00,-1.0
2019-11-08 03:00:00,71.0
2019-11-09 03:00:00,127.0
2019-11-10 03:00:00,-87.0
2019-11-11 03:00:00,149.0
2019-11-12 03:00:00,-528.0
2019-11-13 03:00:00,-157.0
2019-11-14 03:00:00,94.0
2019-11-15 03:00:00,81.0
2019-11-16 03:00:00,112.0
2019-11-17 03:00:00,72.0
2019-11-18 03:00:00,103.0
2019-11-19 03:00:00,-110.0
2019-11-20 03:00:00,54.0
2019-11-21 03:00:00,-1.0
2019-11-22 03:00:00,82.0
2019-11-23 03:00:00,-76.0
2019-11-24 03:00:00,1.2
2019-11-25 03:00:00,1.2
2019-11-26 03:00:00,1.2
2019-11-27 03:00:00,1.6
2019-11-28 03:00:00,-176.0
2019-11-29 03:00:00,-1.0
2019-11-30 03:00:00,-2.0
2019-12-01 03:00:00,-1.0
2019-12-02 03:00:00,-2.0
2019-12-03 03:00:00,111.0
2019-12-04 03:00:00,72.0
2019-12-05 03:00:00,-1.0
2019-12-06 03:00:00,-1.0
2019-12-07 03:00:00,-271.0
2019-12-08 03:00:00,-245.0
2019-12-09 03:00:00,102.0
2019-12-10 03:00:00,78.0
2019-12-11 03:00:00,1.6
2019-12-12 03:00:00,102.0
2019-12-13 03:00:00,1.2
2019-12-14 03:00:00,1.2
2019-12-15 03:00:00,-2.0
2019-12-16 03:00:00,-1.0
2019-12-29 03:00:00,65.0
2019-12-30 03:00:00,47.0
2019-12-31 03:00:00,118.0
2020-01-01 03:00:00,78.0
2020-01-02 03:00:00,86.0
2020-01-03 03:00:00,87.0
2020-01-04 03:00:00,-95.0
2020-01-05 03:00:00,82.0
2020-01-06 03:00:00,-1.0
2020-01-07 03:00:00,69.0
2020-01-08 03:00:00,-175.0
2020-01-09 03:00:00,86.0
2020-01-10 03:00:00,64.0
2020-01-11 03:00:00,72.0
2020-01-12 03:00:00,111.0
2020-01-13 03:00:00,-1.0
2020-01-14 03:00:00,114.0
2020-01-15 03:00:00,-140.0
2020-01-16 03:00:00,-2.0
2020-01-17 03:00:00,61.0
2020-01-18 03:00:00,-2.0
2020-01-19 03:00:00,137.0
2020-01-20 03:00:00,116.0
2020-01-21 03:00:00,77.0
2020-01-22 03:00:00,126.0
2020-01-23 03:00:00,76.0
2020-01-24 03:00:00,113.0
2020-01-25 03:00:00,102.0
2020-01-26 03:00:00,72.0
2020-01-27 03:00:00,78.0
2020-01-28 03:00:00,1.2
2020-01-29 03:00:00,77.0
2020-01-30 03:00:00,113.0
2020-01-31 03:00:00,-203.0
2020-02-01 03:00:00,130.0
2020-02-02 03:00:00,-64.0
2020-02-03 03:00:00,-1.0
2020-02-04 03:00:00,150.0
2020-02-05 03:00:00,79.0
2020-02-06 03:00:00,114.0
2020-02-07 03:00:00,-82.0
2020-02-08 03:00:00,120.0
2020-02-09 03:00:00,104.0
2020-02-10 03:00:00,1.2
2020-02-11 03:00:00,70.0
2020-02-12 03:00:00,11059.0
2020-02-13 03:00:00,-123.0
2020-02-14 03:00:00,-43.0
2020-02-15 03:00:00,95.0
2020-02-16 03:00:00,-150.0
2020-02-17 03:00:00,-2.0
2020-02-18 03:00:00,-159.0
2020-02-19 03:00:00,11059.0
2020-02-20 03:00:00,-2.0
2020-02-21 03:00:00,108.0
2020-02-22 03:00:00,97.0
2020-02-23 03:00:00,95.0
2020-02-24 03:00:00,99.0
2020-02-25 03:00:00,0.0
2020-02-26 03:00:00,0.0
2020-02-27 03:00:00,0.0
2020-02-28 03:00:00,-90.0
2020-02-29 03:00:00,-91.0
2020-03-01 03:00:00,116.0
2020-03-02 03:00:00,116.0
2020-03-03 03:00:00,121.0
2020-03-04 03:00:00,0.0
2020-03-05 03:00:00,-73.0
2020-03-06 03:00:00,0.0
2020-03-07 03:00:00,-101.0
2020-03-08 03:00:00,88.0
2020-03-09 03:00:00,-92.0
2020-03-10 03:00:00,1.2
2020-03-11 03:00:00,1.2
2020-03-12 03:00:00,292.0
2020-03-13 03:00:00,-472.0
2020-03-14 03:00:00,-470.0
2020-03-15 03:00:00,107.0
2020-03-16 03:00:00,-126.0
2020-03-17 03:00:00,6748.0
2020-03-18 03:00:00,-372.0
2020-03-19 03:00:00,-44.0
2020-03-20 03:00:00,-2.0
2020-03-21 03:00:00,-44.0
2020-03-22 03:00:00,286.0
2020-03-23 03:00:00,-406.0
2020-03-24 03:00:00,-540.0
2020-03-25 03:00:00,-2.0
2020-03-26 03:00:00,-2.0
2020-03-27 03:00:00,-64.0
2020-03-28 03:00:00,111.0
2020-03-29 03:00:00,-126.0
2020-03-30 03:00:00,-2.0
2020-03-31 03:00:00,-1.0
2020-04-01 03:00:00,-1.0
2020-04-02 03:00:00,-1.0
2020-04-03 03:00:00,-1.0
2020-04-04 03:00:00,-1.0
2020-04-05 03:00:00,-1.0
2020-04-06 03:00:00,1.2
2020-04-07 03:00:00,-2.0
2020-04-08 03:00:00,102.0
2020-04-09 03:00:00,1.6
2020-04-10 03:00:00,-1.0
2020-04-11 03:00:00,114.0
2020-04-12 03:00:00,127.0
2020-04-13 03:00:00,103.0
2020-04-14 03:00:00,-2.0
2020-04-15 03:00:00,117.0
2020-04-16 03:00:00,115.0
2020-04-17 03:00:00,-116.0
2020-04-18 03:00:00,-1.0
2020-04-19 03:00:00,0.0
2020-04-20 03:00:00,0.0
2020-04-21 03:00:00,-2.0
2020-04-22 03:00:00,96.0
2020-04-23 03:00:00,98.0
2020-04-24 03:00:00,78.0
2020-04-25 03:00:00,1.2
2020-04-26 03:00:00,-276.0
2020-04-27 03:00:00,91.0
2020-04-28 03:00:00,1.2
2020-04-29 03:00:00,-1.0
2020-04-30 03:00:00,-2.0
2020-05-01 03:00:00,112.0
2020-05-02 03:00:00,118.0
2020-05-03 03:00:00,123.0
2020-05-04 03:00:00,130.0
2020-05-05 03:00:00,-156.0
2020-05-06 03:00:00,132.0
2020-05-07 03:00:00,1.2
2020-05-08 03:00:00,-156.0
2020-05-09 03:00:00,148.0
2020-05-10 03:00:00,-152.0
2020-05-11 03:00:00,-51.0
2020-05-12 03:00:00,-78.0
2020-05-13 03:00:00,-94.0
2020-05-14 03:00:00,-144.0
2020-05-15 03:00:00,177.0
2020-05-16 03:00:00,175.0
2020-05-17 03:00:00,38.0
2020-05-18 03:00:00,-76.0
2020-05-19 03:00:00,1.6
2020-05-20 03:00:00,-2.0
2020-05-21 03:00:00,-1.0
2020-05-22 03:00:00,-107.0
2020-05-23 03:00:00,70.0
2020-05-24 03:00:00,1.2
2020-05-25 03:00:00,2.0
2020-05-26 03:00:00,-1.0
2020-05-27 03:00:00,-105.0
2020-05-28 03:00:00,-103.0
2020-05-29 03:00:00,238.0
2020-05-30 03:00:00,260.0
2020-05-31 03:00:00,1.2
2020-06-01 03:00:00,282.0
2020-06-02 03:00:00,295.0
2020-06-03 03:00:00,292.0
2020-06-04 03:00:00,-1.0
2020-06-05 03:00:00,111.0
2020-06-06 03:00:00,1.2
2020-06-07 03:00:00,1.2
2020-06-08 03:00:00,314.0
2020-06-09 03:00:00,1.2
2020-06-10 03:00:00,-162.0
2020-06-11 03:00:00,1.2
2020-06-12 03:00:00,346.0
2020-06-13 03:00:00,351.0
2020-06-14 03:00:00,365.0
2020-06-15 03:00:00,358.0
2020-06-16 03:00:00,1.2
2020-06-17 03:00:00,80.0
2020-06-18 03:00:00,372.0
2020-06-19 03:00:00,379.0
2020-06-20 03:00:00,392.0
2020-06-21 03:00:00,396.0
2020-06-22 03:00:00,-56.0
2020-06-23 03:00:00,-110.0
2020-06-24 03:00:00,-1.0
2020-06-25 03:00:00,376.0
2020-06-26 03:00:00,388.0
2020-06-27 03:00:00,-1.0
2020-06-28 03:00:00,420.0
2020-06-29 03:00:00,425.0
2020-06-30 03:00:00,433.0
2020-07-01 03:00:00,436.0
2020-07-02 03:00:00,41.0
2020-07-03 03:00:00,1.2
2020-07-04 03:00:00,462.0
2020-07-05 03:00:00,1.2
2020-07-06 03:00:00,460.0
2020-07-07 03:00:00,162.0
2020-07-08 03:00:00,191.0
2020-07-09 03:00:00,-5.0
2020-07-10 03:00:00,-15.0
2020-07-11 03:00:00,477.0
2020-07-12 03:00:00,484.0
2020-07-13 03:00:00,469.0
2020-07-14 03:00:00,470.0
2020-07-15 03:00:00,1.2
2020-07-16 03:00:00,468.0
2020-07-17 03:00:00,458.0
2020-07-18 03:00:00,486.0
2020-07-19 03:00:00,102.0
2020-07-20 03:00:00,-1.0
2020-07-21 03:00:00,1.2
2020-07-22 03:00:00,60.0
2020-07-23 03:00:00,108.0
2020-07-24 03:00:00,160.0
2020-07-25 03:00:00,-78.0
2020-07-26 03:00:00,-2.0
2020-07-27 03:00:00,-84.0
2020-07-28 03:00:00,-45.0
2020-07-29 03:00:00,231.0
2020-07-30 03:00:00,188.0
2020-07-31 03:00:00,513.0
2020-08-01 03:00:00,510.0
2020-08-02 03:00:00,509.0
2020-08-03 03:00:00,522.0
2020-08-04 03:00:00,520.0
2020-08-05 03:00:00,513.0
2020-08-06 03:00:00,518.0
2020-08-07 03:00:00,108.0
2020-08-08 03:00:00,251.0
2020-08-09 03:00:00,535.0
2020-08-10 03:00:00,-411.0
2020-08-11 03:00:00,228.0
2020-08-12 03:00:00,243.0
2020-08-13 03:00:00,1.2
2020-08-14 03:00:00,516.0
2020-08-15 03:00:00,46.0
2020-08-16 03:00:00,159.0
2020-08-17 03:00:00,501.0
2020-08-18 03:00:00,153.0
2020-08-19 03:00:00,209.0
2020-08-20 03:00:00,-1.0
2020-08-21 03:00:00,484.0
2020-08-22 03:00:00,-616.0
2020-08-23 03:00:00,499.0
2020-08-24 03:00:00,487.0
2020-08-25 03:00:00,492.0
2020-08-26 03:00:00,484.0
2020-08-27 03:00:00,-2.0
2020-08-28 03:00:00,-650.0
2020-08-29 03:00:00,-650.0
2020-08-30 03:00:00,483.0
2020-08-31 03:00:00,-646.0
2020-09-01 03:00:00,153.0
2020-09-02 03:00:00,212.0
2020-09-03 03:00:00,186.0
2020-09-04 03:00:00,1.2
2020-09-05 03:00:00,182.0
2020-09-06 03:00:00,-182.0
2020-09-07 03:00:00,-617.0
2020-09-08 03:00:00,459.0
2020-09-09 03:00:00,-1.0
2020-09-10 03:00:00,46.0
2020-09-11 03:00:00,-616.0
2020-09-12 03:00:00,-2.0
2020-09-13 03:00:00,447.0
2020-09-14 03:00:00,-396.0
2020-09-15 03:00:00,-69.0
2020-09-16 03:00:00,-2.0
2020-09-17 03:00:00,151.0
2020-09-18 03:00:00,399.0
2020-09-19 03:00:00,406.0
2020-09-20 03:00:00,-346.0
2020-09-21 03:00:00,398.0
2020-09-22 03:00:00,392.0
2020-09-23 03:00:00,386.0
2020-09-24 03:00:00,385.0
2020-09-25 03:00:00,374.0
2020-09-26 03:00:00,-1.0
2020-09-27 03:00:00,95.0
2020-09-28 03:00:00,377.0
2020-09-29 03:00:00,115.0
2020-09-30 03:00:00,1.2
2020-10-01 03:00:00,120.0
2020-10-02 03:00:00,341.0
2020-10-03 03:00:00,342.0
2020-10-04 03:00:00,323.0
2020-10-05 03:00:00,1.2
2020-10-06 03:00:00,315.0
2020-10-07 03:00:00,320.0
2020-10-08 03:00:00,-487.0
2020-10-09 03:00:00,100.0
2020-10-10 03:00:00,311.0
2020-10-11 03:00:00,298.0
2020-10-12 03:00:00,1.2
2020-10-13 03:00:00,0.0
2020-10-14 03:00:00,322.0
2020-10-15 03:00:00,156.0
2020-10-16 03:00:00,-1.0
2020-10-17 03:00:00,1.6
2020-10-18 03:00:00,292.0
2020-10-19 03:00:00,1.2
2020-10-20 03:00:00,1.2
2020-10-21 03:00:00,1.2
2020-10-22 03:00:00,216.0
2020-10-23 03:00:00,101.0
2020-10-24 03:00:00,88.0
2020-10-25 03:00:00,107.0
2020-10-26 03:00:00,-197.0
2020-10-27 03:00:00,-1.0
2020-10-28 03:00:00,-3.0
2020-10-29 03:00:00,217.0
2020-10-30 03:00:00,178.0
2020-10-31 03:00:00,1.2
2020-11-01 03:00:00,-194.0
2020-11-02 03:00:00,183.0
2020-11-03 03:00:00,-71.0
2020-11-04 03:00:00,-130.0
2020-11-05 03:00:00,-27.0
2020-11-06 03:00:00,137.0
2020-11-07 03:00:00,-78.0
2020-11-08 03:00:00,123.0
2020-11-09 03:00:00,53.0
2020-11-10 03:00:00,67.0
2020-11-11 03:00:00,-69.0
2020-11-12 03:00:00,-74.0
2020-11-13 03:00:00,1.2
2020-11-14 03:00:00,134.0
2020-11-15 03:00:00,138.0
2020-11-16 03:00:00,-140.0
2020-11-17 03:00:00,-56.0
2020-11-18 03:00:00,133.0
2020-11-19 03:00:00,-135.0
2020-11-20 03:00:00,51.0
2020-11-21 03:00:00,180.0
2020-11-22 03:00:00,70.0
2020-11-23 03:00:00,-163.0
2020-11-24 03:00:00,-150.0
2020-11-25 03:00:00,1.2
2020-11-26 03:00:00,40.0
2020-11-27 03:00:00,98.0
2020-11-28 03:00:00,68.0
2020-11-29 03:00:00,-145.0
2020-11-30 03:00:00,-1.0
2020-12-01 03:00:00,115.0
2020-12-02 03:00:00,41.0
2020-12-03 03:00:00,-212.0
2020-12-04 03:00:00,-251.0
2020-12-05 03:00:00,-1.0
2020-12-06 03:00:00,-230.0
2020-12-07 03:00:00,-2.0
2020-12-08 03:00:00,-1.0
2020-12-09 03:00:00,-254.0
2020-12-10 03:00:00,-252.0
2020-12-11 03:00:00,-74.0
2020-12-12 03:00:00,-44.0
2020-12-13 03:00:00,-73.0
2020-12-14 03:00:00,-299.0
2020-12-15 03:00:00,-291.0
2020-12-16 03:00:00,-224.0
2020-12-17 03:00:00,-291.0
2020-12-18 03:00:00,-314.0
2020-12-19 03:00:00,110.0
2020-12-20 03:00:00,-336.0
2020-12-21 03:00:00,104.0
2020-12-22 03:00:00,-1.0
2020-12-23 03:00:00,-352.0
2020-12-24 03:00:00,-105.0
2020-12-25 03:00:00,-326.0
2020-12-26 03:00:00,-89.0
2020-12-27 03:00:00,-132.0
2020-12-28 03:00:00,113.0
2020-12-29 03:00:00,1.6
2020-12-30 03:00:00,-372.0
2020-12-31 03:00:00,-430.0
2021-01-01 03:00:00,-478.0
2021-01-02 03:00:00,-258.0
2021-01-03 03:00:00,-478.0
2021-01-04 03:00:00,116.0
2021-01-05 03:00:00,122.0
2021-01-06 03:00:00,-128.0
2021-01-07 03:00:00,79.0
2021-01-08 03:00:00,-84.0
2021-01-09 03:00:00,-483.0
2021-01-10 03:00:00,-452.0
2021-01-11 03:00:00,-147.0
2021-01-12 03:00:00,-323.0
2021-01-13 03:00:00,119.0
2021-01-14 03:00:00,104.0
2021-01-15 03:00:00,134.0
2021-01-16 03:00:00,84.0
2021-01-17 03:00:00,-473.0
2021-01-18 03:00:00,-519.0
2021-01-19 03:00:00,206.0
2021-01-20 03:00:00,-427.0
2021-01-21 03:00:00,-355.0
2021-01-22 03:00:00,-419.0
2021-01-23 03:00:00,-630.0
2021-01-24 03:00:00,321.0
2021-01-25 03:00:00,-173.0
2021-01-26 03:00:00,-761.0
2021-01-27 03:00:00,-138.0
2021-01-28 03:00:00,538.0
2021-01-29 03:00:00,-486.0
2021-01-30 03:00:00,-488.0
2021-01-31 03:00:00,-490.0
2021-02-01 03:00:00,-124.0
2021-02-02 03:00:00,-454.0
2021-02-03 03:00:00,-356.0
2021-02-04 03:00:00,-360.0
2021-02-05 03:00:00,-713.0
2021-02-06 03:00:00,-232.0
2021-02-07 03:00:00,-142.0
2021-02-08 03:00:00,-913.0
2021-02-09 03:00:00,1947.0
2021-02-10 03:00:00,1618.0
2021-02-11 03:00:00,-703.0
2021-02-12 03:00:00,-252.0
2021-02-13 03:00:00,668.0
2021-02-14 03:00:00,-1875.0
2021-02-15 03:00:00,-86.0
2021-02-16 03:00:00,863.0
2021-02-17 03:00:00,0.0
2021-02-18 03:00:00,0.0
2021-02-19 03:00:00,-124.0
2021-02-20 03:00:00,-462.0
2021-02-21 03:00:00,-152.0
2021-02-22 03:00:00,-767.0
2021-02-23 03:00:00,-464.0
2021-02-24 03:00:00,-492.0
2021-02-25 03:00:00,-140.0
2021-02-26 03:00:00,-503.0
2021-02-27 03:00:00,-180.0
2021-02-28 03:00:00,-151.0
2021-03-01 03:00:00,-134.0
2021-03-02 03:00:00,-479.0
2021-03-03 03:00:00,-131.0
2021-03-04 03:00:00,-102.0
2021-03-05 03:00:00,120.0
2021-03-06 03:00:00,108.0
2021-03-07 03:00:00,131.0
2021-03-08 03:00:00,-50.0
2021-03-09 03:00:00,-3.0
2021-03-10 03:00:00,-85.0
2021-03-11 03:00:00,-115.0
2021-03-12 03:00:00,-467.0
2021-03-13 03:00:00,-125.0
2021-03-14 03:00:00,-456.0
2021-03-15 03:00:00,96.0
2021-03-16 03:00:00,-416.0
2021-03-17 03:00:00,-392.0
2021-03-18 03:00:00,-168.0
2021-03-19 03:00:00,134.0
2021-03-20 03:00:00,-105.0
2021-03-21 03:00:00,-139.0
2021-03-22 03:00:00,-131.0
2021-03-23 03:00:00,-404.0
2021-03-24 03:00:00,-414.0
2021-03-25 03:00:00,-1.0
2021-03-26 03:00:00,-431.0
2021-03-27 03:00:00,-355.0
2021-03-28 03:00:00,-62.0
2021-03-29 03:00:00,-369.0
2021-03-30 03:00:00,110.0
2021-03-31 03:00:00,-54.0
2021-04-01 03:00:00,-332.0
2021-04-02 03:00:00,1.6
2021-04-03 03:00:00,-1.0
2021-04-04 03:00:00,-1.0
2021-04-05 03:00:00,-314.0
2021-04-06 03:00:00,-1.0
2021-04-07 03:00:00,-2.0
2021-04-08 03:00:00,1.2
2021-04-09 03:00:00,1.2
2021-04-10 03:00:00,41.0
2021-04-11 03:00:00,112.0
2021-04-12 03:00:00,1.2
2021-04-13 03:00:00,-1.0
2021-04-14 03:00:00,1.6
2021-04-15 03:00:00,-1.0
2021-04-16 03:00:00,77.0
2021-04-17 03:00:00,74.0
2021-04-18 03:00:00,80.0
2021-04-19 03:00:00,58.0
2021-04-20 03:00:00,1.2
2021-04-21 03:00:00,-224.0
2021-04-22 03:00:00,-225.0
2021-04-23 03:00:00,108.0
2021-04-24 03:00:00,104.0
2021-04-25 03:00:00,100.0
2021-04-26 03:00:00,-186.0
2021-04-27 03:00:00,126.0
2021-04-28 03:00:00,134.0
2021-04-29 03:00:00,-2.0
2021-04-30 03:00:00,-107.0
2021-05-01 03:00:00,-104.0
