Time,Sun Position 1
2019-07-29 03:00:00,-89653346
2019-07-30 03:00:00,-91684124
2019-07-31 03:00:00,-92647501
2019-08-01 03:00:00,-95302786
2019-08-02 03:00:00,-96442553
2019-08-03 03:00:00,-1
2019-08-04 03:00:00,-100288908
2019-08-05 03:00:00,-101919562
2019-08-06 03:00:00,-104791042
2019-08-07 03:00:00,94428267
2019-08-08 03:00:00,-107782079
2019-08-09 03:00:00,-110325015
2019-08-10 03:00:00,-110892375
2019-08-11 03:00:00,-1
2019-08-12 03:00:00,-1
2019-08-13 03:00:00,-116979546
2019-08-14 03:00:00,-117847131
2019-08-15 03:00:00,-120106304
2019-08-16 03:00:00,-1
2019-08-17 03:00:00,-1
2019-08-18 03:00:00,-1
2019-08-19 03:00:00,-125316505
2019-08-20 03:00:00,-126702348
2019-08-21 03:00:00,-128653749
2019-08-22 03:00:00,-129369115
2019-08-23 03:00:00,-1
2019-08-24 03:00:00,-131538595
2019-08-25 03:00:00,-133088031
2019-08-26 03:00:00,94428267
2019-08-27 03:00:00,0
2019-08-28 03:00:00,-136393273
2019-08-29 03:00:00,-137441996
2019-08-30 03:00:00,2017
2019-08-31 03:00:00,-139846052
2019-09-01 03:00:00,-140755362
2019-09-02 03:00:00,-140989056
2019-09-03 03:00:00,-142082882
2019-09-04 03:00:00,-143237232
2019-09-05 03:00:00,-143897005
2019-09-06 03:00:00,-144369230
2019-09-07 03:00:00,-145342703
2019-09-08 03:00:00,-145509883
2019-09-09 03:00:00,-146535615
2019-09-10 03:00:00,-147067907
2019-09-11 03:00:00,-147557295
2019-09-12 03:00:00,-147807474
2019-09-13 03:00:00,-148204327
2019-09-14 03:00:00,-148768835
2019-09-15 03:00:00,-149086160
2019-09-16 03:00:00,-149313148
2019-09-17 03:00:00,-1
2019-09-18 03:00:00,-149684943
2019-09-19 03:00:00,-1
2019-09-20 03:00:00,-149949097
2019-09-21 03:00:00,-150070037
2019-09-22 03:00:00,-150082832
2019-09-23 03:00:00,-150058400
2019-09-24 03:00:00,-149977271
2019-09-25 03:00:00,-149942652
2019-09-26 03:00:00,-149714772
2019-09-27 03:00:00,-149484725
2019-09-28 03:00:00,-149351431
2019-09-29 03:00:00,-149157869
2019-09-30 03:00:00,-148616109
2019-10-01 03:00:00,-148385879
2019-10-02 03:00:00,-148004325
2019-10-03 03:00:00,-147552311
2019-10-07 03:00:00,-145087605
2019-10-08 03:00:00,-144788255
2019-10-09 03:00:00,371
2019-10-10 03:00:00,-142866368
2019-10-11 03:00:00,-142371992
2019-10-12 03:00:00,-141137333
2019-10-13 03:00:00,-140404132
2019-10-14 03:00:00,-139724233
2019-10-15 03:00:00,-139035004
2019-10-16 03:00:00,-137280017
2019-10-17 03:00:00,-136701522
2019-10-18 03:00:00,-135925096
2019-10-19 03:00:00,-134557345
2019-10-20 03:00:00,-132764202
2019-10-21 03:00:00,-132096547
2019-10-22 03:00:00,-130844728
2019-10-23 03:00:00,-129923861
2019-10-24 03:00:00,-128222305
2019-10-25 03:00:00,-126853310
2019-10-26 03:00:00,-124791725
2019-10-27 03:00:00,-1
2019-10-28 03:00:00,-1
2019-10-29 03:00:00,-120391787
2019-10-30 03:00:00,-118816105
2019-10-31 03:00:00,-117835100
2019-11-01 03:00:00,-116311527
2019-11-02 03:00:00,-1
2019-11-03 03:00:00,-112166565
2019-11-04 03:00:00,-111707534
2019-11-05 03:00:00,-109446190
2019-11-06 03:00:00,-107646967
2019-11-07 03:00:00,-1
2019-11-08 03:00:00,-1
2019-11-09 03:00:00,-102174440
2019-11-10 03:00:00,-100252639
2019-11-11 03:00:00,-98162762
2019-11-12 03:00:00,-95262248
2019-11-13 03:00:00,-1
2019-11-14 03:00:00,-91169716
2019-11-15 03:00:00,-1
2019-11-16 03:00:00,-88067494
2019-11-17 03:00:00,-84823088
2019-11-18 03:00:00,-82801855
2019-11-19 03:00:00,-1
2019-11-20 03:00:00,-1
2019-11-21 03:00:00,-1
2019-11-22 03:00:00,-1
2019-11-23 03:00:00,-1
2019-11-24 03:00:00,-70332087
2019-11-25 03:00:00,-66950168
2019-11-26 03:00:00,-64595744
2019-11-27 03:00:00,-62221558
2019-11-28 03:00:00,-61074469
2019-11-29 03:00:00,-58512481
2019-11-30 03:00:00,-56089578
2019-12-01 03:00:00,-52540787
2019-12-02 03:00:00,-1
2019-12-03 03:00:00,-1
2019-12-04 03:00:00,-1
2019-12-05 03:00:00,-1
2019-12-06 03:00:00,-40249092
2019-12-07 03:00:00,-38696396
2019-12-08 03:00:00,-36158887
2019-12-09 03:00:00,-1
2019-12-10 03:00:00,-1
2019-12-11 03:00:00,-28654008
2019-12-12 03:00:00,176
2019-12-13 03:00:00,-24218877
2019-12-14 03:00:00,-21629239
2019-12-15 03:00:00,-18294180
2019-12-16 03:00:00,-15690506
2019-12-29 03:00:00,-1
2019-12-30 03:00:00,20041075
2019-12-31 03:00:00,22637182
2020-01-01 03:00:00,25225525
2020-01-02 03:00:00,-1
2020-01-03 03:00:00,-1
2020-01-04 03:00:00,-1
2020-01-05 03:00:00,-1
2020-01-06 03:00:00,-1
2020-01-07 03:00:00,-1
2020-01-08 03:00:00,-1
2020-01-09 03:00:00,-1
2020-01-10 03:00:00,-1
2020-01-11 03:00:00,-1
2020-01-12 03:00:00,-1
2020-01-13 03:00:00,-1
2020-01-14 03:00:00,-1
2020-01-15 03:00:00,-1
2020-01-16 03:00:00,-1
2020-01-17 03:00:00,-1
2020-01-18 03:00:00,-1
2020-01-19 03:00:00,-1
2020-01-20 03:00:00,73532721
2020-01-21 03:00:00,74779273
2020-01-22 03:00:00,76395969
2020-01-23 03:00:00,-1
2020-01-24 03:00:00,-1
2020-01-25 03:00:00,83028482
2020-01-26 03:00:00,85198907
2020-01-27 03:00:00,87930925
2020-01-28 03:00:00,-1
2020-01-29 03:00:00,-1
2020-01-30 03:00:00,94921085
2020-01-31 03:00:00,-1
2020-02-01 03:00:00,97449736
2020-02-02 03:00:00,99828769
2020-02-03 03:00:00,102870182
2020-02-04 03:00:00,-1
2020-02-05 03:00:00,-1
2020-02-06 03:00:00,-1
2020-02-07 03:00:00,110048546
2020-02-08 03:00:00,111788975
2020-02-09 03:00:00,113496711
2020-02-10 03:00:00,-1
2020-02-11 03:00:00,-1
2020-02-12 03:00:00,1168
2020-02-13 03:00:00,119269617
2020-02-14 03:00:00,120815629
2020-02-15 03:00:00,122324563
2020-02-16 03:00:00,-1
2020-02-17 03:00:00,-1
2020-02-18 03:00:00,-1
2020-02-19 03:00:00,-1
2020-02-20 03:00:00,-1
2020-02-21 03:00:00,-1
2020-02-22 03:00:00,-1
2020-02-23 03:00:00,132581978
2020-02-24 03:00:00,134579987
2020-02-25 03:00:00,-1
2020-02-26 03:00:00,-1
2020-02-27 03:00:00,-1
2020-02-28 03:00:00,-1
2020-02-29 03:00:00,-1
2020-03-01 03:00:00,-1
2020-03-02 03:00:00,-1
2020-03-03 03:00:00,-1
2020-03-04 03:00:00,0
2020-03-05 03:00:00,-1
2020-03-06 03:00:00,-1
2020-03-07 03:00:00,144629326
2020-03-08 03:00:00,145061602
2020-03-09 03:00:00,145781849
2020-03-10 03:00:00,146183688
2020-03-11 03:00:00,146659248
2020-03-12 03:00:00,147328673
2020-03-13 03:00:00,147626562
2020-03-14 03:00:00,147949951
2020-03-15 03:00:00,-1
2020-03-16 03:00:00,148418866
2020-03-17 03:00:00,148565256
2020-03-18 03:00:00,148770188
2020-03-19 03:00:00,148908123
2020-03-20 03:00:00,148941507
2020-03-21 03:00:00,148959844
2020-03-22 03:00:00,148944935
2020-03-23 03:00:00,148855792
2020-03-24 03:00:00,148704103
2020-03-25 03:00:00,148507231
2020-03-26 03:00:00,148283112
2020-03-27 03:00:00,-1
2020-03-28 03:00:00,147897069
2020-03-29 03:00:00,147343693
2020-03-30 03:00:00,147156199
2020-03-31 03:00:00,146703987
2020-04-01 03:00:00,146006679
2020-04-02 03:00:00,145511246
2020-04-03 03:00:00,144899067
2020-04-04 03:00:00,144323394
2020-04-05 03:00:00,143922472
2020-04-06 03:00:00,143481664
2020-04-07 03:00:00,-1
2020-04-08 03:00:00,141862752
2020-04-09 03:00:00,-1
2020-04-10 03:00:00,-1
2020-04-11 03:00:00,-1
2020-04-12 03:00:00,-1
2020-04-13 03:00:00,-1
2020-04-14 03:00:00,-1
2020-04-15 03:00:00,-1
2020-04-16 03:00:00,-1
2020-04-17 03:00:00,-1
2020-04-18 03:00:00,-1
2020-04-19 03:00:00,-1
2020-04-20 03:00:00,129410234
