Time,Moon Position 1
2019-07-18 03:00:00,253380.0
2019-07-19 03:00:00,314101.0
2019-07-20 03:00:00,382410.0
2019-07-21 03:00:00,394560.0
2019-07-22 03:00:00,402876.0
2019-07-23 03:00:00,392723.0
2019-07-24 03:00:00,345626.0
2019-07-25 03:00:00,292363.0
2019-07-26 03:00:00,271508.0
2019-07-27 03:00:00,212233.0
2019-07-28 03:00:00,57083.0
2019-07-29 03:00:00,-34002.0
2019-07-30 03:00:00,-123240.0
2019-07-31 03:00:00,-163650.0
2019-08-01 03:00:00,-262094.0
2019-08-02 03:00:00,-296123.0
2019-08-03 03:00:00,1.0
2019-08-04 03:00:00,-360315.0
2019-08-05 03:00:00,-360345.0
2019-08-06 03:00:00,-319406.0
2019-08-07 03:00:00,358062.0
2019-08-08 03:00:00,-226343.0
2019-08-09 03:00:00,-116306.0
2019-08-10 03:00:00,-89065.0
2019-08-11 03:00:00,1.0
2019-08-12 03:00:00,1.0
2019-08-13 03:00:00,214428.0
2019-08-14 03:00:00,252660.0
2019-08-15 03:00:00,336479.0
2019-08-16 03:00:00,1.0
2019-08-17 03:00:00,1.0
2019-08-18 03:00:00,1.0
2019-08-19 03:00:00,398621.0
2019-08-20 03:00:00,375495.0
2019-08-21 03:00:00,311350.0
2019-08-22 03:00:00,278642.0
2019-08-23 03:00:00,1.0
2019-08-24 03:00:00,151803.0
2019-08-25 03:00:00,40669.0
2019-08-26 03:00:00,358062.0
2019-08-27 03:00:00,0.0
2019-08-28 03:00:00,-210220.0
2019-08-29 03:00:00,-276576.0
2019-08-30 03:00:00,4.1
2019-08-31 03:00:00,-357053.0
2019-09-01 03:00:00,-350747.0
2019-09-02 03:00:00,-345289.0
2019-09-03 03:00:00,-298022.0
2019-09-04 03:00:00,-209742.0
2019-09-05 03:00:00,-142984.0
2019-09-06 03:00:00,-88903.0
2019-09-07 03:00:00,35434.0
2019-09-08 03:00:00,58021.0
2019-09-09 03:00:00,198513.0
2019-09-10 03:00:00,268143.0
2019-09-11 03:00:00,325669.0
2019-09-12 03:00:00,351179.0
2019-09-13 03:00:00,383669.0
2019-09-14 03:00:00,404326.0
2019-09-15 03:00:00,395247.0
2019-09-16 03:00:00,368331.0
2019-09-17 03:00:00,1.0
2019-09-18 03:00:00,298088.0
2019-09-19 03:00:00,1.0
2019-09-20 03:00:00,173670.0
2019-09-21 03:00:00,84769.0
2019-09-22 03:00:00,-16474.0
2019-09-23 03:00:00,-131919.0
2019-09-24 03:00:00,-218448.0
2019-09-25 03:00:00,-241176.0
2019-09-26 03:00:00,-323719.0
2019-09-27 03:00:00,-352776.0
2019-09-28 03:00:00,-356631.0
2019-09-29 03:00:00,-351147.0
2019-09-30 03:00:00,-294279.0
2019-10-01 03:00:00,-259781.0
2019-10-02 03:00:00,-196442.0
2019-10-03 03:00:00,-117676.0
2019-10-07 03:00:00,239557.0
2019-10-08 03:00:00,269250.0
2019-10-09 03:00:00,1.6
2019-10-10 03:00:00,387031.0
2019-10-11 03:00:00,398605.0
2019-10-12 03:00:00,399023.0
2019-10-13 03:00:00,382487.0
2019-10-14 03:00:00,357775.0
2019-10-15 03:00:00,324907.0
2019-10-16 03:00:00,214841.0
2019-10-17 03:00:00,172924.0
2019-10-18 03:00:00,114280.0
2019-10-19 03:00:00,8793.0
2019-10-20 03:00:00,-122607.0
2019-10-21 03:00:00,-166829.0
2019-10-22 03:00:00,-239742.0
2019-10-23 03:00:00,-283517.0
2019-10-24 03:00:00,-339178.0
2019-10-25 03:00:00,-358740.0
2019-10-26 03:00:00,-346719.0
2019-10-27 03:00:00,1.0
2019-10-28 03:00:00,1.0
2019-10-29 03:00:00,-191112.0
2019-10-30 03:00:00,-110264.0
2019-10-31 03:00:00,-57507.0
2019-11-01 03:00:00,24827.0
2019-11-02 03:00:00,1.0
2019-11-03 03:00:00,225986.0
2019-11-04 03:00:00,244634.0
2019-11-05 03:00:00,322526.0
2019-11-06 03:00:00,366376.0
2019-11-07 03:00:00,1.0
2019-11-08 03:00:00,1.0
2019-11-09 03:00:00,394876.0
2019-11-10 03:00:00,368934.0
2019-11-11 03:00:00,322236.0
2019-11-12 03:00:00,231119.0
2019-11-13 03:00:00,1.0
2019-11-14 03:00:00,69061.0
2019-11-15 03:00:00,1.0
2019-11-16 03:00:00,-61535.0
2019-11-17 03:00:00,-187310.0
2019-11-18 03:00:00,-253275.0
2019-11-19 03:00:00,1.0
2019-11-20 03:00:00,1.0
2019-11-21 03:00:00,1.0
2019-11-22 03:00:00,1.0
2019-11-23 03:00:00,1.0
2019-11-24 03:00:00,-309605.0
2019-11-25 03:00:00,-221354.0
2019-11-26 03:00:00,-143758.0
2019-11-27 03:00:00,-57961.0
2019-11-28 03:00:00,-15335.0
2019-11-29 03:00:00,79098.0
2019-11-30 03:00:00,163408.0
2019-12-01 03:00:00,269982.0
2019-12-02 03:00:00,1.0
2019-12-03 03:00:00,1.0
2019-12-04 03:00:00,1.0
2019-12-05 03:00:00,1.0
2019-12-06 03:00:00,392187.0
2019-12-07 03:00:00,376783.0
2019-12-08 03:00:00,337541.0
2019-12-09 03:00:00,1.0
2019-12-10 03:00:00,1.0
2019-12-11 03:00:00,138267.0
2019-12-12 03:00:00,4.1
2019-12-13 03:00:00,-12775.0
2019-12-14 03:00:00,-101124.0
2019-12-15 03:00:00,-205356.0
2019-12-16 03:00:00,-273321.0
2019-12-29 03:00:00,1.0
2019-12-30 03:00:00,319848.0
2019-12-31 03:00:00,364891.0
2020-01-01 03:00:00,392921.0
2020-01-02 03:00:00,1.0
2020-01-03 03:00:00,1.0
2020-01-04 03:00:00,1.0
2020-01-05 03:00:00,1.0
2020-01-06 03:00:00,1.0
2020-01-07 03:00:00,1.0
2020-01-08 03:00:00,1.0
2020-01-09 03:00:00,1.0
2020-01-10 03:00:00,1.0
2020-01-11 03:00:00,1.0
2020-01-12 03:00:00,1.0
2020-01-13 03:00:00,1.0
2020-01-14 03:00:00,1.0
2020-01-15 03:00:00,1.0
2020-01-16 03:00:00,1.0
2020-01-17 03:00:00,1.0
2020-01-18 03:00:00,1.0
2020-01-19 03:00:00,1.0
2020-01-20 03:00:00,-117246.0
2020-01-21 03:00:00,-70598.0
2020-01-22 03:00:00,-8035.0
2020-01-23 03:00:00,1.0
2020-01-24 03:00:00,1.0
2020-01-25 03:00:00,238623.0
2020-01-26 03:00:00,303102.0
2020-01-27 03:00:00,364187.0
2020-01-28 03:00:00,1.0
2020-01-29 03:00:00,1.0
2020-01-30 03:00:00,388298.0
2020-01-31 03:00:00,1.0
2020-02-01 03:00:00,344605.0
2020-02-02 03:00:00,278526.0
2020-02-03 03:00:00,163143.0
2020-02-04 03:00:00,1.0
2020-02-05 03:00:00,1.0
2020-02-06 03:00:00,1.0
2020-02-07 03:00:00,-175539.0
2020-02-08 03:00:00,-248236.0
2020-02-09 03:00:00,-305636.0
2020-02-10 03:00:00,1.0
2020-02-11 03:00:00,1.0
2020-02-12 03:00:00,345388.0
2020-02-13 03:00:00,-339723.0
2020-02-14 03:00:00,-299659.0
2020-02-15 03:00:00,-241612.0
2020-02-16 03:00:00,1.0
2020-02-17 03:00:00,1.0
2020-02-18 03:00:00,1.0
2020-02-19 03:00:00,1.0
2020-02-20 03:00:00,1.0
2020-02-21 03:00:00,1.0
2020-02-22 03:00:00,1.0
2020-02-23 03:00:00,339468.0
2020-02-24 03:00:00,395941.0
2020-02-25 03:00:00,1.0
2020-02-26 03:00:00,1.0
2020-02-27 03:00:00,1.0
2020-02-28 03:00:00,1.0
2020-02-29 03:00:00,1.0
2020-03-01 03:00:00,1.0
2020-03-02 03:00:00,1.0
2020-03-03 03:00:00,1.0
2020-03-04 03:00:00,-416135.0
2020-03-05 03:00:00,1.0
2020-03-06 03:00:00,1.0
2020-03-07 03:00:00,-256244.0
2020-03-08 03:00:00,-296626.0
2020-03-09 03:00:00,-352309.0
2020-03-10 03:00:00,-355265.0
2020-03-11 03:00:00,-348667.0
2020-03-12 03:00:00,-291691.0
2020-03-13 03:00:00,-243619.0
2020-03-14 03:00:00,-171714.0
2020-03-15 03:00:00,1.0
2020-03-16 03:00:00,-20711.0
2020-03-17 03:00:00,42011.0
2020-03-18 03:00:00,150769.0
2020-03-19 03:00:00,254399.0
2020-03-20 03:00:00,293686.0
2020-03-21 03:00:00,339756.0
2020-03-22 03:00:00,373735.0
2020-03-23 03:00:00,399476.0
2020-03-24 03:00:00,400875.0
2020-03-25 03:00:00,376297.0
2020-03-26 03:00:00,336485.0
2020-03-27 03:00:00,1.0
2020-03-28 03:00:00,256477.0
2020-03-29 03:00:00,136344.0
