Time,"MPPT X, where 0 is 0, 1 is °C, 2 is 1, 3 is 4, 4 is 12, 5 is 2, 6 is 5, 7 is 3, 8 is 7, 9 is 13, 10 is 6, 11 is 10, 12 is 9, 13 is 15, 14 is 8"
2022-03-16 03:00:00,2 1
2022-03-17 03:00:00,2 1
2022-03-18 03:00:00,2 1
2022-03-19 03:00:00,5 1
2022-03-20 03:00:00,5 1
2022-03-21 03:00:00,2 1
2022-03-22 03:00:00,2 1
2022-03-23 03:00:00,2 1
2022-03-24 03:00:00,5 1
2022-03-25 03:00:00,2 1
2022-03-26 03:00:00,2 1
2022-03-27 03:00:00,2 1
2022-03-28 03:00:00,2 1
2022-03-29 03:00:00,2 1
2022-03-30 03:00:00,2 1
2022-03-31 03:00:00,2 1
2022-04-01 03:00:00,2 1
2022-04-02 03:00:00,2 1
2022-04-03 03:00:00,2 1
2022-04-04 03:00:00,5 1
2022-04-05 03:00:00,2 1
2022-04-06 03:00:00,2 1
2022-04-07 03:00:00,2 1
2022-04-08 03:00:00,2 1
2022-04-09 03:00:00,2 1
2022-04-10 03:00:00,2 1
2022-04-11 03:00:00,0 1
2022-04-12 03:00:00,11 1
2022-04-13 03:00:00,0 1
2022-04-14 03:00:00,2 1
2022-04-16 03:00:00,0 1
2022-04-17 03:00:00,0 1
2022-04-18 03:00:00,2 1
2022-04-19 03:00:00,0 1
2022-04-20 03:00:00,0 1
2022-04-21 03:00:00,0 1
2022-04-22 03:00:00,0 1
2022-04-23 03:00:00,0 1
2022-04-27 03:00:00,0 1
2022-04-28 03:00:00,0 1
2022-04-29 03:00:00,0 1
2022-04-30 03:00:00,0 1
2022-05-01 03:00:00,0 1
2022-05-02 03:00:00,0 1
2022-05-05 03:00:00,0 1
2022-05-06 03:00:00,2 1
2022-05-07 03:00:00,2 1
2022-05-08 03:00:00,0 1
2022-05-09 03:00:00,0 1
2022-05-10 03:00:00,0 1
2022-05-11 03:00:00,0 1
2022-05-12 03:00:00,0 1
2022-05-13 03:00:00,0 1
2022-05-14 03:00:00,0 1
2022-05-15 03:00:00,0 1
2022-05-16 03:00:00,0 1
2022-05-17 03:00:00,0 1
2022-05-18 03:00:00,0 1
2022-05-19 03:00:00,2 1
2022-05-20 03:00:00,0 1
2022-05-21 03:00:00,0 1
2022-05-22 03:00:00,0 1
2022-05-23 03:00:00,0 1
2022-05-24 03:00:00,11 1
2022-05-25 03:00:00,0 1
2022-05-26 03:00:00,10 1
2022-05-27 03:00:00,11 1
2022-05-29 03:00:00,6 1
2022-05-30 03:00:00,6 1
2022-05-31 03:00:00,12 1
2022-06-13 03:00:00,5 1
2022-06-14 03:00:00,6 1
2022-06-15 03:00:00,0 1
2022-06-16 03:00:00,0 1
2022-06-17 03:00:00,3 1
2022-06-18 03:00:00,3 1
2022-06-19 03:00:00,8 1
2022-06-20 03:00:00,5 1
2022-06-21 03:00:00,0 1
2022-06-22 03:00:00,0 1
2022-06-23 03:00:00,8 1
2022-06-24 03:00:00,7 1
2022-06-26 03:00:00,0 1
