Time,tlm_mb_battpack_0_element_0_current mA (A)
2023-07-02 03:00:00,80.0
2023-07-02 03:00:00,121.0
2023-07-02 03:00:00,22.0
2023-07-02 03:00:00,58.0
2023-07-02 03:00:00,43.0
2023-07-02 03:00:00,110.0
2023-07-02 03:00:00,82.0
2023-07-02 03:00:00,85.0
2023-07-02 03:00:00,52.4
2023-07-02 03:00:00,12.0
2023-07-02 03:00:00,35.0
2023-07-02 03:00:00,52.4
2023-07-02 03:00:00,147.0
2023-07-02 03:00:00,52.4
2023-07-02 03:00:00,48.0
2023-07-02 03:00:00,54.0
2023-07-02 03:00:00,50.0
2023-07-03 03:00:00,52.4
2023-07-03 03:00:00,104.0
2023-07-03 03:00:00,111.0
2023-07-03 03:00:00,98.0
2023-07-03 03:00:00,113.0
2023-07-03 03:00:00,84.0
2023-07-03 03:00:00,90.0
2023-07-03 03:00:00,102.0
2023-07-03 03:00:00,98.0
2023-07-03 03:00:00,94.0
2023-07-03 03:00:00,92.0
2023-07-03 03:00:00,83.0
2023-07-03 03:00:00,97.0
2023-07-03 03:00:00,94.0
2023-07-03 03:00:00,86.0
2023-07-03 03:00:00,12.0
2023-07-03 03:00:00,35.0
2023-07-03 03:00:00,239.0
2023-07-03 03:00:00,52.4
2023-07-03 03:00:00,52.4
2023-07-04 03:00:00,4.0
2023-07-04 03:00:00,12.0
2023-07-04 03:00:00,123.0
2023-07-04 03:00:00,101.0
2023-07-04 03:00:00,52.4
2023-07-04 03:00:00,108.0
2023-07-04 03:00:00,93.0
2023-07-04 03:00:00,122.0
2023-07-04 03:00:00,104.0
2023-07-04 03:00:00,107.0
2023-07-04 03:00:00,92.0
2023-07-04 03:00:00,97.0
2023-07-04 03:00:00,87.0
2023-07-04 03:00:00,52.4
2023-07-04 03:00:00,82.0
2023-07-04 03:00:00,74.0
2023-07-04 03:00:00,52.4
2023-07-04 03:00:00,52.4
2023-07-04 03:00:00,35.0
2023-07-05 03:00:00,74.0
2023-07-05 03:00:00,52.0
2023-07-05 03:00:00,52.4
