"Time","tlm_mb_adc_temp_1"
2023-07-01 03:00:00,7.1 °C
2023-07-01 03:00:00,7.4 °C
2023-07-01 03:00:00,7.6 °C
2023-07-01 03:00:00,7.9 °C
2023-07-01 03:00:00,8.0 °C
2023-07-01 03:00:00,8.2 °C
2023-07-01 03:00:00,8.5 °C
2023-07-01 03:00:00,8.4 °C
2023-07-01 03:00:00,9.2 °C
2023-07-01 03:00:00,4.2 °C
2023-07-01 03:00:00,5.0 °C
2023-07-01 03:00:00,4.9 °C
2023-07-01 03:00:00,5.4 °C
2023-07-01 03:00:00,5.2 °C
2023-07-01 03:00:00,5.6 °C
2023-07-01 03:00:00,5.9 °C
2023-07-01 03:00:00,6.0 °C
2023-07-01 03:00:00,7.5 °C
2023-07-01 03:00:00,8.6 °C
2023-07-01 03:00:00,8.7 °C
2023-07-01 03:00:00,9.0 °C
2023-07-01 03:00:00,9.1 °C
2023-07-01 03:00:00,9.4 °C
2023-07-01 03:00:00,9.6 °C
2023-07-01 03:00:00,14 °C
2023-07-01 03:00:00,15 °C
2023-07-01 03:00:00,5.1 °C
2023-07-01 03:00:00,507 °C
2023-07-01 03:00:00,508 °C
2023-07-01 03:00:00,508 °C
2023-07-01 03:00:00,504 °C
2023-07-01 03:00:00,505 °C
2023-07-01 03:00:00,506 °C
2023-07-01 03:00:00,507 °C
2023-07-02 03:00:00,501 °C
2023-07-02 03:00:00,501 °C
2023-07-02 03:00:00,5.1 °C
2023-07-02 03:00:00,5.6 °C
2023-07-02 03:00:00,5.9 °C
2023-07-02 03:00:00,6.5 °C
2023-07-02 03:00:00,6.6 °C
2023-07-02 03:00:00,7.1 °C
2023-07-02 03:00:00,7.6 °C
2023-07-02 03:00:00,3.0 °C
2023-07-02 03:00:00,3.7 °C
2023-07-02 03:00:00,4.1 °C
2023-07-02 03:00:00,4.6 °C
2023-07-02 03:00:00,6.2 °C
2023-07-02 03:00:00,7.9 °C
2023-07-02 03:00:00,3.1 °C
2023-07-02 03:00:00,14 °C
2023-07-02 03:00:00,14 °C
2023-07-02 03:00:00,14 °C
2023-07-02 03:00:00,507 °C
2023-07-02 03:00:00,7.2 °C
2023-07-02 03:00:00,8.6 °C
2023-07-02 03:00:00,9.4 °C
2023-07-02 03:00:00,9.9 °C
2023-07-02 03:00:00,505 °C
2023-07-02 03:00:00,506 °C
2023-07-02 03:00:00,507 °C
2023-07-02 03:00:00,508 °C
2023-07-02 03:00:00,509 °C
2023-07-02 03:00:00,503 °C
2023-07-02 03:00:00,505 °C
2023-07-02 03:00:00,506 °C
2023-07-02 03:00:00,506 °C
2023-07-02 03:00:00,504 °C
2023-07-02 03:00:00,15 °C
2023-07-02 03:00:00,15 °C
2023-07-03 03:00:00,510 °C
2023-07-03 03:00:00,3.6 °C
2023-07-03 03:00:00,4.1 °C
2023-07-03 03:00:00,4.6 °C
2023-07-03 03:00:00,5.9 °C
2023-07-03 03:00:00,6.6 °C
2023-07-03 03:00:00,7.4 °C
2023-07-03 03:00:00,4.7 °C
2023-07-03 03:00:00,5.1 °C
2023-07-03 03:00:00,5.6 °C
2023-07-03 03:00:00,6.5 °C
2023-07-03 03:00:00,7.0 °C
2023-07-03 03:00:00,8.4 °C
2023-07-03 03:00:00,6.9 °C
2023-07-03 03:00:00,7.6 °C
2023-07-03 03:00:00,8.2 °C
2023-07-03 03:00:00,8.6 °C
2023-07-03 03:00:00,508 °C
2023-07-03 03:00:00,506 °C
2023-07-03 03:00:00,507 °C
2023-07-03 03:00:00,508 °C
2023-07-03 03:00:00,503 °C
2023-07-03 03:00:00,504 °C
2023-07-04 03:00:00,502 °C
2023-07-04 03:00:00,503 °C
2023-07-04 03:00:00,503 °C
2023-07-04 03:00:00,5.2 °C
2023-07-04 03:00:00,6.4 °C
2023-07-04 03:00:00,503 °C
2023-07-04 03:00:00,3.7 °C
2023-07-04 03:00:00,5.5 °C
2023-07-04 03:00:00,6.1 °C
2023-07-04 03:00:00,4.6 °C
2023-07-04 03:00:00,5.6 °C
2023-07-04 03:00:00,6.2 °C
2023-07-04 03:00:00,4.2 °C
2023-07-04 03:00:00,5.9 °C
2023-07-04 03:00:00,7.6 °C
2023-07-04 03:00:00,9.1 °C
2023-07-04 03:00:00,508 °C
2023-07-04 03:00:00,506 °C
2023-07-04 03:00:00,507 °C
2023-07-04 03:00:00,505 °C
2023-07-05 03:00:00,10.0 °C
2023-07-05 03:00:00,15 °C
2023-07-05 03:00:00,503 °C
2023-07-05 03:00:00,3.5 °C
2023-07-05 03:00:00,5.2 °C
2023-07-05 03:00:00,5.6 °C
2023-07-05 03:00:00,6.4 °C
2023-07-05 03:00:00,6.7 °C
2023-07-05 03:00:00,7.0 °C
2023-07-05 03:00:00,4.0 °C
2023-07-05 03:00:00,4.4 °C
2023-07-05 03:00:00,5.5 °C
2023-07-05 03:00:00,5.9 °C
2023-07-05 03:00:00,6.6 °C
2023-07-05 03:00:00,6.9 °C
2023-07-05 03:00:00,7.2 °C
2023-07-05 03:00:00,7.6 °C
2023-07-05 03:00:00,7.5 °C
2023-07-05 03:00:00,506 °C
2023-07-05 03:00:00,507 °C
2023-07-05 03:00:00,508 °C
2023-07-05 03:00:00,508 °C
2023-07-05 03:00:00,508 °C
2023-07-05 03:00:00,504 °C
2023-07-05 03:00:00,505 °C
2023-07-05 03:00:00,505 °C
2023-07-05 03:00:00,506 °C
2023-07-05 03:00:00,506 °C
2023-07-05 03:00:00,508 °C
2023-07-06 03:00:00,5.6 °C
2023-07-06 03:00:00,6.2 °C
2023-07-06 03:00:00,7.4 °C
2023-07-06 03:00:00,8.9 °C
2023-07-06 03:00:00,9.6 °C
2023-07-06 03:00:00,14 °C
2023-07-06 03:00:00,502 °C
2023-07-06 03:00:00,4.7 °C
2023-07-06 03:00:00,5.2 °C
2023-07-06 03:00:00,5.7 °C
2023-07-06 03:00:00,6.6 °C
2023-07-06 03:00:00,3.0 °C
2023-07-06 03:00:00,3.5 °C
2023-07-06 03:00:00,5.1 °C
2023-07-06 03:00:00,6.4 °C
2023-07-06 03:00:00,6.9 °C
2023-07-06 03:00:00,5.4 °C
2023-07-06 03:00:00,504 °C
2023-07-06 03:00:00,504 °C
2023-07-06 03:00:00,505 °C
2023-07-06 03:00:00,7.7 °C
2023-07-06 03:00:00,504 °C
2023-07-06 03:00:00,508 °C
2023-07-07 03:00:00,7.0 °C
2023-07-07 03:00:00,7.4 °C
2023-07-07 03:00:00,8.5 °C
2023-07-07 03:00:00,9.0 °C
2023-07-07 03:00:00,14 °C
2023-07-07 03:00:00,14 °C
2023-07-07 03:00:00,4.7 °C
2023-07-07 03:00:00,5.1 °C
2023-07-07 03:00:00,5.9 °C
2023-07-07 03:00:00,6.7 °C
2023-07-07 03:00:00,7.1 °C
2023-07-07 03:00:00,7.6 °C
2023-07-07 03:00:00,8.6 °C
2023-07-07 03:00:00,10.0 °C
2023-07-07 03:00:00,5.2 °C
2023-07-07 03:00:00,5.7 °C
2023-07-07 03:00:00,6.4 °C
2023-07-07 03:00:00,7.7 °C
2023-07-07 03:00:00,505 °C
2023-07-08 03:00:00,5.6 °C
2023-07-08 03:00:00,6.2 °C
