"Time","57175.distinct"
2023-06-29 03:00:00,38.80 °C
2023-06-29 03:00:00,38.79 °C
2023-06-29 03:00:00,38.77 °C
2023-06-29 03:00:00,38.71 °C
2023-06-29 03:00:00,38.64 °C
2023-06-29 03:00:00,38.62 °C
2023-06-29 03:00:00,38.55 °C
2023-06-29 03:00:00,38.52 °C
2023-06-29 03:00:00,38.30 °C
2023-06-29 03:00:00,38.24 °C
2023-06-29 03:00:00,37.90 °C
2023-06-29 03:00:00,37.75 °C
2023-06-29 03:00:00,37.66 °C
2023-06-29 03:00:00,37.38 °C
2023-06-29 03:00:00,37.27 °C
2023-06-29 03:00:00,37.17 °C
2023-06-29 03:00:00,37.14 °C
2023-06-29 03:00:00,37.76 °C
2023-06-29 03:00:00,34.17 °C
2023-06-29 03:00:00,33.77 °C
2023-06-29 03:00:00,37.73 °C
2023-06-29 03:00:00,526.77 °C
2023-06-29 03:00:00,526.95 °C
2023-06-29 03:00:00,526.91 °C
2023-06-29 03:00:00,526.89 °C
2023-06-29 03:00:00,527.43 °C
2023-06-29 03:00:00,527.29 °C
2023-06-29 03:00:00,527.22 °C
2023-06-29 03:00:00,527.10 °C
2023-06-29 03:00:00,38.18 °C
2023-06-29 03:00:00,37.20 °C
2023-06-29 03:00:00,37.01 °C
2023-06-29 03:00:00,37.35 °C
2023-06-29 03:00:00,38.83 °C
2023-06-29 03:00:00,33.96 °C
2023-06-29 03:00:00,33.75 °C
2023-06-29 03:00:00,33.23 °C
2023-06-29 03:00:00,37.36 °C
2023-06-29 03:00:00,526.97 °C
2023-06-29 03:00:00,37.41 °C
2023-06-29 03:00:00,36.84 °C
2023-06-29 03:00:00,36.62 °C
2023-06-29 03:00:00,36.17 °C
2023-06-29 03:00:00,527.16 °C
2023-06-29 03:00:00,526.86 °C
2023-06-29 03:00:00,526.64 °C
2023-06-29 03:00:00,527.25 °C
2023-06-29 03:00:00,527.19 °C
2023-06-29 03:00:00,527.13 °C
2023-06-29 03:00:00,33.34 °C
2023-06-29 03:00:00,33.17 °C
2023-06-29 03:00:00,33.00 °C
2023-06-29 03:00:00,36.41 °C
2023-06-29 03:00:00,38.61 °C
2023-06-29 03:00:00,38.42 °C
2023-06-29 03:00:00,37.94 °C
2023-06-29 03:00:00,38.27 °C
2023-06-29 03:00:00,38.11 °C
2023-06-29 03:00:00,37.45 °C
2023-06-29 03:00:00,37.18 °C
2023-06-29 03:00:00,36.96 °C
2023-06-29 03:00:00,36.75 °C
2023-06-29 03:00:00,526.88 °C
2023-06-29 03:00:00,527.26 °C
2023-06-29 03:00:00,39.86 °C
2023-06-29 03:00:00,38.46 °C
2023-06-29 03:00:00,527.18 °C
2023-06-29 03:00:00,37.23 °C
2023-06-29 03:00:00,36.63 °C
2023-06-29 03:00:00,527.03 °C
2023-06-29 03:00:00,36.37 °C
2023-06-29 03:00:00,33.04 °C
2023-06-29 03:00:00,37.56 °C
2023-06-29 03:00:00,37.33 °C
2023-06-29 03:00:00,37.29 °C
2023-06-29 03:00:00,526.94 °C
2023-06-29 03:00:00,526.82 °C
2023-06-29 03:00:00,526.79 °C
2023-06-29 03:00:00,526.67 °C
2023-06-29 03:00:00,527.37 °C
2023-07-06 03:00:00,38.00 °C
2023-07-06 03:00:00,37.84 °C
2023-07-06 03:00:00,37.41 °C
2023-07-06 03:00:00,36.83 °C
2023-07-06 03:00:00,36.35 °C
2023-07-06 03:00:00,33.90 °C
2023-07-06 03:00:00,526.98 °C
2023-07-06 03:00:00,38.30 °C
2023-07-06 03:00:00,38.13 °C
2023-07-06 03:00:00,37.97 °C
2023-07-06 03:00:00,37.63 °C
2023-07-06 03:00:00,38.77 °C
2023-07-06 03:00:00,38.64 °C
2023-07-06 03:00:00,37.99 °C
2023-07-06 03:00:00,37.79 °C
2023-07-06 03:00:00,38.25 °C
2023-07-06 03:00:00,38.11 °C
2023-07-06 03:00:00,527.37 °C
2023-07-06 03:00:00,527.31 °C
2023-07-06 03:00:00,37.48 °C
2023-07-06 03:00:00,37.27 °C
2023-07-06 03:00:00,527.26 °C
2023-07-06 03:00:00,526.77 °C
2023-07-06 03:00:00,37.51 °C
2023-07-06 03:00:00,37.30 °C
2023-07-06 03:00:00,36.87 °C
2023-07-06 03:00:00,36.66 °C
2023-07-06 03:00:00,33.78 °C
2023-07-06 03:00:00,33.59 °C
2023-07-06 03:00:00,38.15 °C
2023-07-06 03:00:00,37.66 °C
2023-07-06 03:00:00,37.44 °C
2023-07-06 03:00:00,37.24 °C
2023-07-06 03:00:00,36.81 °C
2023-07-06 03:00:00,36.23 °C
2023-07-06 03:00:00,527.18 °C
2023-07-06 03:00:00,38.06 °C
2023-07-06 03:00:00,37.90 °C
2023-07-06 03:00:00,37.70 °C
2023-07-06 03:00:00,37.47 °C
2023-07-06 03:00:00,37.26 °C
2023-07-06 03:00:00,36.86 °C
2023-07-06 03:00:00,36.65 °C
2023-07-06 03:00:00,527.28 °C
2023-07-06 03:00:00,527.32 °C
2023-07-06 03:00:00,527.34 °C
2023-07-06 03:00:00,37.50 °C
2023-07-06 03:00:00,37.72 °C
2023-07-06 03:00:00,37.54 °C
2023-07-06 03:00:00,527.20 °C
2023-07-06 03:00:00,527.06 °C
2023-07-06 03:00:00,37.62 °C
2023-07-06 03:00:00,37.39 °C
2023-07-06 03:00:00,36.34 °C
2023-07-06 03:00:00,527.07 °C
2023-07-06 03:00:00,38.19 °C
2023-07-06 03:00:00,38.02 °C
2023-07-06 03:00:00,37.23 °C
2023-07-06 03:00:00,36.99 °C
2023-07-06 03:00:00,37.82 °C
2023-07-06 03:00:00,38.18 °C
2023-07-06 03:00:00,34.11 °C
2023-07-06 03:00:00,33.93 °C
2023-07-06 03:00:00,33.55 °C
2023-07-06 03:00:00,527.15 °C
2023-07-06 03:00:00,527.12 °C
2023-07-06 03:00:00,526.95 °C
2023-07-06 03:00:00,527.13 °C
2023-07-06 03:00:00,527.22 °C
2023-07-06 03:00:00,37.01 °C
2023-07-06 03:00:00,36.78 °C
2023-07-06 03:00:00,37.04 °C
2023-07-06 03:00:00,36.56 °C
2023-07-06 03:00:00,36.13 °C
2023-07-06 03:00:00,35.79 °C
2023-07-06 03:00:00,36.96 °C
2023-07-06 03:00:00,38.12 °C
2023-07-06 03:00:00,37.78 °C
2023-07-06 03:00:00,37.60 °C
2023-07-06 03:00:00,37.76 °C
2023-07-06 03:00:00,37.13 °C
2023-07-06 03:00:00,37.05 °C
2023-07-06 03:00:00,527.19 °C
2023-07-06 03:00:00,37.81 °C
2023-07-06 03:00:00,37.38 °C
2023-07-06 03:00:00,33.83 °C
2023-07-06 03:00:00,33.49 °C
2023-07-06 03:00:00,37.73 °C
2023-07-06 03:00:00,37.32 °C
2023-07-06 03:00:00,38.54 °C
2023-07-06 03:00:00,37.87 °C
2023-07-06 03:00:00,37.69 °C
2023-07-06 03:00:00,34.82 °C
2023-07-06 03:00:00,35.51 °C
2023-07-06 03:00:00,526.71 °C
2023-07-06 03:00:00,526.85 °C
2023-07-06 03:00:00,526.97 °C
2023-07-06 03:00:00,527.10 °C
2023-07-06 03:00:00,527.16 °C
2023-07-06 03:00:00,33.56 °C
2023-07-06 03:00:00,33.38 °C
2023-07-06 03:00:00,37.57 °C
2023-07-06 03:00:00,37.33 °C
2023-07-06 03:00:00,526.89 °C
2023-07-06 03:00:00,526.80 °C
2023-07-06 03:00:00,38.49 °C
2023-07-06 03:00:00,34.45 °C
2023-07-06 03:00:00,34.26 °C
2023-07-06 03:00:00,34.05 °C
2023-07-06 03:00:00,33.69 °C
2023-07-06 03:00:00,33.52 °C
2023-07-06 03:00:00,527.01 °C
2023-07-06 03:00:00,527.09 °C
2023-07-06 03:00:00,527.03 °C
2023-07-06 03:00:00,526.91 °C
2023-07-13 03:00:00,37.36 °C
2023-07-13 03:00:00,37.18 °C
2023-07-13 03:00:00,36.78 °C
2023-07-13 03:00:00,36.55 °C
2023-07-13 03:00:00,36.34 °C
2023-07-13 03:00:00,34.23 °C
2023-07-13 03:00:00,37.56 °C
2023-07-13 03:00:00,37.32 °C
2023-07-13 03:00:00,37.14 °C
2023-07-13 03:00:00,38.57 °C
2023-07-13 03:00:00,38.08 °C
2023-07-13 03:00:00,38.16 °C
2023-07-13 03:00:00,38.00 °C
2023-07-13 03:00:00,37.82 °C
2023-07-13 03:00:00,37.26 °C
2023-07-13 03:00:00,37.75 °C
2023-07-13 03:00:00,527.18 °C
2023-07-13 03:00:00,527.13 °C
2023-07-13 03:00:00,527.09 °C
2023-07-13 03:00:00,527.01 °C
2023-07-13 03:00:00,526.89 °C
2023-07-13 03:00:00,527.15 °C
2023-07-13 03:00:00,36.03 °C
2023-07-13 03:00:00,527.19 °C
2023-07-13 03:00:00,527.22 °C
2023-07-13 03:00:00,34.60 °C
2023-07-13 03:00:00,38.02 °C
2023-07-13 03:00:00,37.64 °C
2023-07-13 03:00:00,37.42 °C
2023-07-13 03:00:00,39.25 °C
2023-07-13 03:00:00,37.62 °C
2023-07-13 03:00:00,37.39 °C
2023-07-13 03:00:00,37.51 °C
2023-07-13 03:00:00,35.00 °C
2023-07-13 03:00:00,36.07 °C
2023-07-13 03:00:00,35.52 °C
2023-07-13 03:00:00,35.86 °C
2023-07-13 03:00:00,526.74 °C
2023-07-13 03:00:00,527.23 °C
2023-07-13 03:00:00,37.47 °C
2023-07-13 03:00:00,36.81 °C
2023-07-13 03:00:00,36.61 °C
2023-07-13 03:00:00,36.35 °C
2023-07-13 03:00:00,34.90 °C
2023-07-13 03:00:00,34.70 °C
2023-07-13 03:00:00,527.10 °C
2023-07-13 03:00:00,38.55 °C
2023-07-13 03:00:00,37.63 °C
2023-07-13 03:00:00,38.25 °C
2023-07-13 03:00:00,37.90 °C
2023-07-13 03:00:00,37.33 °C
2023-07-13 03:00:00,34.87 °C
2023-07-13 03:00:00,35.22 °C
2023-07-13 03:00:00,526.88 °C
2023-07-13 03:00:00,526.98 °C
2023-07-13 03:00:00,35.33 °C
2023-07-13 03:00:00,36.68 °C
2023-07-13 03:00:00,37.23 °C
2023-07-13 03:00:00,527.07 °C
2023-07-13 03:00:00,36.59 °C
2023-07-13 03:00:00,527.16 °C
2023-07-13 03:00:00,37.84 °C
2023-07-13 03:00:00,37.04 °C
2023-07-13 03:00:00,36.83 °C
2023-07-13 03:00:00,36.62 °C
2023-07-13 03:00:00,36.20 °C
2023-07-13 03:00:00,33.49 °C
2023-07-13 03:00:00,33.12 °C
2023-07-13 03:00:00,34.79 °C
2023-07-13 03:00:00,37.59 °C
2023-07-13 03:00:00,38.03 °C
2023-07-13 03:00:00,37.73 °C
2023-07-13 03:00:00,38.11 °C
2023-07-13 03:00:00,34.76 °C
2023-07-13 03:00:00,35.09 °C
2023-07-13 03:00:00,34.62 °C
2023-07-13 03:00:00,34.21 °C
2023-07-13 03:00:00,33.87 °C
2023-07-13 03:00:00,33.68 °C
2023-07-13 03:00:00,35.54 °C
2023-07-13 03:00:00,37.30 °C
2023-07-13 03:00:00,527.06 °C
2023-07-13 03:00:00,526.95 °C
2023-07-13 03:00:00,526.60 °C
2023-07-13 03:00:00,36.40 °C
2023-07-13 03:00:00,36.00 °C
2023-07-13 03:00:00,35.80 °C
2023-07-13 03:00:00,33.20 °C
2023-07-13 03:00:00,33.31 °C
2023-07-13 03:00:00,33.15 °C
2023-07-13 03:00:00,527.20 °C
2023-07-13 03:00:00,39.99 °C
2023-07-13 03:00:00,38.43 °C
2023-07-13 03:00:00,38.27 °C
2023-07-13 03:00:00,38.24 °C
2023-07-13 03:00:00,38.06 °C
2023-07-13 03:00:00,37.91 °C
2023-07-13 03:00:00,38.67 °C
2023-07-13 03:00:00,38.13 °C
2023-07-13 03:00:00,37.99 °C
2023-07-13 03:00:00,37.20 °C
2023-07-13 03:00:00,35.49 °C
2023-07-13 03:00:00,38.36 °C
2023-07-13 03:00:00,527.04 °C
2023-07-13 03:00:00,526.66 °C
2023-07-13 03:00:00,36.66 °C
2023-07-13 03:00:00,36.41 °C
2023-07-13 03:00:00,36.22 °C
2023-07-13 03:00:00,35.85 °C
2023-07-13 03:00:00,35.60 °C
2023-07-13 03:00:00,33.28 °C
2023-07-13 03:00:00,33.09 °C
2023-07-13 03:00:00,32.94 °C
2023-07-13 03:00:00,37.38 °C
2023-07-13 03:00:00,36.95 °C
2023-07-13 03:00:00,36.74 °C
2023-07-13 03:00:00,36.32 °C
2023-07-13 03:00:00,33.40 °C
2023-07-13 03:00:00,38.33 °C
2023-07-13 03:00:00,38.18 °C
2023-07-13 03:00:00,37.67 °C
2023-07-13 03:00:00,38.76 °C
2023-07-13 03:00:00,38.62 °C
2023-07-13 03:00:00,38.45 °C
2023-07-13 03:00:00,38.28 °C
2023-07-13 03:00:00,37.81 °C
2023-07-13 03:00:00,38.88 °C
2023-07-13 03:00:00,38.60 °C
2023-07-13 03:00:00,37.50 °C
2023-07-13 03:00:00,37.15 °C
2023-07-13 03:00:00,35.55 °C
2023-07-13 03:00:00,526.54 °C
2023-07-13 03:00:00,526.80 °C
2023-07-13 03:00:00,526.70 °C
2023-07-13 03:00:00,526.76 °C
2023-07-13 03:00:00,526.37 °C
2023-07-13 03:00:00,36.13 °C
2023-07-13 03:00:00,35.91 °C
2023-07-13 03:00:00,35.70 °C
2023-07-13 03:00:00,526.97 °C
2023-07-13 03:00:00,37.07 °C
2023-07-13 03:00:00,36.63 °C
2023-07-13 03:00:00,36.19 °C
2023-07-13 03:00:00,33.47 °C
2023-07-13 03:00:00,33.29 °C
2023-07-13 03:00:00,37.94 °C
2023-07-13 03:00:00,38.77 °C
2023-07-13 03:00:00,38.15 °C
2023-07-13 03:00:00,37.79 °C
2023-07-13 03:00:00,37.60 °C
2023-07-13 03:00:00,38.80 °C
2023-07-13 03:00:00,38.65 °C
2023-07-13 03:00:00,38.49 °C
2023-07-13 03:00:00,38.12 °C
2023-07-13 03:00:00,34.67 °C
2023-07-13 03:00:00,37.57 °C
2023-07-13 03:00:00,36.71 °C
2023-07-13 03:00:00,526.85 °C
2023-07-13 03:00:00,526.91 °C
2023-07-13 03:00:00,526.83 °C
2023-07-13 03:00:00,36.37 °C
2023-07-13 03:00:00,35.97 °C
2023-07-13 03:00:00,35.76 °C
2023-07-13 03:00:00,33.19 °C
2023-07-13 03:00:00,33.01 °C
2023-07-13 03:00:00,35.30 °C
2023-07-20 03:00:00,37.76 °C
2023-07-20 03:00:00,37.59 °C
2023-07-20 03:00:00,37.36 °C
2023-07-20 03:00:00,37.18 °C
2023-07-20 03:00:00,36.95 °C
2023-07-20 03:00:00,36.55 °C
2023-07-20 03:00:00,33.80 °C
2023-07-20 03:00:00,33.44 °C
2023-07-20 03:00:00,34.88 °C
2023-07-20 03:00:00,35.24 °C
2023-07-20 03:00:00,35.88 °C
2023-07-20 03:00:00,34.97 °C
2023-07-20 03:00:00,38.54 °C
2023-07-20 03:00:00,38.33 °C
2023-07-20 03:00:00,38.15 °C
2023-07-20 03:00:00,38.00 °C
2023-07-20 03:00:00,37.79 °C
2023-07-20 03:00:00,37.42 °C
2023-07-20 03:00:00,37.23 °C
2023-07-20 03:00:00,38.16 °C
2023-07-20 03:00:00,37.82 °C
2023-07-20 03:00:00,37.64 °C
2023-07-20 03:00:00,37.26 °C
2023-07-20 03:00:00,34.04 °C
2023-07-20 03:00:00,33.86 °C
2023-07-20 03:00:00,35.05 °C
2023-07-20 03:00:00,35.76 °C
2023-07-20 03:00:00,526.92 °C
2023-07-20 03:00:00,526.85 °C
2023-07-20 03:00:00,526.76 °C
2023-07-20 03:00:00,526.55 °C
2023-07-20 03:00:00,527.07 °C
2023-07-20 03:00:00,527.04 °C
2023-07-20 03:00:00,527.00 °C
2023-07-20 03:00:00,36.41 °C
2023-07-20 03:00:00,36.20 °C
2023-07-20 03:00:00,35.98 °C
2023-07-20 03:00:00,37.73 °C
2023-07-20 03:00:00,37.51 °C
2023-07-20 03:00:00,37.14 °C
2023-07-20 03:00:00,36.90 °C
2023-07-20 03:00:00,36.69 °C
2023-07-20 03:00:00,38.52 °C
2023-07-20 03:00:00,38.31 °C
