"Time","tlm_mb_solarpanel_0_volt_pos"
2023-05-25 03:00:00,0.79 
2023-05-25 03:00:00,0.81 
2023-05-25 03:00:00,0.0056 
2023-05-25 03:00:00,0.0042 
2023-05-25 03:00:00,0.89 
2023-05-25 03:00:00,0.84 
2023-05-25 03:00:00,0.91 
2023-05-25 03:00:00,0.89 
2023-05-25 03:00:00,0.82 
2023-05-25 03:00:00,0.82 
2023-05-25 03:00:00,0.87 
2023-05-25 03:00:00,0.82 
2023-05-25 03:00:00,0.84 
2023-05-25 03:00:00,0.86 
2023-05-25 03:00:00,0.87 
2023-05-25 03:00:00,0.80 
2023-05-25 03:00:00,0.83 
2023-06-27 03:00:00,5.0 
2023-06-27 03:00:00,5.0 
2023-06-27 03:00:00,2.4 
2023-06-27 03:00:00,2.5 
2023-06-27 03:00:00,5.7 
2023-06-27 03:00:00,2.8 
2023-06-27 03:00:00,5.2 
2023-06-27 03:00:00,5.5 
2023-06-27 03:00:00,4.7 
2023-06-27 03:00:00,0.15 
2023-06-27 03:00:00,1.0 
2023-06-27 03:00:00,3.7 
2023-06-27 03:00:00,4.8 
2023-06-27 03:00:00,5.7 
2023-06-27 03:00:00,5.7 
2023-06-27 03:00:00,5.7 
2023-06-27 03:00:00,5.7 
2023-06-27 03:00:00,5.6 
2023-06-27 03:00:00,5.6 
2023-06-27 03:00:00,4.7 
2023-06-27 03:00:00,5.5 
2023-06-27 03:00:00,5.4 
2023-06-27 03:00:00,5.3 
2023-06-27 03:00:00,3.1 
2023-06-27 03:00:00,5.5 
2023-06-27 03:00:00,5.6 
2023-06-27 03:00:00,5.7 
2023-06-27 03:00:00,2.2 
2023-06-27 03:00:00,2.1 
2023-06-27 03:00:00,4.9 
2023-06-27 03:00:00,0.0028 
2023-06-27 03:00:00,5.6 
2023-06-27 03:00:00,5.6 
2023-06-27 03:00:00,5.5 
2023-06-27 03:00:00,4.6 
2023-06-27 03:00:00,0.011 
2023-06-27 03:00:00,5.2 
2023-06-27 03:00:00,5.2 
2023-06-27 03:00:00,0.0056 
2023-06-27 03:00:00,5.0 
2023-06-27 03:00:00,5.2 
2023-06-27 03:00:00,5.1 
2023-06-28 03:00:00,4.8 
2023-06-28 03:00:00,0.0014 
2023-06-28 03:00:00,0 
2023-06-28 03:00:00,0.035 
2023-06-28 03:00:00,5.0 
2023-06-28 03:00:00,5.5 
2023-06-28 03:00:00,5.1 
2023-06-28 03:00:00,5.3 
2023-06-28 03:00:00,5.5 
2023-06-28 03:00:00,5.3 
2023-06-28 03:00:00,5.4 
2023-06-28 03:00:00,5.1 
2023-06-28 03:00:00,5.4 
2023-06-28 03:00:00,5.2 
2023-06-28 03:00:00,5.3 
2023-06-28 03:00:00,5.2 
2023-06-28 03:00:00,5.4 
2023-06-28 03:00:00,5.1 
2023-06-28 03:00:00,5.5 
2023-06-28 03:00:00,5.4 
2023-06-28 03:00:00,0.055 
2023-06-28 03:00:00,5.7 
2023-06-28 03:00:00,3.8 
2023-06-28 03:00:00,0.89 
2023-06-28 03:00:00,0.93 
2023-06-28 03:00:00,0.52 
2023-06-28 03:00:00,0.024 
2023-06-28 03:00:00,5.4 
2023-06-28 03:00:00,3.3 
2023-06-28 03:00:00,5.6 
2023-06-28 03:00:00,2.7 
2023-06-28 03:00:00,5.6 
2023-06-28 03:00:00,4.9 
2023-06-28 03:00:00,5.7 
2023-06-28 03:00:00,0.0042 
2023-06-28 03:00:00,5.3 
2023-06-28 03:00:00,1.0 
2023-06-28 03:00:00,5.5 
2023-06-28 03:00:00,5.1 
2023-06-28 03:00:00,5.6 
2023-06-28 03:00:00,1.9 
2023-06-28 03:00:00,5.7 
2023-06-28 03:00:00,0.99 
2023-06-28 03:00:00,2.1 
2023-06-29 03:00:00,0 
2023-06-29 03:00:00,5.5 
2023-06-29 03:00:00,5.2 
2023-06-29 03:00:00,5.4 
2023-06-29 03:00:00,4.8 
2023-06-29 03:00:00,5.4 
2023-06-29 03:00:00,5.2 
2023-06-29 03:00:00,1.8 
2023-06-29 03:00:00,0.0014 
2023-06-29 03:00:00,0.93 
2023-06-29 03:00:00,5.2 
2023-06-29 03:00:00,5.0 
2023-06-29 03:00:00,5.1 
2023-06-29 03:00:00,5.1 
2023-06-29 03:00:00,0.011 
2023-06-29 03:00:00,5.6 
2023-06-29 03:00:00,4.9 
2023-06-29 03:00:00,5.7 
2023-06-29 03:00:00,2.9 
2023-06-29 03:00:00,5.7 
2023-06-29 03:00:00,5.2 
2023-06-29 03:00:00,5.3 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,4.9 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,5.2 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,5.7 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,4.9 
2023-06-30 03:00:00,5.5 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,5.1 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,4.6 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,5.2 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,5.5 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,5.5 
2023-06-30 03:00:00,5.2 
2023-06-30 03:00:00,5.4 
2023-06-30 03:00:00,5.4 
2023-06-30 03:00:00,5.6 
2023-06-30 03:00:00,5.4 
2023-06-30 03:00:00,4.9 
2023-06-30 03:00:00,5.2 
2023-06-30 03:00:00,1.7 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,4.8 
2023-06-30 03:00:00,5.0 
2023-06-30 03:00:00,5.1 
2023-06-30 03:00:00,5.1 
2023-06-30 03:00:00,5.2 
2023-06-30 03:00:00,5.6 
2023-06-30 03:00:00,4.7 
2023-06-30 03:00:00,5.6 
2023-06-30 03:00:00,5.4 
2023-06-30 03:00:00,5.2 
2023-06-30 03:00:00,5.1 
2023-06-30 03:00:00,5.6 
2023-06-30 03:00:00,5.3 
2023-06-30 03:00:00,2.6 
2023-06-30 03:00:00,5.1 
2023-06-30 03:00:00,5.1 
2023-06-30 03:00:00,4.8 
2023-07-01 03:00:00,5.7 
2023-07-01 03:00:00,2.0 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.2 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,4.9 
2023-07-01 03:00:00,5.0 
2023-07-01 03:00:00,5.0 
2023-07-01 03:00:00,5.0 
2023-07-01 03:00:00,5.0 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.2 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.2 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.5 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,4.9 
2023-07-01 03:00:00,4.8 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.3 
2023-07-01 03:00:00,5.4 
2023-07-01 03:00:00,5.0 
