"Time","tlm_mb_solarpanel_0_volt_pos"
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.1 V
2023-07-01 03:00:00,4.7 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.0 V
2023-07-01 03:00:00,5.3 V
2023-07-01 03:00:00,5.2 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,2.4 V
2023-07-01 03:00:00,5.4 V
2023-07-01 03:00:00,5.6 V
2023-07-01 03:00:00,3.0 V
2023-07-01 03:00:00,2.4 V
2023-07-01 03:00:00,1.9 V
2023-07-01 03:00:00,1.9 V
2023-07-01 03:00:00,1.9 V
2023-07-01 03:00:00,5.7 V
2023-07-01 03:00:00,5.5 V
2023-07-01 03:00:00,4.7 V
2023-07-01 03:00:00,5.6 V
2023-07-02 03:00:00,5.7 V
2023-07-02 03:00:00,0.034 V
2023-07-02 03:00:00,5.5 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,5.2 V
2023-07-02 03:00:00,4.8 V
2023-07-02 03:00:00,5.2 V
2023-07-02 03:00:00,5.1 V
2023-07-02 03:00:00,5.4 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,5.2 V
2023-07-02 03:00:00,5.1 V
2023-07-02 03:00:00,5.5 V
2023-07-02 03:00:00,5.4 V
2023-07-02 03:00:00,5.1 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,2.4 V
2023-07-02 03:00:00,4.9 V
2023-07-02 03:00:00,4.9 V
2023-07-02 03:00:00,5.2 V
2023-07-02 03:00:00,2.8 V
2023-07-02 03:00:00,5.0 V
2023-07-02 03:00:00,5.2 V
2023-07-02 03:00:00,5.1 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,0.19 V
2023-07-02 03:00:00,5.5 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,5.2 V
2023-07-02 03:00:00,5.0 V
2023-07-02 03:00:00,5.4 V
2023-07-02 03:00:00,5.5 V
2023-07-02 03:00:00,0.90 V
2023-07-02 03:00:00,2.0 V
2023-07-02 03:00:00,1.4 V
2023-07-02 03:00:00,5.3 V
2023-07-02 03:00:00,4.7 V
2023-07-02 03:00:00,0.031 V
2023-07-03 03:00:00,0.0014 V
2023-07-03 03:00:00,5.3 V
2023-07-03 03:00:00,5.4 V
2023-07-03 03:00:00,5.3 V
2023-07-03 03:00:00,5.3 V
2023-07-03 03:00:00,5.5 V
2023-07-03 03:00:00,5.1 V
2023-07-03 03:00:00,5.5 V
2023-07-03 03:00:00,5.5 V
2023-07-03 03:00:00,5.5 V
2023-07-03 03:00:00,5.4 V
2023-07-03 03:00:00,5.3 V
2023-07-03 03:00:00,5.2 V
2023-07-03 03:00:00,5.1 V
2023-07-03 03:00:00,4.9 V
2023-07-03 03:00:00,5.2 V
2023-07-03 03:00:00,5.2 V
2023-07-03 03:00:00,5.4 V
2023-07-03 03:00:00,2.7 V
2023-07-03 03:00:00,2.3 V
2023-07-03 03:00:00,5.2 V
2023-07-03 03:00:00,4.1 V
2023-07-03 03:00:00,0.022 V
2023-07-03 03:00:00,0.23 V
2023-07-04 03:00:00,3.0 V
2023-07-04 03:00:00,5.7 V
2023-07-04 03:00:00,5.7 V
2023-07-04 03:00:00,5.1 V
2023-07-04 03:00:00,5.0 V
2023-07-04 03:00:00,0.0042 V
2023-07-04 03:00:00,5.3 V
2023-07-04 03:00:00,5.2 V
2023-07-04 03:00:00,5.1 V
2023-07-04 03:00:00,5.1 V
2023-07-04 03:00:00,5.2 V
2023-07-04 03:00:00,5.5 V
2023-07-04 03:00:00,5.3 V
2023-07-04 03:00:00,5.4 V
2023-07-04 03:00:00,0.0056 V
2023-07-04 03:00:00,5.5 V
2023-07-04 03:00:00,5.5 V
2023-07-04 03:00:00,2.6 V
2023-07-04 03:00:00,1.7 V
2023-07-04 03:00:00,5.5 V
2023-07-04 03:00:00,1.4 V
2023-07-05 03:00:00,4.9 V
2023-07-05 03:00:00,4.5 V
2023-07-05 03:00:00,0.015 V
2023-07-05 03:00:00,5.2 V
2023-07-05 03:00:00,4.8 V
2023-07-05 03:00:00,5.2 V
2023-07-05 03:00:00,4.8 V
2023-07-05 03:00:00,4.9 V
2023-07-05 03:00:00,5.1 V
2023-07-05 03:00:00,5.0 V
2023-07-05 03:00:00,5.4 V
2023-07-05 03:00:00,5.3 V
2023-07-05 03:00:00,5.3 V
2023-07-05 03:00:00,5.1 V
2023-07-05 03:00:00,5.1 V
2023-07-05 03:00:00,5.3 V
2023-07-05 03:00:00,5.4 V
2023-07-05 03:00:00,5.0 V
2023-07-05 03:00:00,5.4 V
2023-07-05 03:00:00,4.8 V
2023-07-05 03:00:00,4.8 V
2023-07-05 03:00:00,1.0 V
2023-07-05 03:00:00,4.9 V
2023-07-05 03:00:00,5.0 V
2023-07-05 03:00:00,2.7 V
2023-07-05 03:00:00,2.5 V
2023-07-05 03:00:00,5.7 V
2023-07-05 03:00:00,2.1 V
2023-07-05 03:00:00,1.9 V
2023-07-05 03:00:00,5.6 V
2023-07-05 03:00:00,1.8 V
2023-07-05 03:00:00,5.0 V
2023-07-05 03:00:00,2.8 V
2023-07-05 03:00:00,1.5 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.1 V
2023-07-06 03:00:00,5.0 V
2023-07-06 03:00:00,5.3 V
2023-07-06 03:00:00,5.4 V
2023-07-06 03:00:00,4.4 V
2023-07-06 03:00:00,1.9 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.6 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.1 V
2023-07-06 03:00:00,5.1 V
2023-07-06 03:00:00,5.3 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,4.8 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.4 V
2023-07-06 03:00:00,1.3 V
2023-07-06 03:00:00,5.7 V
2023-07-06 03:00:00,5.5 V
2023-07-06 03:00:00,5.3 V
2023-07-06 03:00:00,5.1 V
2023-07-06 03:00:00,5.6 V
2023-07-06 03:00:00,2.9 V
2023-07-07 03:00:00,5.5 V
2023-07-07 03:00:00,5.5 V
2023-07-07 03:00:00,5.1 V
2023-07-07 03:00:00,5.0 V
2023-07-07 03:00:00,5.4 V
2023-07-07 03:00:00,5.3 V
2023-07-07 03:00:00,5.6 V
2023-07-07 03:00:00,5.2 V
2023-07-07 03:00:00,5.0 V
2023-07-07 03:00:00,4.8 V
2023-07-07 03:00:00,5.5 V
2023-07-07 03:00:00,5.4 V
2023-07-07 03:00:00,5.2 V
2023-07-07 03:00:00,5.2 V
2023-07-07 03:00:00,5.2 V
2023-07-07 03:00:00,5.3 V
2023-07-07 03:00:00,5.5 V
2023-07-07 03:00:00,5.2 V
2023-07-07 03:00:00,5.7 V
2023-07-08 03:00:00,5.2 V
2023-07-08 03:00:00,5.0 V
2023-07-08 03:00:00,5.2 V
2023-07-08 03:00:00,5.3 V
2023-07-08 03:00:00,5.3 V
2023-07-08 03:00:00,5.1 V
2023-07-08 03:00:00,5.5 V
2023-07-08 03:00:00,0.0098 V
2023-07-08 03:00:00,5.7 V
2023-07-08 03:00:00,0.027 V
2023-07-08 03:00:00,5.5 V
2023-07-08 03:00:00,5.5 V
2023-07-08 03:00:00,5.4 V
2023-07-08 03:00:00,5.4 V
2023-07-08 03:00:00,5.6 V
2023-07-08 03:00:00,4.9 V
2023-07-09 03:00:00,5.1 V
