"Time","57175.distinct"
2023-08-03 03:00:00,0.07 A
2023-08-03 03:00:00,0.13 A
2023-08-03 03:00:00,0.05 A
2023-08-03 03:00:00,0.06 A
2023-08-03 03:00:00,52.39 A
2023-08-03 03:00:00,52.39 A
2023-08-03 03:00:00,0.10 A
2023-08-03 03:00:00,0.01 A
2023-08-03 03:00:00,0.07 A
2023-08-03 03:00:00,0.12 A
2023-08-03 03:00:00,0.10 A
2023-08-03 03:00:00,0.07 A
2023-08-03 03:00:00,0.08 A
2023-08-03 03:00:00,0.11 A
2023-08-03 03:00:00,0.04 A
2023-08-03 03:00:00,0.04 A
2023-08-10 03:00:00,52.38 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,52.38 A
2023-08-10 03:00:00,0.10 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,0.10 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,52.40 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,52.40 A
2023-08-10 03:00:00,52.40 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.08 A
2023-08-10 03:00:00,0.07 A
2023-08-10 03:00:00,0.07 A
2023-08-10 03:00:00,0.07 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,0.12 A
2023-08-10 03:00:00,0.12 A
2023-08-10 03:00:00,0.11 A
2023-08-10 03:00:00,0.09 A
2023-08-10 03:00:00,0.09 A
2023-08-10 03:00:00,0.06 A
2023-08-10 03:00:00,0.00 A
2023-08-10 03:00:00,0.09 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.01 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,0.13 A
2023-08-10 03:00:00,0.19 A
2023-08-10 03:00:00,0.14 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,0.05 A
2023-08-10 03:00:00,0.10 A
2023-08-10 03:00:00,0.06 A
2023-08-10 03:00:00,0.10 A
2023-08-10 03:00:00,0.10 A
2023-08-10 03:00:00,0.07 A
2023-08-10 03:00:00,0.07 A
2023-08-10 03:00:00,0.13 A
2023-08-10 03:00:00,0.09 A
2023-08-10 03:00:00,0.08 A
2023-08-10 03:00:00,0.10 A
2023-08-10 03:00:00,0.15 A
2023-08-10 03:00:00,0.11 A
2023-08-10 03:00:00,0.04 A
2023-08-10 03:00:00,0.12 A
2023-08-10 03:00:00,0.06 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,52.39 A
2023-08-10 03:00:00,0.08 A
