"Time","tlm_mb_solarpanel_1_current(mA)"
2023-06-30 03:00:00,577 mA
2023-06-30 03:00:00,670 mA
2023-06-30 03:00:00,500 mA
2023-06-30 03:00:00,255 mA
2023-06-30 03:00:00,568 mA
2023-06-30 03:00:00,609 mA
2023-06-30 03:00:00,700 mA
2023-06-30 03:00:00,97 mA
2023-07-01 03:00:00,161 mA
2023-07-01 03:00:00,589 mA
2023-07-01 03:00:00,6.1 mA
2023-07-01 03:00:00,9.3 mA
2023-07-01 03:00:00,349 mA
2023-07-01 03:00:00,9.0 mA
2023-07-01 03:00:00,221 mA
2023-07-01 03:00:00,16 mA
2023-07-01 03:00:00,6.3 mA
2023-07-01 03:00:00,5.9 mA
2023-07-01 03:00:00,7.1 mA
2023-07-01 03:00:00,21 mA
2023-07-01 03:00:00,32 mA
2023-07-01 03:00:00,14 mA
2023-07-01 03:00:00,25 mA
2023-07-01 03:00:00,23 mA
2023-07-01 03:00:00,152 mA
2023-07-01 03:00:00,19 mA
2023-07-01 03:00:00,171 mA
2023-07-01 03:00:00,31 mA
2023-07-01 03:00:00,66 mA
2023-07-01 03:00:00,14 mA
2023-07-01 03:00:00,466 mA
2023-07-01 03:00:00,55 mA
2023-07-01 03:00:00,42 mA
2023-07-01 03:00:00,31 mA
2023-07-01 03:00:00,30 mA
2023-07-01 03:00:00,19 mA
2023-07-01 03:00:00,26 mA
2023-07-01 03:00:00,24 mA
2023-07-01 03:00:00,22 mA
2023-07-01 03:00:00,176 mA
2023-07-01 03:00:00,38 mA
2023-07-01 03:00:00,377 mA
2023-07-01 03:00:00,54 mA
2023-07-01 03:00:00,34 mA
2023-07-01 03:00:00,17 mA
2023-07-01 03:00:00,37 mA
2023-07-01 03:00:00,38 mA
2023-07-01 03:00:00,41 mA
2023-07-01 03:00:00,20 mA
2023-07-01 03:00:00,31 mA
2023-07-01 03:00:00,51 mA
2023-07-01 03:00:00,35 mA
2023-07-01 03:00:00,34 mA
2023-07-01 03:00:00,34 mA
2023-07-01 03:00:00,23 mA
2023-07-01 03:00:00,24 mA
2023-07-01 03:00:00,195 mA
2023-07-01 03:00:00,27 mA
2023-07-01 03:00:00,28 mA
2023-07-01 03:00:00,546 mA
2023-07-01 03:00:00,111 mA
2023-07-01 03:00:00,223 mA
2023-07-01 03:00:00,33 mA
2023-07-01 03:00:00,28 mA
2023-07-01 03:00:00,40 mA
2023-07-01 03:00:00,33 mA
2023-07-01 03:00:00,9.5 mA
2023-07-01 03:00:00,211 mA
2023-07-01 03:00:00,13 mA
2023-07-01 03:00:00,607 mA
2023-07-01 03:00:00,367 mA
2023-07-01 03:00:00,706 mA
2023-07-01 03:00:00,22 mA
2023-07-01 03:00:00,381 mA
2023-07-01 03:00:00,589 mA
2023-07-01 03:00:00,205 mA
2023-07-01 03:00:00,302 mA
2023-07-01 03:00:00,280 mA
2023-07-01 03:00:00,454 mA
2023-07-01 03:00:00,122 mA
2023-07-02 03:00:00,28 mA
2023-07-02 03:00:00,817 mA
2023-07-02 03:00:00,6.1 mA
2023-07-02 03:00:00,240 mA
2023-07-02 03:00:00,224 mA
2023-07-02 03:00:00,223 mA
2023-07-02 03:00:00,469 mA
2023-07-02 03:00:00,335 mA
2023-07-02 03:00:00,120 mA
2023-07-02 03:00:00,68 mA
2023-07-02 03:00:00,492 mA
2023-07-02 03:00:00,191 mA
2023-07-02 03:00:00,134 mA
2023-07-02 03:00:00,249 mA
2023-07-02 03:00:00,222 mA
2023-07-02 03:00:00,365 mA
2023-07-02 03:00:00,287 mA
2023-07-02 03:00:00,142 mA
2023-07-02 03:00:00,24 mA
2023-07-02 03:00:00,12 mA
2023-07-02 03:00:00,393 mA
2023-07-02 03:00:00,481 mA
2023-07-02 03:00:00,336 mA
2023-07-02 03:00:00,43 mA
2023-07-02 03:00:00,302 mA
2023-07-02 03:00:00,118 mA
2023-07-02 03:00:00,527 mA
2023-07-02 03:00:00,583 mA
2023-07-02 03:00:00,750 mA
2023-07-02 03:00:00,430 mA
2023-07-02 03:00:00,769 mA
2023-07-02 03:00:00,508 mA
2023-07-02 03:00:00,607 mA
2023-07-02 03:00:00,710 mA
2023-07-02 03:00:00,767 mA
2023-07-02 03:00:00,767 mA
2023-07-02 03:00:00,7.6 mA
2023-07-02 03:00:00,155 mA
2023-07-02 03:00:00,25 mA
2023-07-03 03:00:00,2.9 mA
2023-07-03 03:00:00,46 mA
2023-07-03 03:00:00,7.1 mA
2023-07-03 03:00:00,51 mA
2023-07-03 03:00:00,289 mA
2023-07-03 03:00:00,164 mA
2023-07-03 03:00:00,366 mA
2023-07-03 03:00:00,444 mA
2023-07-03 03:00:00,275 mA
2023-07-03 03:00:00,272 mA
2023-07-03 03:00:00,62 mA
2023-07-03 03:00:00,19 mA
2023-07-03 03:00:00,323 mA
2023-07-03 03:00:00,436 mA
2023-07-03 03:00:00,451 mA
2023-07-03 03:00:00,130 mA
2023-07-03 03:00:00,367 mA
2023-07-03 03:00:00,7.6 mA
2023-07-03 03:00:00,729 mA
2023-07-03 03:00:00,710 mA
2023-07-03 03:00:00,585 mA
2023-07-03 03:00:00,578 mA
2023-07-03 03:00:00,191 mA
2023-07-03 03:00:00,806 mA
2023-07-04 03:00:00,782 mA
2023-07-04 03:00:00,600 mA
2023-07-04 03:00:00,589 mA
2023-07-04 03:00:00,326 mA
2023-07-04 03:00:00,180 mA
2023-07-04 03:00:00,3.4 mA
2023-07-04 03:00:00,66 mA
2023-07-04 03:00:00,666 mA
2023-07-04 03:00:00,380 mA
2023-07-04 03:00:00,487 mA
2023-07-04 03:00:00,207 mA
2023-07-04 03:00:00,381 mA
2023-07-04 03:00:00,33 mA
2023-07-04 03:00:00,29 mA
2023-07-04 03:00:00,589 mA
2023-07-04 03:00:00,10 mA
