"Time","57175.distinct"
2023-05-25 03:00:00,0.0 A
2023-05-25 03:00:00,0 A
2023-05-25 03:00:00,0.0 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.4 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.4 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.9 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.8 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.4 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.4 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.3 A
2023-06-22 03:00:00,0.4 A
2023-06-22 03:00:00,0.0 A
2023-06-22 03:00:00,0.2 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.6 A
2023-06-22 03:00:00,0.5 A
2023-06-22 03:00:00,0.7 A
2023-06-22 03:00:00,0.9 A
2023-06-22 03:00:00,0.4 A
2023-06-22 03:00:00,0.5 A
2023-06-29 03:00:00,0 A
2023-06-29 03:00:00,0.2 A
2023-06-29 03:00:00,0.2 A
2023-06-29 03:00:00,0.2 A
2023-06-29 03:00:00,0.2 A
2023-06-29 03:00:00,0.2 A
2023-06-29 03:00:00,0.2 A
2023-06-29 03:00:00,0.7 A
2023-06-29 03:00:00,0.0 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.7 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.9 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.6 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.8 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.6 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.6 A
2023-06-29 03:00:00,0.6 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.3 A
2023-06-29 03:00:00,0.5 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.4 A
2023-06-29 03:00:00,0.4 A
