"Time","Z Torquer Voltage (V)","Z Torquer Current (A)"
2019-12-30 03:00:00,0,0.75
2020-01-03 03:00:00,0.077,0.76
2020-01-04 03:00:00,0.083,0.56
2020-01-05 03:00:00,-1,1.7
2020-01-06 03:00:00,1.00,0.98
2020-01-07 03:00:00,1.7,0.78
2020-01-08 03:00:00,0.98,1.4
2020-01-09 03:00:00,0.37,1.8
2020-01-11 03:00:00,0,0
2020-01-12 03:00:00,0,0
2020-01-13 03:00:00,0,0
2020-01-14 03:00:00,1.9,0.65
2020-01-15 03:00:00,0.71,0.75
2020-01-16 03:00:00,2.8,0.098
2020-01-21 03:00:00,0.27,1.7
2020-01-22 03:00:00,0.87,1.4
2020-01-24 03:00:00,3.2,0.11
2020-01-25 03:00:00,1.9,0.69
2020-01-26 03:00:00,1.1,0.29
2020-01-27 03:00:00,0.15,0.0052
2020-01-28 03:00:00,0,0.18
2020-01-29 03:00:00,0.96,1.4
2020-01-30 03:00:00,0,0.12
2020-01-31 03:00:00,0.19,1.1
2020-02-01 03:00:00,-1,2.4
2020-02-02 03:00:00,0,0
2020-02-04 03:00:00,0.78,1.2
2020-02-05 03:00:00,1.5,0.92
2020-02-06 03:00:00,2.6,0.090
2020-02-08 03:00:00,0,0
2020-02-13 03:00:00,3.1,0.11
2020-02-15 03:00:00,0.45,0.35
2020-02-16 03:00:00,0,0
2020-02-17 03:00:00,0,0
2020-02-24 03:00:00,3.1,0.11
2020-03-01 03:00:00,0,0
2020-03-08 03:00:00,0,0
2020-03-09 03:00:00,0.053,0.45
2020-03-10 03:00:00,0,1.3
2020-03-11 03:00:00,0,1.5
2020-03-12 03:00:00,0.84,0.52
2020-03-13 03:00:00,0,0.43
2020-03-14 03:00:00,0.48,0.62
2020-03-15 03:00:00,-1,0.73
2020-03-16 03:00:00,0,0.64
2020-03-17 03:00:00,0,0.38
2020-03-18 03:00:00,0.026,0.36
2020-03-21 03:00:00,0,1.1
2020-03-25 03:00:00,0,0
2020-03-27 03:00:00,0,0
2020-03-30 03:00:00,0,0
2020-04-01 03:00:00,0,0
2020-04-24 03:00:00,0,0
2020-05-04 03:00:00,-2,3.4
2020-05-05 03:00:00,0,2.2
2020-05-06 03:00:00,-2,2.9
2020-05-07 03:00:00,-2,3.3
2020-05-08 03:00:00,-3,3.9
2020-05-10 03:00:00,-2,3.2
2020-05-11 03:00:00,-3,3.9
2020-05-12 03:00:00,-1,0.71
2020-09-26 03:00:00,3.1,0.11
2020-10-02 03:00:00,2.9,0.11
2020-10-03 03:00:00,0.23,0.58
2020-10-04 03:00:00,0,0
2020-11-26 03:00:00,-2,3.0
2020-12-08 03:00:00,-3,3.9
2020-12-13 03:00:00,0,0
2020-12-22 03:00:00,-2,3.4
2020-12-31 03:00:00,-3,3.9
2021-01-05 03:00:00,0,0
2021-01-08 03:00:00,0,0
2021-01-09 03:00:00,2.3,0.58
2021-02-04 03:00:00,2.5,0.53
2021-02-21 03:00:00,0,0
2021-03-01 03:00:00,0,0
2021-03-02 03:00:00,0,0
2021-03-06 03:00:00,-2,2.9
2021-03-07 03:00:00,0.81,1.3
2021-03-10 03:00:00,0.031,0
2021-03-16 03:00:00,3.1,0.11
2021-03-17 03:00:00,0.78,1.5
2021-04-15 03:00:00,-3,3.9
2021-04-20 03:00:00,0,0
2021-05-02 03:00:00,0,0
2021-05-04 03:00:00,0,0
2021-05-06 03:00:00,0,0
2021-05-26 03:00:00,0,0
2021-06-21 03:00:00,0,0
2021-06-23 03:00:00,0,0
2021-06-25 03:00:00,0.81,1.5
2021-06-27 03:00:00,0.32,1.2
2021-06-28 03:00:00,0.56,0.70
2021-06-29 03:00:00,0,0
2021-06-30 03:00:00,0,0
2021-07-02 03:00:00,0,0
2021-07-03 03:00:00,-3,3.9
2021-07-04 03:00:00,-1,2.6
2021-07-13 03:00:00,0,1.4
2021-07-18 03:00:00,0,0
2021-07-19 03:00:00,0.17,0.0058
2021-07-25 03:00:00,0,0
2021-07-26 03:00:00,0,0
2021-08-01 03:00:00,0,0
2021-08-06 03:00:00,0,2.0
2021-08-07 03:00:00,0,0
2021-08-09 03:00:00,2.6,0.23
2021-08-13 03:00:00,0,0
2021-08-16 03:00:00,0.47,1.7
2021-08-24 03:00:00,-2,2.9
2021-08-27 03:00:00,3.1,0.11
2021-08-28 03:00:00,0,2.0
2021-08-31 03:00:00,-1,2.4
2021-09-02 03:00:00,-1,2.4
2021-09-05 03:00:00,1.1,1.8
2021-12-13 03:00:00,-1,3.9
2021-12-15 03:00:00,3.1,0.11
2021-12-20 03:00:00,0,0
2021-12-22 03:00:00,0,0
2021-12-23 03:00:00,2.5,0.089
2021-12-24 03:00:00,3.1,0.11
2021-12-25 03:00:00,0.69,1.3
2021-12-26 03:00:00,0.62,1.5
2021-12-27 03:00:00,2.4,0.55
2021-12-28 03:00:00,2.0,0.91
2021-12-29 03:00:00,1.5,0.82
2021-12-30 03:00:00,0,0.18
2021-12-31 03:00:00,0.21,0.15
2022-01-01 03:00:00,2.1,0.81
2022-01-02 03:00:00,0,0
2022-01-03 03:00:00,3.2,0.11
2022-01-04 03:00:00,0.41,1.4
2022-01-05 03:00:00,0,2.1
2022-01-06 03:00:00,1.2,1.4
2022-01-08 03:00:00,0.068,0.33
2022-01-11 03:00:00,0,2
2022-01-13 03:00:00,0,2.4
2022-01-14 03:00:00,-1,2.2
2022-01-23 03:00:00,2.3,0.54
2022-01-27 03:00:00,0,0
2022-01-31 03:00:00,1.5,1.2
2022-02-01 03:00:00,0.031,2
2022-02-11 03:00:00,0,0
2022-02-14 03:00:00,0,0
2022-02-19 03:00:00,0,0
2022-02-21 03:00:00,2.9,0.11
2022-03-15 03:00:00,3.1,0.11
2022-03-17 03:00:00,-3,3.6
2022-03-23 03:00:00,-3,3.9
2022-03-27 03:00:00,-3,3.9
2022-04-14 03:00:00,-3,3.9
2022-04-30 03:00:00,0,0
2022-05-04 03:00:00,0.95,1.1
2022-05-06 03:00:00,-3,3.9
2022-05-11 03:00:00,0,0
2022-05-13 03:00:00,-3,3.9
2022-05-17 03:00:00,0,0
2022-05-24 03:00:00,-3,3.9
2022-05-25 03:00:00,-2,3.9
2022-05-30 03:00:00,-3,3.9
2022-06-11 03:00:00,0,0
2022-06-13 03:00:00,-2,3.2
2022-06-16 03:00:00,0,0
2022-06-18 03:00:00,0,2.3
2022-06-22 03:00:00,3.1,0.11
2022-06-23 03:00:00,0.063,0
2022-06-25 03:00:00,1.5,1.1
2022-06-26 03:00:00,0.37,1.2
2022-06-27 03:00:00,0,0
2022-06-28 03:00:00,1.4,0.021
2022-06-29 03:00:00,0,0
2022-06-30 03:00:00,0,0
2022-07-01 03:00:00,0.33,1.6
2022-07-02 03:00:00,0,0
2022-07-04 03:00:00,0,0
2022-07-05 03:00:00,0.38,1.5
2022-07-06 03:00:00,-3,3.9
2022-07-11 03:00:00,3.0,0.11
2022-07-12 03:00:00,0.44,1.6
2022-07-13 03:00:00,-3,3.9
2022-07-19 03:00:00,0,0.48
2022-07-20 03:00:00,-3,3.9
2022-08-04 03:00:00,0.19,0
2022-08-08 03:00:00,0,0
2022-08-09 03:00:00,0,0
2022-08-12 03:00:00,0,0
2022-08-14 03:00:00,0,0
2022-08-20 03:00:00,0,0
2022-08-22 03:00:00,0,0.39
2022-08-23 03:00:00,0,0
2022-08-25 03:00:00,0,0
2022-08-26 03:00:00,0,0
2022-08-27 03:00:00,3.1,0.11
2022-08-29 03:00:00,0.66,2.0
2022-08-30 03:00:00,-1,2.9
2022-08-31 03:00:00,3.1,0.11
2022-09-01 03:00:00,0,0
2022-09-02 03:00:00,0,0
2022-09-03 03:00:00,0,0
2022-09-04 03:00:00,0,0
2022-09-06 03:00:00,0,0
2022-09-08 03:00:00,1.6,1.2
2022-09-09 03:00:00,3.1,0.11
2022-09-10 03:00:00,-3,3.7
2022-09-11 03:00:00,-2,3.1
2022-09-12 03:00:00,-3,3.9
2022-09-13 03:00:00,0,1.7
2022-09-14 03:00:00,1.6,1.1
2022-09-15 03:00:00,0,2.3
2022-09-16 03:00:00,0,0
2022-09-17 03:00:00,0,0
2022-09-18 03:00:00,0.047,0.0039
2022-09-20 03:00:00,0,0
2022-09-21 03:00:00,0,0
2022-09-24 03:00:00,0,1.8
2022-09-26 03:00:00,3.1,0.11
2022-09-27 03:00:00,0.18,2.2
2022-09-29 03:00:00,3.2,0.11
2022-09-30 03:00:00,3.1,0.11
2022-10-01 03:00:00,-1,0.56
2022-10-02 03:00:00,-1,2.5
2022-10-03 03:00:00,-3,3.9
2022-10-04 03:00:00,1.6,0.55
2022-10-05 03:00:00,0.27,2.0
2022-10-06 03:00:00,0,0
2022-10-07 03:00:00,0,0
2022-10-08 03:00:00,0,0
2022-10-09 03:00:00,-3,3.9
2022-10-10 03:00:00,0,0
2022-10-11 03:00:00,0,0
2022-10-13 03:00:00,-1,2.8
2022-10-14 03:00:00,0.47,0.83
2022-10-15 03:00:00,-3,3.9
2022-10-16 03:00:00,-1,2.6
2022-10-17 03:00:00,3.1,0.11
2022-10-18 03:00:00,0,0
2022-10-19 03:00:00,0,0
2022-10-21 03:00:00,0,0.15
2022-10-22 03:00:00,-3,3.9
2022-10-24 03:00:00,-3,3.9
2022-10-25 03:00:00,-3,3.6
2022-10-26 03:00:00,-3,3.9
2022-10-27 03:00:00,0,0
2022-10-28 03:00:00,0,0
2022-10-29 03:00:00,0,0
2022-10-30 03:00:00,2.4,0.68
2022-10-31 03:00:00,-3,3.9
2022-11-01 03:00:00,1.0,0.036
2022-11-02 03:00:00,3.1,0.11
2022-11-03 03:00:00,1.6,1.1
2022-11-04 03:00:00,0,0
2022-11-07 03:00:00,0,0
2022-11-11 03:00:00,0,0
2022-11-12 03:00:00,0,0
2022-11-13 03:00:00,0,0
2022-11-14 03:00:00,0.50,0.32
2022-11-15 03:00:00,0,0

