"Time","X Rate","Y Rate","Z Rate"
2020-01-12 03:00:00,0,0,0
2020-01-13 03:00:00,0,0,0
2020-01-14 03:00:00,0,0,0
2020-01-15 03:00:00,0.041,0,0
2020-01-16 03:00:00,0,0,0
2020-01-21 03:00:00,0,0,0
2020-01-22 03:00:00,0,0,0
2020-01-24 03:00:00,0,0,0
2020-01-25 03:00:00,0.0064,0,0
2020-01-26 03:00:00,0.033,0,0
2020-01-27 03:00:00,0,0,0
2020-01-28 03:00:00,0.021,0,0
2020-01-29 03:00:00,0,0,0
2020-01-30 03:00:00,0,0,0
2020-01-31 03:00:00,0.12,0,0.22
2020-02-01 03:00:00,0.045,0,0.22
2020-02-02 03:00:00,0.19,0,0
2020-02-04 03:00:00,0,0,0
2020-02-05 03:00:00,0.11,0,0
2020-02-06 03:00:00,0.25,0,0
2020-02-08 03:00:00,0.45,0,0
2020-02-13 03:00:00,0,0,0
2020-02-15 03:00:00,0.0093,0,0
2020-02-16 03:00:00,0.020,0,0
2020-02-17 03:00:00,0,0.90,0
2020-02-24 03:00:00,0.45,0.22,0
2020-03-01 03:00:00,0.45,0,0
2020-03-08 03:00:00,0,0,0
2020-03-09 03:00:00,0,0,0
2020-03-10 03:00:00,0,0,0
2020-03-11 03:00:00,0,0,0.34
2020-03-12 03:00:00,0,0,0.51
2020-03-13 03:00:00,0,0,0
2020-03-14 03:00:00,0.049,0,0.49
2020-03-15 03:00:00,0.084,0,0
2020-03-16 03:00:00,0,0,0
2020-03-17 03:00:00,0.11,0,0
2020-03-18 03:00:00,0,-1,-1
2020-03-21 03:00:00,0,0,-1
2020-03-25 03:00:00,0,0.037,0
2020-03-27 03:00:00,0.025,0,0
2020-03-30 03:00:00,0,-1,3.5
2020-04-01 03:00:00,0.85,0,6.4
2020-04-24 03:00:00,0.45,-1,0.90
2020-05-04 03:00:00,0.17,0,0
2020-05-05 03:00:00,0.19,0.11,0
2020-05-06 03:00:00,0.11,0.11,0
2020-05-07 03:00:00,0.24,0,0
2020-05-08 03:00:00,0,0,0
2020-05-10 03:00:00,0.28,0,0.12
2020-05-11 03:00:00,0.45,-1,1.8
2020-05-12 03:00:00,0.33,-1,3.0
2020-09-26 03:00:00,0.18,0,0
2020-10-02 03:00:00,0,0,0
2020-10-03 03:00:00,0.23,0,0
2020-10-04 03:00:00,0.27,0,0
2020-11-26 03:00:00,0.24,0,0
2020-12-08 03:00:00,0.30,0,0
2020-12-13 03:00:00,0.18,0,3.1
2020-12-22 03:00:00,0.12,0,0
2020-12-31 03:00:00,0.52,0,0
2021-01-05 03:00:00,0.22,-2,0
2021-01-08 03:00:00,0,0.30,0
2021-01-09 03:00:00,0.075,0,0
2021-02-04 03:00:00,0.35,0,0
2021-02-21 03:00:00,0,0,0
2021-03-01 03:00:00,0,0,0
2021-03-02 03:00:00,0,-1,0
2021-03-06 03:00:00,0,0,-1
2021-03-07 03:00:00,0,0,1.5
2021-03-10 03:00:00,0,0,1.0
2021-03-16 03:00:00,-1,0,0
2021-03-17 03:00:00,0,0,0.056
2021-04-15 03:00:00,0,0,0
2021-04-20 03:00:00,-1,-1,2.2
2021-05-02 03:00:00,0,-1,0
2021-05-04 03:00:00,0,0.45,0
2021-05-06 03:00:00,0,0.45,0
2021-05-26 03:00:00,0.90,0,3.1
2021-06-21 03:00:00,0,1.3,0
2021-06-23 03:00:00,0,0,0
2021-06-25 03:00:00,0,-1,0
2021-06-27 03:00:00,0,0,0
2021-06-28 03:00:00,0.068,0,1.2
2021-06-29 03:00:00,0,0,0
2021-06-30 03:00:00,0,0,0
2021-07-02 03:00:00,0,0.67,3.1
2021-07-03 03:00:00,0,0,0
2021-07-04 03:00:00,-1,0.22,2.0
2021-07-13 03:00:00,0,-1,1.1
2021-07-18 03:00:00,0,0,0
2021-07-19 03:00:00,0,0,0
2021-07-25 03:00:00,0,0,0
2021-07-26 03:00:00,0,-1,3.1
2021-08-01 03:00:00,0,0,0
2021-08-06 03:00:00,0.17,0,0.95
2021-08-07 03:00:00,0,0,0
2021-08-09 03:00:00,0,0,0
2021-08-13 03:00:00,0,0.22,0
2021-08-16 03:00:00,0.17,0.10,2.8
2021-08-24 03:00:00,0,0,0
2021-08-27 03:00:00,0,0,0
2021-08-28 03:00:00,0,0,0
