"Time","Y Torquer Voltage (V)","Y Torquer Current (A)"
2019-08-23 03:00:00,-2,0.89
2019-08-24 03:00:00,-1,2.9
2019-08-25 03:00:00,-1,1.4
2019-08-26 03:00:00,-1,1.2
2019-08-27 03:00:00,0,3.9
2019-08-28 03:00:00,0,3.8
2019-08-29 03:00:00,-1,1.7
2019-08-30 03:00:00,0,2.0
2019-08-31 03:00:00,2.9,2.0
2019-09-01 03:00:00,0,4.0
2019-09-02 03:00:00,0,4.0
2019-09-03 03:00:00,0,3.7
2019-09-04 03:00:00,0.25,2.1
2019-09-05 03:00:00,0,2.6
2019-09-06 03:00:00,-1,1.8
2019-09-07 03:00:00,0,2.1
2019-09-08 03:00:00,0,3.9
2019-09-09 03:00:00,0,3.7
2019-09-10 03:00:00,-1,1.4
2019-09-11 03:00:00,-1,1.3
2019-09-12 03:00:00,-2,0.80
2019-09-13 03:00:00,0.080,2.2
2019-09-14 03:00:00,-1,1.3
2019-09-16 03:00:00,0.065,2.2
2019-09-17 03:00:00,-1,1.6
2019-09-19 03:00:00,0,1.3
2019-09-20 03:00:00,0,1.8
2019-09-22 03:00:00,-1,0.65
2019-09-23 03:00:00,0,2.0
2019-09-24 03:00:00,0.29,2.2
2019-09-25 03:00:00,-1,1.1
2019-09-26 03:00:00,-1,1.5
2019-09-27 03:00:00,0,1.9
2019-09-28 03:00:00,-1,2.1
2019-09-29 03:00:00,0.41,2.3
2019-09-30 03:00:00,0,2.9
2019-10-01 03:00:00,0,2.7
2019-10-02 03:00:00,0.23,2.3
2019-10-03 03:00:00,0.14,2.1
2019-10-04 03:00:00,-1,1.6
2019-10-06 03:00:00,-1,1.5
2019-10-07 03:00:00,-1,1.3
2019-10-08 03:00:00,-1,1.4
2019-10-14 03:00:00,0,4.0
2019-10-15 03:00:00,0,4.0
2019-10-16 03:00:00,0,4.0
2019-10-18 03:00:00,0,4.0
2019-10-19 03:00:00,0,3.9
2019-10-21 03:00:00,0,3.7
2019-10-22 03:00:00,0,4.0
2019-10-23 03:00:00,0.049,3.6
2019-10-24 03:00:00,-1,1.6
2019-10-25 03:00:00,-2,1.1
2019-10-26 03:00:00,-1,1.9
2019-10-27 03:00:00,0,1.9
2019-10-30 03:00:00,0.37,1.7
2019-10-31 03:00:00,0,2.7
2019-11-01 03:00:00,-1,1.2
2019-11-02 03:00:00,-1,1.9
2019-11-03 03:00:00,0,1.4
2019-11-04 03:00:00,-2,1.2
2019-11-05 03:00:00,-1,1.2
2019-11-09 03:00:00,-3,0.094
2019-11-10 03:00:00,-2,0.78
2019-11-12 03:00:00,-1,1.3
2019-11-13 03:00:00,0.52,2.7
2019-11-14 03:00:00,1.8,3.0
2019-11-15 03:00:00,0,4.0
2019-11-16 03:00:00,0,4.0
2019-11-17 03:00:00,0,4.0
2019-11-18 03:00:00,-1,1.9
2019-11-19 03:00:00,-1,1.5
2019-11-20 03:00:00,2.3,3.9
2019-11-21 03:00:00,-1,1.2
2019-11-22 03:00:00,3,0.094
2019-11-23 03:00:00,0.34,3.0
2019-11-24 03:00:00,0,4.0
2019-11-25 03:00:00,0,4.0
2019-11-26 03:00:00,0.56,4.0
2019-11-29 03:00:00,0.61,2.4
2019-11-30 03:00:00,-1,1.7
2019-12-01 03:00:00,0,4.0
2019-12-02 03:00:00,0,3.9
2019-12-03 03:00:00,0,2.9
2019-12-18 03:00:00,0,3.9
