"Time","X Torquer Voltage (V)","X Torquer Current (A)"
2019-10-22 03:00:00,0,4.0
2019-10-23 03:00:00,0,3.6
2019-10-24 03:00:00,0.46,2.4
2019-10-25 03:00:00,0,2.1
2019-10-26 03:00:00,0.72,2.8
2019-10-27 03:00:00,0,1.9
2019-10-30 03:00:00,0.37,1.7
2019-10-31 03:00:00,0,2.7
2019-11-01 03:00:00,-1,1.5
2019-11-02 03:00:00,0.63,3.4
2019-11-03 03:00:00,0,1.4
2019-11-04 03:00:00,1.9,3.1
2019-11-05 03:00:00,0.31,2.2
2019-11-09 03:00:00,2.9,3.9
2019-11-10 03:00:00,0.30,2.2
2019-11-12 03:00:00,-1,1.3
2019-11-13 03:00:00,0.26,2.5
2019-11-14 03:00:00,0.46,2.3
2019-11-15 03:00:00,0,4.0
2019-11-16 03:00:00,0,4.0
2019-11-17 03:00:00,0,4.0
2019-11-18 03:00:00,0.19,2.4
2019-11-19 03:00:00,0,1.8
2019-11-20 03:00:00,0.73,3.0
2019-11-21 03:00:00,0,1.2
2019-11-22 03:00:00,-3,0.094
2019-11-23 03:00:00,-1,2.0
2019-11-24 03:00:00,0,4.0
2019-11-25 03:00:00,0,4.0
2019-11-26 03:00:00,0.18,3.7
2019-11-29 03:00:00,-1,1.5
2019-11-30 03:00:00,0,1.8
2019-12-01 03:00:00,0,4.0
2019-12-02 03:00:00,0,3.9
2019-12-03 03:00:00,0,2.7
2019-12-18 03:00:00,0,3.9
2019-12-19 03:00:00,0,4.0
2019-12-20 03:00:00,0.67,2.5
2019-12-23 03:00:00,-1,1.7
2019-12-24 03:00:00,0.52,2.1
2019-12-29 03:00:00,0,3.9
2019-12-30 03:00:00,0,3.3
2020-01-03 03:00:00,0,2.9
2020-01-04 03:00:00,0,1.5
2020-01-05 03:00:00,1.7,3.9
2020-01-06 03:00:00,0.75,2.9
2020-01-07 03:00:00,0.95,2.9
2020-01-08 03:00:00,0.057,2.1
2020-01-09 03:00:00,1.1,2.7
2020-01-11 03:00:00,0,4.0
2020-01-12 03:00:00,0,4.0
2020-01-13 03:00:00,0,4.0
2020-01-14 03:00:00,0.91,2.8
2020-01-15 03:00:00,-1,2.3
2020-01-16 03:00:00,0,1.6
2020-01-21 03:00:00,1.9,3.2
2020-01-22 03:00:00,0.75,2.6
2020-01-24 03:00:00,-3,0.094
2020-01-25 03:00:00,0,1.8
2020-01-26 03:00:00,0.46,3.3
2020-01-27 03:00:00,0,4.0
2020-01-28 03:00:00,0,3.8
2020-01-29 03:00:00,1.1,2.8
2020-01-30 03:00:00,0,3.4
2020-01-31 03:00:00,0.45,3.1
2020-02-01 03:00:00,-1,1.6
2020-02-02 03:00:00,0,4.0
2020-02-04 03:00:00,0.53,2.6
2020-02-05 03:00:00,-1,1.6
2020-02-06 03:00:00,0,2.2
2020-02-08 03:00:00,0,4.0
2020-02-13 03:00:00,3,3.9
2020-02-15 03:00:00,0.46,3.7
2020-02-16 03:00:00,0,4.0
2020-02-17 03:00:00,0,4.0
2020-02-24 03:00:00,0,2.0
2020-03-01 03:00:00,0,4.0
2020-03-08 03:00:00,0,4.0
2020-03-09 03:00:00,0.13,3.7
2020-03-10 03:00:00,0.61,3.0
2020-03-11 03:00:00,-1,2.4
2020-03-12 03:00:00,0.36,3.1
2020-03-13 03:00:00,0,3.6
2020-03-14 03:00:00,0.35,3.4
2020-03-15 03:00:00,0,3.5
2020-03-16 03:00:00,0,3.0
2020-03-17 03:00:00,0,3.8
2020-03-18 03:00:00,-1,3.3
2020-03-21 03:00:00,0.029,3.2
2020-03-25 03:00:00,0,4.0
2020-03-27 03:00:00,0,4.0
2020-03-30 03:00:00,0,4.0
2020-04-01 03:00:00,0,4.0
2020-04-24 03:00:00,0,4.0
2020-05-04 03:00:00,1.1,2.9
2020-05-05 03:00:00,1.1,2.7
2020-05-06 03:00:00,-3,0.078
2020-05-07 03:00:00,0,1.9
2020-05-08 03:00:00,-1,2.0
2020-05-10 03:00:00,-2,1.1
2020-05-11 03:00:00,2.9,3.9
2020-05-12 03:00:00,0,3.6
2020-09-26 03:00:00,3,3.9
2020-10-02 03:00:00,-3,0.094
2020-10-03 03:00:00,0.57,3.8
2020-10-04 03:00:00,0,4.0
2020-11-26 03:00:00,-2,0.95
2020-12-08 03:00:00,2.9,3.9
2020-12-13 03:00:00,0,4.0
2020-12-22 03:00:00,2.7,3.6
2020-12-31 03:00:00,2.9,3.9
2021-01-05 03:00:00,0,4.0
2021-01-08 03:00:00,0,4.0
2021-01-09 03:00:00,0.77,2.6
2021-02-04 03:00:00,1.7,3.0
2021-02-21 03:00:00,0,4.0
2021-03-01 03:00:00,0,4.0
2021-03-02 03:00:00,0,4.0
2021-03-06 03:00:00,-1,2.0
2021-03-07 03:00:00,1.2,2.9
2021-03-10 03:00:00,0,4.0
2021-03-16 03:00:00,-3,0.094
2021-03-17 03:00:00,1.1,2.4
2021-04-15 03:00:00,-3,0.094
2021-04-20 03:00:00,0,4.0
2021-05-02 03:00:00,0,4.0
2021-05-04 03:00:00,0,4.0
2021-05-06 03:00:00,0,4.0
2021-05-26 03:00:00,0,4.0
2021-06-21 03:00:00,0,4.0
2021-06-23 03:00:00,0,4.0
2021-06-25 03:00:00,0,2.0
2021-06-27 03:00:00,-2,1.3
2021-06-28 03:00:00,0.40,3.1
2021-06-29 03:00:00,0,4.0
2021-06-30 03:00:00,0,3.3
2021-07-02 03:00:00,0,4.0
2021-07-03 03:00:00,-3,0.094
2021-07-04 03:00:00,0,2.0
2021-07-13 03:00:00,0,2.5
2021-07-18 03:00:00,0,4.0
2021-07-19 03:00:00,0,3.8
2021-07-25 03:00:00,0,4.0
2021-07-26 03:00:00,0,4.0
2021-08-01 03:00:00,0,4.0
2021-08-06 03:00:00,0.30,2.2
2021-08-07 03:00:00,0,4.0
2021-08-09 03:00:00,-1,1.0
2021-08-13 03:00:00,0,4.0
2021-08-16 03:00:00,0.16,2.1
2021-08-24 03:00:00,-1,2.0
2021-08-27 03:00:00,0.96,2.6
2021-08-28 03:00:00,1.5,2.9
2021-08-31 03:00:00,-1,1.5
2021-09-02 03:00:00,1.5,3.0
2021-09-05 03:00:00,-2,0.92
2021-12-13 03:00:00,-3,0.094
2021-12-15 03:00:00,2.9,3.9
2021-12-20 03:00:00,0,4.0
2021-12-22 03:00:00,0,4.0
2021-12-23 03:00:00,0.73,3.0
2021-12-24 03:00:00,-1,1.4
2021-12-25 03:00:00,0,1.9
2021-12-26 03:00:00,1.3,2.8
2021-12-27 03:00:00,-2,0.76
2021-12-28 03:00:00,-2,0.69
2021-12-29 03:00:00,0.31,2.4
2021-12-30 03:00:00,0.017,3.9
2021-12-31 03:00:00,0,3.7
2022-01-01 03:00:00,-1,1.4
2022-01-02 03:00:00,0,4.0
2022-01-03 03:00:00,-2,0.93
2022-01-04 03:00:00,-2,1.4
2022-01-05 03:00:00,-1,1.5
2022-01-06 03:00:00,-1,1.5
2022-01-08 03:00:00,0,4.0
2022-01-11 03:00:00,-3,0.094
2022-01-13 03:00:00,0.60,2.5
2022-01-14 03:00:00,0,2.4
2022-01-23 03:00:00,0,2.0
2022-01-27 03:00:00,0,4.0
2022-01-31 03:00:00,1.7,3.1
2022-02-01 03:00:00,0,2.0
2022-02-11 03:00:00,0.75,4.0
2022-02-14 03:00:00,0,4.0
2022-02-19 03:00:00,0,4.0
2022-02-21 03:00:00,-3,0.094
2022-03-15 03:00:00,-3,0.094
2022-03-17 03:00:00,-2,0.72
2022-03-23 03:00:00,2.9,3.9
2022-03-27 03:00:00,-1,0.031
2022-04-14 03:00:00,-3,0.094
2022-04-30 03:00:00,0,4.0
2022-05-04 03:00:00,-1,1.3
2022-05-06 03:00:00,-3,0.094
